OBJECTNUMMER;Kans_code;Kans;Diepte_code;Diepte;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
92;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.910227 52.348347,4.910236 52.347449,4.905834 52.347431,4.905843 52.346532,4.902908 52.34652,4.902909 52.346433,4.895567 52.346878,4.895561 52.347389,4.897028 52.347395,4.897019 52.348253,4.902882 52.348977,4.902889 52.348318,4.905824 52.34833,4.905814 52.349228,4.904879 52.349225,4.908744 52.349702,4.908759 52.348342,4.910227 52.348347)),((4.910227 52.348347,4.91021 52.349883,4.910972 52.349977,4.911687 52.349011,4.911694 52.348353,4.910227 52.348347)))";"MULTIPOLYGON(((52.348347 4.910227,52.347449 4.910236,52.347431 4.905834,52.346532 4.905843,52.34652 4.902908,52.346433 4.902909,52.346878 4.895567,52.347389 4.895561,52.347395 4.897028,52.348253 4.897019,52.348977 4.902882,52.348318 4.902889,52.34833 4.905824,52.349228 4.905814,52.349225 4.904879,52.349702 4.908744,52.348342 4.908759,52.348347 4.910227)),((52.348347 4.910227,52.349883 4.91021,52.349977 4.910972,52.349011 4.911687,52.348353 4.911694,52.348347 4.910227)))";4.9036325;52.348198;
93;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.901559 52.33573,4.901569 52.334831,4.903036 52.334837,4.903026 52.335736,4.901559 52.33573,4.901549 52.336628,4.904483 52.33664,4.904503 52.334843,4.905811 52.334848,4.905166 52.333838,4.899344 52.333249,4.898247 52.332321,4.896741 52.333013,4.898654 52.333021,4.898624 52.335718,4.901559 52.33573)),((4.898565 52.34111,4.897341 52.341105,4.897184 52.342344,4.898988 52.342984,4.901668 52.34292,4.90148 52.342919,4.90149 52.342021,4.898555 52.342009,4.898565 52.34111)),((4.908915 52.338456,4.907398 52.33845,4.907388 52.339348,4.910323 52.33936,4.910327 52.338972,4.908915 52.338456)),((4.914313 52.34043,4.91325 52.340042,4.913238 52.341169,4.914173 52.341173,4.914313 52.34043)))";"MULTIPOLYGON(((52.33573 4.901559,52.334831 4.901569,52.334837 4.903036,52.335736 4.903026,52.33573 4.901559,52.336628 4.901549,52.33664 4.904483,52.334843 4.904503,52.334848 4.905811,52.333838 4.905166,52.333249 4.899344,52.332321 4.898247,52.333013 4.896741,52.333021 4.898654,52.335718 4.898624,52.33573 4.901559)),((52.34111 4.898565,52.341105 4.897341,52.342344 4.897184,52.342984 4.898988,52.34292 4.901668,52.342919 4.90148,52.342021 4.90149,52.342009 4.898555,52.34111 4.898565)),((52.338456 4.908915,52.33845 4.907398,52.339348 4.907388,52.33936 4.910323,52.338972 4.910327,52.338456 4.908915)),((52.34043 4.914313,52.340042 4.91325,52.341169 4.913238,52.341173 4.914173,52.34043 4.914313)))";4.905532;52.3376455;
94;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.883854 52.344371,4.883862 52.343745,4.885595 52.343752,4.885347 52.342191,4.885339 52.342852,4.883872 52.342846,4.883892 52.341048,4.880957 52.341036,4.880968 52.340137,4.878033 52.340125,4.878013 52.341922,4.876545 52.341916,4.876556 52.341017,4.869219 52.340985,4.869209 52.341884,4.867741 52.341878,4.867752 52.340979,4.866284 52.340972,4.866274 52.341871,4.860405 52.341845,4.860398 52.342436,4.862659 52.342549,4.864792 52.343122,4.864796 52.342763,4.866263 52.34277,4.866255 52.343516,4.867971 52.343977,4.876519 52.34419,4.876535 52.342815,4.878002 52.342821,4.877986 52.344226,4.883854 52.344371),(4.880927 52.343732,4.880937 52.342833,4.87947 52.342827,4.879459 52.343726,4.880927 52.343732),(4.867731 52.342776,4.86772 52.343675,4.869188 52.343681,4.869198 52.342783,4.867731 52.342776)),((4.876576 52.33922,4.875109 52.339213,4.875099 52.340112,4.876566 52.340118,4.876576 52.33922)))";"MULTIPOLYGON(((52.344371 4.883854,52.343745 4.883862,52.343752 4.885595,52.342191 4.885347,52.342852 4.885339,52.342846 4.883872,52.341048 4.883892,52.341036 4.880957,52.340137 4.880968,52.340125 4.878033,52.341922 4.878013,52.341916 4.876545,52.341017 4.876556,52.340985 4.869219,52.341884 4.869209,52.341878 4.867741,52.340979 4.867752,52.340972 4.866284,52.341871 4.866274,52.341845 4.860405,52.342436 4.860398,52.342549 4.862659,52.343122 4.864792,52.342763 4.864796,52.34277 4.866263,52.343516 4.866255,52.343977 4.867971,52.34419 4.876519,52.342815 4.876535,52.342821 4.878002,52.344226 4.877986,52.344371 4.883854),(52.343732 4.880927,52.342833 4.880937,52.342827 4.87947,52.343726 4.879459,52.343732 4.880927),(52.342776 4.867731,52.343675 4.86772,52.343681 4.869188,52.342783 4.869198,52.342776 4.867731)),((52.33922 4.876576,52.339213 4.875109,52.340112 4.875099,52.340118 4.876566,52.33922 4.876576)))";4.8730015;52.341785;
95;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"MULTIPOLYGON(((4.856039 52.338778,4.856131 52.331041,4.857598 52.331047,4.857631 52.328351,4.856164 52.328345,4.856142 52.330142,4.854675 52.330136,4.844407 52.330089,4.840017 52.32917,4.840039 52.327373,4.818059 52.325471,4.81657 52.327262,4.816563 52.327747,4.819639 52.330465,4.822791 52.331166,4.834114 52.331941,4.834116 52.331839,4.83705 52.331853,4.837046 52.332142,4.841671 52.332458,4.845051 52.334022,4.846376 52.335491,4.847275 52.335495,4.847243 52.338101,4.848487 52.338196,4.84871 52.338198,4.848709 52.338214,4.856039 52.338778)),((4.856685 52.322056,4.856239 52.322054,4.856174 52.327446,4.857641 52.327453,4.857705 52.32206,4.856685 52.322056)))";"MULTIPOLYGON(((52.338778 4.856039,52.331041 4.856131,52.331047 4.857598,52.328351 4.857631,52.328345 4.856164,52.330142 4.856142,52.330136 4.854675,52.330089 4.844407,52.32917 4.840017,52.327373 4.840039,52.325471 4.818059,52.327262 4.81657,52.327747 4.816563,52.330465 4.819639,52.331166 4.822791,52.331941 4.834114,52.331839 4.834116,52.331853 4.83705,52.332142 4.837046,52.332458 4.841671,52.334022 4.845051,52.335491 4.846376,52.335495 4.847275,52.338101 4.847243,52.338196 4.848487,52.338198 4.84871,52.338214 4.848709,52.338778 4.856039)),((52.322056 4.856685,52.322054 4.856239,52.327446 4.856174,52.327453 4.857641,52.32206 4.857705,52.322056 4.856685)))";4.837139;52.330409;
96;2;"Extreem kleine kans: <1/30.000 per jaar";1;"";"POLYGON((4.898247 52.332321,4.899322 52.330209,4.895107 52.323948,4.896393 52.322142,4.895839 52.322225,4.882639 52.322169,4.882178 52.322167,4.881172 52.322163,4.881152 52.32396,4.882619 52.323966,4.882608 52.324865,4.879675 52.324853,4.879665 52.325751,4.884065 52.32577,4.884055 52.326669,4.882588 52.326663,4.882578 52.327561,4.884045 52.327568,4.884034 52.328466,4.885501 52.328473,4.885522 52.326675,4.888455 52.326688,4.888435 52.328485,4.891369 52.328497,4.891359 52.329396,4.889892 52.32939,4.889882 52.330289,4.888415 52.330282,4.888385 52.332979,4.889852 52.332985,4.889862 52.332086,4.891329 52.332092,4.891319 52.332991,4.894253 52.333003,4.894263 52.332104,4.89573 52.332111,4.89572 52.333009,4.896741 52.333013,4.898247 52.332321),(4.892856 52.326706,4.892846 52.327605,4.894313 52.327611,4.894323 52.326712,4.895789 52.326718,4.895799 52.325819,4.891399 52.325801,4.891389 52.3267,4.889922 52.326694,4.889912 52.327592,4.891379 52.327599,4.891389 52.3267,4.892856 52.326706),(4.897227 52.32942,4.897237 52.328522,4.89577 52.328516,4.89576 52.329414,4.897227 52.32942),(4.892836 52.328503,4.892826 52.329402,4.894293 52.329408,4.894303 52.32851,4.892836 52.328503),(4.898674 52.331224,4.898684 52.330325,4.897217 52.330319,4.897207 52.331218,4.898674 52.331224))";"POLYGON((52.332321 4.898247,52.330209 4.899322,52.323948 4.895107,52.322142 4.896393,52.322225 4.895839,52.322169 4.882639,52.322167 4.882178,52.322163 4.881172,52.32396 4.881152,52.323966 4.882619,52.324865 4.882608,52.324853 4.879675,52.325751 4.879665,52.32577 4.884065,52.326669 4.884055,52.326663 4.882588,52.327561 4.882578,52.327568 4.884045,52.328466 4.884034,52.328473 4.885501,52.326675 4.885522,52.326688 4.888455,52.328485 4.888435,52.328497 4.891369,52.329396 4.891359,52.32939 4.889892,52.330289 4.889882,52.330282 4.888415,52.332979 4.888385,52.332985 4.889852,52.332086 4.889862,52.332092 4.891329,52.332991 4.891319,52.333003 4.894253,52.332104 4.894263,52.332111 4.89573,52.333009 4.89572,52.333013 4.896741,52.332321 4.898247),(52.326706 4.892856,52.327605 4.892846,52.327611 4.894313,52.326712 4.894323,52.326718 4.895789,52.325819 4.895799,52.325801 4.891399,52.3267 4.891389,52.326694 4.889922,52.327592 4.889912,52.327599 4.891379,52.3267 4.891389,52.326706 4.892856),(52.32942 4.897227,52.328522 4.897237,52.328516 4.89577,52.329414 4.89576,52.32942 4.897227),(52.328503 4.892836,52.329402 4.892826,52.329408 4.894293,52.32851 4.894303,52.328503 4.892836),(52.331224 4.898674,52.330325 4.898684,52.330319 4.897217,52.331218 4.897207,52.331224 4.898674))";4.8894985;52.3275705;
97;1;"Geen significante overstromingskans";1;"";"POLYGON((4.903157 52.376755,4.89744 52.369866,4.895312 52.369857,4.895322 52.368958,4.896692 52.368964,4.895943 52.368062,4.895332 52.368059,4.895338 52.367497,4.894092 52.367321,4.893407 52.368051,4.893864 52.368053,4.893854 52.368952,4.892569 52.368947,4.89245 52.369073,4.892583 52.369845,4.893844 52.369851,4.893834 52.370749,4.895302 52.370755,4.895292 52.371654,4.893824 52.371648,4.893814 52.372547,4.893042 52.372544,4.893153 52.3732,4.899349 52.377187,4.903157 52.376755),(4.898199 52.374362,4.898209 52.373464,4.896741 52.373458,4.896731 52.374356,4.898199 52.374362))";"POLYGON((52.376755 4.903157,52.369866 4.89744,52.369857 4.895312,52.368958 4.895322,52.368964 4.896692,52.368062 4.895943,52.368059 4.895332,52.367497 4.895338,52.367321 4.894092,52.368051 4.893407,52.368053 4.893864,52.368952 4.893854,52.368947 4.892569,52.369073 4.89245,52.369845 4.892583,52.369851 4.893844,52.370749 4.893834,52.370755 4.895302,52.371654 4.895292,52.371648 4.893824,52.372547 4.893814,52.372544 4.893042,52.3732 4.893153,52.377187 4.899349,52.376755 4.903157),(52.374362 4.898199,52.373464 4.898209,52.373458 4.896741,52.374356 4.896731,52.374362 4.898199))";4.8978085;52.372247;
98;1;"Geen significante overstromingskans";1;"";"MULTIPOLYGON(((4.896659 52.380909,4.896661 52.380647,4.89813 52.380653,4.89814 52.379755,4.899609 52.379761,4.899618 52.378862,4.902556 52.378874,4.902565 52.377975,4.904034 52.377981,4.904036 52.377785,4.903157 52.376755,4.899349 52.377187,4.893153 52.3732,4.893042 52.372544,4.889409 52.372528,4.889419 52.37163,4.888634 52.371626,4.889431 52.374614,4.890092 52.375227,4.890847 52.375231,4.890857 52.374332,4.892326 52.374338,4.892316 52.375237,4.893784 52.375243,4.893774 52.376142,4.895243 52.376148,4.895223 52.377945,4.893011 52.377936,4.893965 52.378821,4.896659 52.380909)),((4.887978 52.369168,4.887981 52.368927,4.889449 52.368934,4.889459 52.368035,4.890928 52.368041,4.890938 52.367142,4.889469 52.367136,4.889472 52.366885,4.888854 52.366999,4.887869 52.368756,4.887978 52.369168)),((4.893407 52.368051,4.894092 52.367321,4.895338 52.367497,4.895342 52.367161,4.893874 52.367154,4.893884 52.366256,4.892931 52.366252,4.892415 52.366347,4.892396 52.368047,4.893407 52.368051)),((4.892306 52.376136,4.891065 52.37613,4.892293 52.37727,4.892306 52.376136)),((4.892569 52.368947,4.892386 52.368946,4.892376 52.369845,4.892583 52.369845,4.89245 52.369073,4.892569 52.368947)))";"MULTIPOLYGON(((52.380909 4.896659,52.380647 4.896661,52.380653 4.89813,52.379755 4.89814,52.379761 4.899609,52.378862 4.899618,52.378874 4.902556,52.377975 4.902565,52.377981 4.904034,52.377785 4.904036,52.376755 4.903157,52.377187 4.899349,52.3732 4.893153,52.372544 4.893042,52.372528 4.889409,52.37163 4.889419,52.371626 4.888634,52.374614 4.889431,52.375227 4.890092,52.375231 4.890847,52.374332 4.890857,52.374338 4.892326,52.375237 4.892316,52.375243 4.893784,52.376142 4.893774,52.376148 4.895243,52.377945 4.895223,52.377936 4.893011,52.378821 4.893965,52.380909 4.896659)),((52.369168 4.887978,52.368927 4.887981,52.368934 4.889449,52.368035 4.889459,52.368041 4.890928,52.367142 4.890938,52.367136 4.889469,52.366885 4.889472,52.366999 4.888854,52.368756 4.887869,52.369168 4.887978)),((52.368051 4.893407,52.367321 4.894092,52.367497 4.895338,52.367161 4.895342,52.367154 4.893874,52.366256 4.893884,52.366252 4.892931,52.366347 4.892415,52.368047 4.892396,52.368051 4.893407)),((52.376136 4.892306,52.37613 4.891065,52.37727 4.892293,52.376136 4.892306)),((52.368947 4.892569,52.368946 4.892386,52.369845 4.892376,52.369845 4.892583,52.369073 4.89245,52.368947 4.892569)))";4.8959575;52.3735735;
99;1;"Geen significante overstromingskans";1;"";"MULTIPOLYGON(((4.885085 52.36532,4.885075 52.366219,4.883607 52.366213,4.883614 52.365592,4.882719 52.36615,4.88297 52.370704,4.885024 52.370712,4.885055 52.368016,4.886523 52.368022,4.886493 52.370719,4.887961 52.370725,4.887978 52.369168,4.887869 52.368756,4.888854 52.366999,4.888007 52.366617,4.888001 52.36713,4.886533 52.367124,4.886543 52.366225,4.887144 52.366228,4.885132 52.36532,4.885085 52.36532)),((4.884956 52.376746,4.884963 52.376105,4.8879 52.376117,4.88791 52.375218,4.890092 52.375227,4.889431 52.374614,4.888634 52.371626,4.88302 52.371603,4.88307 52.372502,4.886472 52.372516,4.886462 52.373415,4.884994 52.373408,4.884974 52.375206,4.883534 52.3752,4.884956 52.376746)),((4.892286 52.377933,4.892276 52.378832,4.889339 52.378819,4.889328 52.379718,4.88786 52.379712,4.887858 52.379903,4.8884 52.380492,4.893965 52.378821,4.893011 52.377936,4.892286 52.377933)),((4.889359 52.377022,4.890827 52.377028,4.890817 52.377927,4.892286 52.377933,4.892293 52.37727,4.891065 52.37613,4.889369 52.376123,4.889359 52.377022)),((4.889359 52.377022,4.886422 52.37701,4.886412 52.377908,4.889349 52.377921,4.889359 52.377022)),((4.883525 52.373402,4.883119 52.373401,4.883198 52.374833,4.883505 52.375168,4.883525 52.373402)),((4.885085 52.36532,4.885086 52.365299,4.884503 52.365036,4.884056 52.365316,4.885085 52.36532)),((4.886412 52.377908,4.886022 52.377907,4.886407 52.378324,4.886412 52.377908)))";"MULTIPOLYGON(((52.36532 4.885085,52.366219 4.885075,52.366213 4.883607,52.365592 4.883614,52.36615 4.882719,52.370704 4.88297,52.370712 4.885024,52.368016 4.885055,52.368022 4.886523,52.370719 4.886493,52.370725 4.887961,52.369168 4.887978,52.368756 4.887869,52.366999 4.888854,52.366617 4.888007,52.36713 4.888001,52.367124 4.886533,52.366225 4.886543,52.366228 4.887144,52.36532 4.885132,52.36532 4.885085)),((52.376746 4.884956,52.376105 4.884963,52.376117 4.8879,52.375218 4.88791,52.375227 4.890092,52.374614 4.889431,52.371626 4.888634,52.371603 4.88302,52.372502 4.88307,52.372516 4.886472,52.373415 4.886462,52.373408 4.884994,52.375206 4.884974,52.3752 4.883534,52.376746 4.884956)),((52.377933 4.892286,52.378832 4.892276,52.378819 4.889339,52.379718 4.889328,52.379712 4.88786,52.379903 4.887858,52.380492 4.8884,52.378821 4.893965,52.377936 4.893011,52.377933 4.892286)),((52.377022 4.889359,52.377028 4.890827,52.377927 4.890817,52.377933 4.892286,52.37727 4.892293,52.37613 4.891065,52.376123 4.889369,52.377022 4.889359)),((52.377022 4.889359,52.37701 4.886422,52.377908 4.886412,52.377921 4.889349,52.377022 4.889359)),((52.373402 4.883525,52.373401 4.883119,52.374833 4.883198,52.375168 4.883505,52.373402 4.883525)),((52.36532 4.885085,52.365299 4.885086,52.365036 4.884503,52.365316 4.884056,52.36532 4.885085)),((52.377908 4.886412,52.377907 4.886022,52.378324 4.886407,52.377908 4.886412)))";4.888347;52.372757;
100;1;"Geen significante overstromingskans";1;"";"MULTIPOLYGON(((4.898288 52.366274,4.898308 52.364477,4.901244 52.364489,4.901254 52.36359,4.89685 52.363572,4.89687 52.361768,4.89611 52.361627,4.895402 52.361722,4.895362 52.365363,4.89683 52.365369,4.89682 52.366268,4.898288 52.366274)),((4.88952 52.362642,4.88853 52.362638,4.888016 52.362707,4.886775 52.36353,4.888042 52.363535,4.888032 52.364434,4.892436 52.364452,4.892426 52.365351,4.893894 52.365357,4.893914 52.36356,4.88951 52.363541,4.88952 52.362642)),((4.888011 52.366231,4.888022 52.365332,4.885132 52.36532,4.887144 52.366228,4.888011 52.366231)),((4.901265 52.362582,4.898335 52.36204,4.898328 52.362679,4.901264 52.362691,4.901265 52.362582)),((4.888011 52.366231,4.888007 52.366617,4.888854 52.366999,4.889472 52.366885,4.88948 52.366237,4.888011 52.366231)),((4.892456 52.362655,4.892462 52.362114,4.890992 52.36231,4.890988 52.362649,4.892456 52.362655)),((4.900711 52.366284,4.899757 52.36628,4.89975 52.366904,4.900201 52.366842,4.900711 52.366284)),((4.885086 52.365299,4.885093 52.364645,4.884503 52.365036,4.885086 52.365299)),((4.892931 52.366252,4.892416 52.36625,4.892415 52.366347,4.892931 52.366252)))";"MULTIPOLYGON(((52.366274 4.898288,52.364477 4.898308,52.364489 4.901244,52.36359 4.901254,52.363572 4.89685,52.361768 4.89687,52.361627 4.89611,52.361722 4.895402,52.365363 4.895362,52.365369 4.89683,52.366268 4.89682,52.366274 4.898288)),((52.362642 4.88952,52.362638 4.88853,52.362707 4.888016,52.36353 4.886775,52.363535 4.888042,52.364434 4.888032,52.364452 4.892436,52.365351 4.892426,52.365357 4.893894,52.36356 4.893914,52.363541 4.88951,52.362642 4.88952)),((52.366231 4.888011,52.365332 4.888022,52.36532 4.885132,52.366228 4.887144,52.366231 4.888011)),((52.362582 4.901265,52.36204 4.898335,52.362679 4.898328,52.362691 4.901264,52.362582 4.901265)),((52.366231 4.888011,52.366617 4.888007,52.366999 4.888854,52.366885 4.889472,52.366237 4.88948,52.366231 4.888011)),((52.362655 4.892456,52.362114 4.892462,52.36231 4.890992,52.362649 4.890988,52.362655 4.892456)),((52.366284 4.900711,52.36628 4.899757,52.366904 4.89975,52.366842 4.900201,52.366284 4.900711)),((52.365299 4.885086,52.364645 4.885093,52.365036 4.884503,52.365299 4.885086)),((52.366252 4.892931,52.36625 4.892416,52.366347 4.892415,52.366252 4.892931)))";4.892889;52.364306;
101;1;"Geen significante overstromingskans";1;"";"MULTIPOLYGON(((4.905551 52.373494,4.904083 52.373488,4.904112 52.370792,4.901175 52.37078,4.901185 52.369881,4.904122 52.369893,4.904112 52.370792,4.90558 52.370798,4.90559 52.369899,4.908527 52.369911,4.908517 52.37081,4.907049 52.370804,4.907029 52.372601,4.905561 52.372595,4.905551 52.373494,4.908488 52.373506,4.908498 52.372607,4.909966 52.372613,4.909985 52.370815,4.911454 52.370821,4.911444 52.37172,4.912912 52.371726,4.912919 52.371128,4.909813 52.369182,4.909558 52.369016,4.907068 52.369006,4.907078 52.368107,4.908167 52.368112,4.906046 52.366733,4.90416 52.366354,4.904151 52.367197,4.902683 52.367191,4.902693 52.366292,4.900711 52.366284,4.900201 52.366842,4.89975 52.366904,4.899737 52.368077,4.901205 52.368084,4.901195 52.368982,4.899727 52.368976,4.899737 52.368077,4.898269 52.368071,4.898249 52.369869,4.899717 52.369875,4.899707 52.370774,4.898239 52.370768,4.898249 52.369869,4.89744 52.369866,4.903157 52.376755,4.904036 52.377785,4.904044 52.377083,4.905512 52.377089,4.905522 52.37619,4.904053 52.376184,4.904073 52.374387,4.905541 52.374393,4.905551 52.373494)),((4.909908 52.378005,4.909927 52.376208,4.908459 52.376202,4.908449 52.377101,4.906981 52.377095,4.906971 52.377993,4.909908 52.378005)),((4.8968 52.368065,4.895943 52.368062,4.896692 52.368964,4.89679 52.368964,4.8968 52.368065)))";"MULTIPOLYGON(((52.373494 4.905551,52.373488 4.904083,52.370792 4.904112,52.37078 4.901175,52.369881 4.901185,52.369893 4.904122,52.370792 4.904112,52.370798 4.90558,52.369899 4.90559,52.369911 4.908527,52.37081 4.908517,52.370804 4.907049,52.372601 4.907029,52.372595 4.905561,52.373494 4.905551,52.373506 4.908488,52.372607 4.908498,52.372613 4.909966,52.370815 4.909985,52.370821 4.911454,52.37172 4.911444,52.371726 4.912912,52.371128 4.912919,52.369182 4.909813,52.369016 4.909558,52.369006 4.907068,52.368107 4.907078,52.368112 4.908167,52.366733 4.906046,52.366354 4.90416,52.367197 4.904151,52.367191 4.902683,52.366292 4.902693,52.366284 4.900711,52.366842 4.900201,52.366904 4.89975,52.368077 4.899737,52.368084 4.901205,52.368982 4.901195,52.368976 4.899727,52.368077 4.899737,52.368071 4.898269,52.369869 4.898249,52.369875 4.899717,52.370774 4.899707,52.370768 4.898239,52.369869 4.898249,52.369866 4.89744,52.376755 4.903157,52.377785 4.904036,52.377083 4.904044,52.377089 4.905512,52.37619 4.905522,52.376184 4.904053,52.374387 4.904073,52.374393 4.905541,52.373494 4.905551)),((52.378005 4.909908,52.376208 4.909927,52.376202 4.908459,52.377101 4.908449,52.377095 4.906981,52.377993 4.906971,52.378005 4.909908)),((52.368065 4.8968,52.368062 4.895943,52.368964 4.896692,52.368964 4.89679,52.368065 4.8968)))";4.904436;52.3721375;
102;1;"Geen significante overstromingskans";1;"";"MULTIPOLYGON(((4.893644 52.387825,4.893704 52.382433,4.895173 52.382439,4.895183 52.38154,4.896652 52.381546,4.896659 52.380909,4.893965 52.378821,4.8884 52.380492,4.884891 52.382514,4.884882 52.383294,4.883547 52.383289,4.881925 52.384223,4.882756 52.385414,4.883378 52.386376,4.883383 52.385984,4.884852 52.38599,4.884862 52.385092,4.887799 52.385104,4.887809 52.384205,4.889278 52.384212,4.889288 52.383313,4.892226 52.383325,4.892175 52.387819,4.893644 52.387825)),((4.8863 52.387794,4.88631 52.386895,4.884841 52.386889,4.884831 52.387788,4.8863 52.387794)),((4.8863 52.387794,4.886294 52.388372,4.887762 52.388395,4.887769 52.3878,4.8863 52.387794)))";"MULTIPOLYGON(((52.387825 4.893644,52.382433 4.893704,52.382439 4.895173,52.38154 4.895183,52.381546 4.896652,52.380909 4.896659,52.378821 4.893965,52.380492 4.8884,52.382514 4.884891,52.383294 4.884882,52.383289 4.883547,52.384223 4.881925,52.385414 4.882756,52.386376 4.883378,52.385984 4.883383,52.38599 4.884852,52.385092 4.884862,52.385104 4.887799,52.384205 4.887809,52.384212 4.889278,52.383313 4.889288,52.383325 4.892226,52.387819 4.892175,52.387825 4.893644)),((52.387794 4.8863,52.386895 4.88631,52.386889 4.884841,52.387788 4.884831,52.387794 4.8863)),((52.387794 4.8863,52.388372 4.886294,52.388395 4.887762,52.3878 4.887769,52.387794 4.8863)))";4.889297;52.383601;
103;1;"Geen significante overstromingskans";1;"";"MULTIPOLYGON(((4.883198 52.374833,4.883119 52.373401,4.882057 52.373396,4.882047 52.374295,4.877642 52.374276,4.877693 52.369782,4.879161 52.369789,4.879182 52.367991,4.88065 52.367997,4.88064 52.368896,4.882108 52.368902,4.882088 52.3707,4.88297 52.370704,4.882719 52.36615,4.87927 52.364957,4.879216 52.365014,4.879203 52.366194,4.878101 52.366189,4.87754 52.366782,4.877392 52.367085,4.877724 52.367086,4.877714 52.367985,4.876955 52.367982,4.87671 52.368481,4.876231 52.36922,4.876204 52.371573,4.874708 52.371567,4.874506 52.371877,4.87538 52.373407,4.875811 52.374268,4.876173 52.37427,4.876165 52.374977,4.876261 52.375169,4.877631 52.375175,4.877621 52.376073,4.882026 52.376092,4.882016 52.376991,4.884953 52.377003,4.884956 52.376746,4.883534 52.3752,4.883505 52.3752,4.883505 52.375168,4.883198 52.374833)),((4.881975 52.380586,4.879038 52.380573,4.879036 52.380717,4.879416 52.381474,4.881965 52.381484,4.881975 52.380586)),((4.884891 52.382514,4.8884 52.380492,4.887858 52.379903,4.88785 52.380611,4.886381 52.380604,4.886371 52.381503,4.884902 52.381497,4.884891 52.382514)),((4.879069 52.377877,4.880537 52.377883,4.880548 52.376985,4.879079 52.376978,4.879069 52.377877)),((4.880619 52.370694,4.879151 52.370687,4.879141 52.371586,4.880609 52.371592,4.880619 52.370694)),((4.886022 52.377907,4.884943 52.377902,4.884933 52.378801,4.886401 52.378807,4.886407 52.378324,4.886022 52.377907)),((4.879069 52.377877,4.877612 52.377871,4.878063 52.378771,4.879059 52.378776,4.879069 52.377877)),((4.88302 52.371603,4.882078 52.371599,4.882067 52.372497,4.88307 52.372502,4.88302 52.371603)),((4.881925 52.384223,4.883547 52.383289,4.881945 52.383282,4.881934 52.384181,4.881883 52.38418,4.881925 52.384223)))";"MULTIPOLYGON(((52.374833 4.883198,52.373401 4.883119,52.373396 4.882057,52.374295 4.882047,52.374276 4.877642,52.369782 4.877693,52.369789 4.879161,52.367991 4.879182,52.367997 4.88065,52.368896 4.88064,52.368902 4.882108,52.3707 4.882088,52.370704 4.88297,52.36615 4.882719,52.364957 4.87927,52.365014 4.879216,52.366194 4.879203,52.366189 4.878101,52.366782 4.87754,52.367085 4.877392,52.367086 4.877724,52.367985 4.877714,52.367982 4.876955,52.368481 4.87671,52.36922 4.876231,52.371573 4.876204,52.371567 4.874708,52.371877 4.874506,52.373407 4.87538,52.374268 4.875811,52.37427 4.876173,52.374977 4.876165,52.375169 4.876261,52.375175 4.877631,52.376073 4.877621,52.376092 4.882026,52.376991 4.882016,52.377003 4.884953,52.376746 4.884956,52.3752 4.883534,52.3752 4.883505,52.375168 4.883505,52.374833 4.883198)),((52.380586 4.881975,52.380573 4.879038,52.380717 4.879036,52.381474 4.879416,52.381484 4.881965,52.380586 4.881975)),((52.382514 4.884891,52.380492 4.8884,52.379903 4.887858,52.380611 4.88785,52.380604 4.886381,52.381503 4.886371,52.381497 4.884902,52.382514 4.884891)),((52.377877 4.879069,52.377883 4.880537,52.376985 4.880548,52.376978 4.879079,52.377877 4.879069)),((52.370694 4.880619,52.370687 4.879151,52.371586 4.879141,52.371592 4.880609,52.370694 4.880619)),((52.377907 4.886022,52.377902 4.884943,52.378801 4.884933,52.378807 4.886401,52.378324 4.886407,52.377907 4.886022)),((52.377877 4.879069,52.377871 4.877612,52.378771 4.878063,52.378776 4.879059,52.377877 4.879069)),((52.371603 4.88302,52.371599 4.882078,52.372497 4.882067,52.372502 4.88307,52.371603 4.88302)),((52.384223 4.881925,52.383289 4.883547,52.383282 4.881945,52.384181 4.881934,52.38418 4.881883,52.384223 4.881925)))";4.881458;52.374583;
