OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
9448;"CPT000000047805A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.2";"24.2";-11.6;"POINT(4.833913,52.363819)";"POINT(52.363819,4.833913)";4.833913;52.363819;
9449;"CPT000000047806A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.0";"24.2";-11.5;"POINT(4.83409,52.363784)";"POINT(52.363784,4.83409)";4.83409;52.363784;
9450;"CPT000000047807A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.0";"24.7";-11.6;"POINT(4.833912,52.3639)";"POINT(52.3639,4.833912)";4.833912;52.3639;
9451;"CPT000000047808A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.1";"23.3";-11.4;"POINT(4.834089,52.363901)";"POINT(52.363901,4.834089)";4.834089;52.363901;
9452;"CPT000000047809A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.2";"24.3";-11.5;"POINT(4.833911,52.364053)";"POINT(52.364053,4.833911)";4.833911;52.364053;
9453;"CPT000000047810A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.2";"22.7";-11.5;"POINT(4.834087,52.364054)";"POINT(52.364054,4.834087)";4.834087;52.364054;
9454;"CPT000000047811A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.1";"23.5";-11.3;"POINT(4.833909,52.364214)";"POINT(52.364214,4.833909)";4.833909;52.364214;
9455;"CPT000000047812A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.0";"24.5";-11.5;"POINT(4.83407,52.364215)";"POINT(52.364215,4.83407)";4.83407;52.364215;
9456;"CPT000000047813A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.1";"24.9";-11.6;"POINT(4.833908,52.364286)";"POINT(52.364286,4.833908)";4.833908;52.364286;
9457;"CPT000000047814A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.1";"24.2";-11.7;"POINT(4.834068,52.364395)";"POINT(52.364395,4.834068)";4.834068;52.364395;
9458;"CPT000000047815A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.2";"26.7";-11.8;"POINT(4.84722,52.364581)";"POINT(52.364581,4.84722)";4.84722;52.364581;
9459;"CPT000000047816A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.1";"25.9";-11.7;"POINT(4.847246,52.364833)";"POINT(52.364833,4.847246)";4.847246;52.364833;
9460;"CPT000000047817A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.1";"26.8";-11.9;"POINT(4.847273,52.365049)";"POINT(52.365049,4.847273)";4.847273;52.365049;
9461;"CPT000000047818A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.1";"26.8";-11.9;"POINT(4.847285,52.365256)";"POINT(52.365256,4.847285)";4.847285;52.365256;
9462;"CPT000000047819A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.0";"26.5";-11.8;"POINT(4.8474,52.365463)";"POINT(52.365463,4.8474)";4.8474;52.365463;
9463;"CPT000000047820A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"25.6";-10.9;"POINT(4.835527,52.352116)";"POINT(52.352116,4.835527)";4.835527;52.352116;
9464;"CPT000000047821A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"26.5";-10.9;"POINT(4.835718,52.352072)";"POINT(52.352072,4.835718)";4.835718;52.352072;
9465;"CPT000000047822A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"27.0";-11.4;"POINT(4.836024,52.352253)";"POINT(52.352253,4.836024)";4.836024;52.352253;
9466;"CPT000000047823A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.6";"24.2";-11.6;"POINT(4.82512,52.3626)";"POINT(52.3626,4.82512)";4.82512;52.3626;
9467;"CPT000000047824A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"23.5";-11.6;"POINT(4.82559,52.362611)";"POINT(52.362611,4.82559)";4.82559;52.362611;
9468;"CPT000000047825A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.6";"23.7";-12.2;"POINT(4.826294,52.362624)";"POINT(52.362624,4.826294)";4.826294;52.362624;
9469;"CPT000000047826A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"19.1";-11.2;"POINT(4.826837,52.362635)";"POINT(52.362635,4.826837)";4.826837;52.362635;
9470;"CPT000000047827A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.6";-11.3;"POINT(4.826974,52.36225)";"POINT(52.36225,4.826974)";4.826974;52.36225;
9471;"CPT000000047828A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.7";-11.6;"POINT(4.826995,52.361755)";"POINT(52.361755,4.826995)";4.826995;52.361755;
9472;"CPT000000047829A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"23.2";-11.5;"POINT(4.826986,52.36136)";"POINT(52.36136,4.826986)";4.826986;52.36136;
9473;"CPT000000047830A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"23.8";-11.4;"POINT(4.827022,52.360767)";"POINT(52.360767,4.827022)";4.827022;52.360767;
9474;"CPT000000047831A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.6";-11.4;"POINT(4.827042,52.360353)";"POINT(52.360353,4.827042)";4.827042;52.360353;
9475;"CPT000000047832A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"22.3";-11.4;"POINT(4.827048,52.359886)";"POINT(52.359886,4.827048)";4.827048;52.359886;
9476;"CPT000000047833A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"21.6";-11.1;"POINT(4.827052,52.359572)";"POINT(52.359572,4.827052)";4.827052;52.359572;
9477;"CPT000000047834A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"22.2";-11.5;"POINT(4.822037,52.359152)";"POINT(52.359152,4.822037)";4.822037;52.359152;
9478;"CPT000000047835A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"22.3";-10.1;"POINT(4.822741,52.359183)";"POINT(52.359183,4.822741)";4.822741;52.359183;
9479;"CPT000000047836A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.4";-11.9;"POINT(4.83638,52.364963)";"POINT(52.364963,4.83638)";4.83638;52.364963;
9480;"CPT000000047837A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.6";"24.3";-11.8;"POINT(4.836632,52.364766)";"POINT(52.364766,4.836632)";4.836632;52.364766;
9481;"CPT000000047838A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"24.3";-11.5;"POINT(4.836635,52.364533)";"POINT(52.364533,4.836635)";4.836635;52.364533;
9482;"CPT000000047839A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.2";-11.3;"POINT(4.828108,52.35617)";"POINT(52.35617,4.828108)";4.828108;52.35617;
9483;"CPT000000047840A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.3";-11.6;"POINT(4.827594,52.35615)";"POINT(52.35615,4.827594)";4.827594;52.35615;
9484;"CPT000000047841A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"24.4";-11.8;"POINT(4.827493,52.355997)";"POINT(52.355997,4.827493)";4.827493;52.355997;
9485;"CPT000000047842A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.3";-11.4;"POINT(4.827511,52.355772)";"POINT(52.355772,4.827511)";4.827511;52.355772;
9486;"CPT000000047843A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"24.3";-11.9;"POINT(4.827514,52.355556)";"POINT(52.355556,4.827514)";4.827514;52.355556;
9487;"CPT000000047844A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"24.9";-11.1;"POINT(4.827516,52.355368)";"POINT(52.355368,4.827516)";4.827516;52.355368;
9488;"CPT000000047845A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.4";-11.5;"POINT(4.827519,52.355152)";"POINT(52.355152,4.827519)";4.827519;52.355152;
9489;"CPT000000047846A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.4";-11;"POINT(4.827522,52.354909)";"POINT(52.354909,4.827522)";4.827522;52.354909;
9490;"CPT000000047847A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.3";-11.1;"POINT(4.827527,52.354469)";"POINT(52.354469,4.827527)";4.827527;52.354469;
9491;"CPT000000047848A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.3";-12.5;"POINT(4.827516,52.354235)";"POINT(52.354235,4.827516)";4.827516;52.354235;
9492;"CPT000000047849A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.2";-11.4;"POINT(4.827519,52.35401)";"POINT(52.35401,4.827519)";4.827519;52.35401;
9493;"CPT000000047850A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.3";-11.6;"POINT(4.827521,52.353831)";"POINT(52.353831,4.827521)";4.827521;52.353831;
9494;"CPT000000047851A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.4";-12;"POINT(4.827524,52.35357)";"POINT(52.35357,4.827524)";4.827524;52.35357;
9495;"CPT000000047852A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.4";-12;"POINT(4.827542,52.353336)";"POINT(52.353336,4.827542)";4.827542;52.353336;
9496;"CPT000000047853A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"23.8";-11.7;"POINT(4.82753,52.353121)";"POINT(52.353121,4.82753)";4.82753;52.353121;
9497;"CPT000000047854A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.5";-11.4;"POINT(4.827532,52.352914)";"POINT(52.352914,4.827532)";4.827532;52.352914;
9498;"CPT000000047855A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"25.5";-11.4;"POINT(4.82755,52.352689)";"POINT(52.352689,4.82755)";4.82755;52.352689;
9499;"CPT000000047856A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.4";"24.4";-11.3;"POINT(4.827391,52.352509)";"POINT(52.352509,4.827391)";4.827391;52.352509;
9500;"CPT000000047857A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.0";-11.3;"POINT(4.827024,52.352489)";"POINT(52.352489,4.827024)";4.827024;52.352489;
9501;"CPT000000047858A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"25.5";-11.3;"POINT(4.826686,52.352488)";"POINT(52.352488,4.826686)";4.826686;52.352488;
9502;"CPT000000047859A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.4";-12.7;"POINT(4.826363,52.352513)";"POINT(52.352513,4.826363)";4.826363;52.352513;
9503;"CPT000000047860A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"25.3";-11.2;"POINT(4.825938,52.352475)";"POINT(52.352475,4.825938)";4.825938;52.352475;
9504;"CPT000000047861A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"25.4";-16.5;"POINT(4.825483,52.352473)";"POINT(52.352473,4.825483)";4.825483;52.352473;
9505;"CPT000000047862A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"25.5";-11.1;"POINT(4.82516,52.352462)";"POINT(52.352462,4.82516)";4.82516;52.352462;
9506;"CPT000000047863A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"25.4";-11;"POINT(4.824808,52.352461)";"POINT(52.352461,4.824808)";4.824808;52.352461;
9507;"CPT000000047864A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.1";-11.2;"POINT(4.823372,52.359195)";"POINT(52.359195,4.823372)";4.823372;52.359195;
9508;"CPT000000047865A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"23.5";-11.2;"POINT(4.824091,52.359198)";"POINT(52.359198,4.824091)";4.824091;52.359198;
9509;"CPT000000047866A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"22.4";-11.4;"POINT(4.824899,52.359211)";"POINT(52.359211,4.824899)";4.824899;52.359211;
9510;"CPT000000047867A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"21.2";-11.3;"POINT(4.825633,52.359214)";"POINT(52.359214,4.825633)";4.825633;52.359214;
9511;"CPT000000047868A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"18.0";-11.3;"POINT(4.826264,52.359235)";"POINT(52.359235,4.826264)";4.826264;52.359235;
9512;"CPT000000047869A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"21.8";-11.4;"POINT(4.826968,52.359257)";"POINT(52.359257,4.826968)";4.826968;52.359257;
9513;"CPT000000047870A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.2";"17.8";-11.2;"POINT(4.829155,52.35924)";"POINT(52.35924,4.829155)";4.829155;52.35924;
9514;"CPT000000047871A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"23.8";-12;"POINT(4.82986,52.359252)";"POINT(52.359252,4.82986)";4.82986;52.359252;
9515;"CPT000000047872A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"23.2";-11.3;"POINT(4.830682,52.359256)";"POINT(52.359256,4.830682)";4.830682;52.359256;
9516;"CPT000000047873A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.6";-11.3;"POINT(4.831313,52.359313)";"POINT(52.359313,4.831313)";4.831313;52.359313;
9517;"CPT000000047874A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"22.8";-11.5;"POINT(4.831423,52.359889)";"POINT(52.359889,4.831423)";4.831423;52.359889;
9518;"CPT000000047875A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"23.7";-11.9;"POINT(4.831418,52.360266)";"POINT(52.360266,4.831418)";4.831418;52.360266;
9519;"CPT000000047876A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.0";-11.6;"POINT(4.836702,52.362691)";"POINT(52.362691,4.836702)";4.836702;52.362691;
9520;"CPT000000047877A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"23.4";-11.6;"POINT(4.837406,52.362775)";"POINT(52.362775,4.837406)";4.837406;52.362775;
9521;"CPT000000047878A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"23.0";-11.6;"POINT(4.838022,52.362778)";"POINT(52.362778,4.838022)";4.838022;52.362778;
9522;"CPT000000047879A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"22.4";-11.7;"POINT(4.838595,52.36278)";"POINT(52.36278,4.838595)";4.838595;52.36278;
9523;"CPT000000047880A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.0";-11.6;"POINT(4.839123,52.362792)";"POINT(52.362792,4.839123)";4.839123;52.362792;
9524;"CPT000000047881A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"23.1";-11.5;"POINT(4.839872,52.362804)";"POINT(52.362804,4.839872)";4.839872;52.362804;
9525;"CPT000000047882A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"23.0";-11.9;"POINT(4.840606,52.362807)";"POINT(52.362807,4.840606)";4.840606;52.362807;
9526;"CPT000000047883A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"23.3";-11.5;"POINT(4.840489,52.362771)";"POINT(52.362771,4.840489)";4.840489;52.362771;
9527;"CPT000000047884A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"23.9";-11.5;"POINT(4.840579,52.362601)";"POINT(52.362601,4.840579)";4.840579;52.362601;
9528;"CPT000000047885A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"23.2";-11.3;"POINT(4.840582,52.362403)";"POINT(52.362403,4.840582)";4.840582;52.362403;
9529;"CPT000000047886A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.1";-12;"POINT(4.840584,52.362187)";"POINT(52.362187,4.840584)";4.840584;52.362187;
9530;"CPT000000047887A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"22.6";-11.6;"POINT(4.840587,52.361945)";"POINT(52.361945,4.840587)";4.840587;52.361945;
9531;"CPT000000047888A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"22.5";-13.2;"POINT(4.840605,52.361684)";"POINT(52.361684,4.840605)";4.840605;52.361684;
9532;"CPT000000047889A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"22.7";-11.4;"POINT(4.840622,52.361477)";"POINT(52.361477,4.840622)";4.840622;52.361477;
9533;"CPT000000047890A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.1";-11.4;"POINT(4.84061,52.361253)";"POINT(52.361253,4.84061)";4.84061;52.361253;
9534;"CPT000000047891A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"22.5";-11.4;"POINT(4.840613,52.36101)";"POINT(52.36101,4.840613)";4.840613;52.36101;
9535;"CPT000000047892A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"23.9";-12.6;"POINT(4.840631,52.360785)";"POINT(52.360785,4.840631)";4.840631;52.360785;
9536;"CPT000000047893A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.0";-14.1;"POINT(4.840648,52.360543)";"POINT(52.360543,4.840648)";4.840648;52.360543;
9537;"CPT000000047894A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.6";"23.9";-12.5;"POINT(4.840607,52.359141)";"POINT(52.359141,4.840607)";4.840607;52.359141;
9538;"CPT000000047895A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"23.9";-12;"POINT(4.840682,52.359024)";"POINT(52.359024,4.840682)";4.840682;52.359024;
9539;"CPT000000047896A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.0";-12.3;"POINT(4.840684,52.358844)";"POINT(52.358844,4.840684)";4.840684;52.358844;
9540;"CPT000000047897A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"23.9";-11.5;"POINT(4.840627,52.358673)";"POINT(52.358673,4.840627)";4.840627;52.358673;
9541;"CPT000000047898A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"24.4";-12.2;"POINT(4.840631,52.35835)";"POINT(52.35835,4.840631)";4.840631;52.35835;
9542;"CPT000000047899A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"24.0";-11.3;"POINT(4.840671,52.357505)";"POINT(52.357505,4.840671)";4.840671;52.357505;
9543;"CPT000000047900A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.0";-11.4;"POINT(4.840675,52.3572)";"POINT(52.3572,4.840675)";4.840675;52.3572;
9544;"CPT000000047901A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.0";-11.3;"POINT(4.840677,52.357038)";"POINT(52.357038,4.840677)";4.840677;52.357038;
9545;"CPT000000047902A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"23.3";-11.3;"POINT(4.840679,52.356876)";"POINT(52.356876,4.840679)";4.840679;52.356876;
9546;"CPT000000047903A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.0";-11.2;"POINT(4.840682,52.356597)";"POINT(52.356597,4.840682)";4.840682;52.356597;
9547;"CPT000000047904A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"22.5";-11.3;"POINT(4.840652,52.360273)";"POINT(52.360273,4.840652)";4.840652;52.360273;
9548;"CPT000000047905A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"19.3";-14.6;"POINT(4.84064,52.360057)";"POINT(52.360057,4.84064)";4.84064;52.360057;
9549;"CPT000000047908A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"23.4";-13.3;"POINT(4.840643,52.359815)";"POINT(52.359815,4.840643)";4.840643;52.359815;
9550;"CPT000000047909A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"23.7";-11.6;"POINT(4.840707,52.359393)";"POINT(52.359393,4.840707)";4.840707;52.359393;
9551;"CPT000000047910A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.1";"21.0";-11.1;"POINT(4.828451,52.359228)";"POINT(52.359228,4.828451)";4.828451;52.359228;
9552;"CPT000000047911A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"24.1";-14.4;"POINT(4.84066,52.35959)";"POINT(52.35959,4.84066)";4.84066;52.35959;
9553;"CPT000000047912A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.1";"23.5";-11;"POINT(4.834666,52.358789)";"POINT(52.358789,4.834666)";4.834666;52.358789;
9554;"CPT000000047916A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"24.8";-11.1;"POINT(4.827728,52.352537)";"POINT(52.352537,4.827728)";4.827728;52.352537;
9555;"CPT000000047917A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"25.0";-11.4;"POINT(4.828007,52.352539)";"POINT(52.352539,4.828007)";4.828007;52.352539;
9556;"CPT000000047918A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"25.0";-11.5;"POINT(4.828403,52.352532)";"POINT(52.352532,4.828403)";4.828403;52.352532;
9557;"CPT000000047919A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"25.0";-11.3;"POINT(4.828829,52.352552)";"POINT(52.352552,4.828829)";4.828829;52.352552;
9558;"CPT000000047920A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.8";-11.1;"POINT(4.829166,52.352544)";"POINT(52.352544,4.829166)";4.829166;52.352544;
9559;"CPT000000047921A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"25.0";-11.1;"POINT(4.829504,52.352546)";"POINT(52.352546,4.829504)";4.829504;52.352546;
9560;"CPT000000047922A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.1";-11.1;"POINT(4.829871,52.352557)";"POINT(52.352557,4.829871)";4.829871;52.352557;
9561;"CPT000000047923A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.0";-12.4;"POINT(4.830237,52.352558)";"POINT(52.352558,4.830237)";4.830237;52.352558;
9562;"CPT000000047924A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.0";-11.3;"POINT(4.830648,52.352569)";"POINT(52.352569,4.830648)";4.830648;52.352569;
9563;"CPT000000047925A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"23.5";-11;"POINT(4.831001,52.352544)";"POINT(52.352544,4.831001)";4.831001;52.352544;
9564;"CPT000000047926A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"22.6";-11.1;"POINT(4.831353,52.352572)";"POINT(52.352572,4.831353)";4.831353;52.352572;
9565;"CPT000000047927A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.0";-11.3;"POINT(4.83169,52.352574)";"POINT(52.352574,4.83169)";4.83169;52.352574;
9566;"CPT000000047928A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.0";-11.2;"POINT(4.832116,52.352594)";"POINT(52.352594,4.832116)";4.832116;52.352594;
9567;"CPT000000047929A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"24.0";-11.2;"POINT(4.83241,52.352568)";"POINT(52.352568,4.83241)";4.83241;52.352568;
9568;"CPT000000047930A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"25.5";-11.4;"POINT(4.820856,52.359686)";"POINT(52.359686,4.820856)";4.820856;52.359686;
9569;"CPT000000047931A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.7";"24.7";-14.5;"POINT(4.820945,52.359623)";"POINT(52.359623,4.820945)";4.820945;52.359623;
9570;"CPT000000047932A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.8";"24.4";-11.7;"POINT(4.821532,52.356121)";"POINT(52.356121,4.821532)";4.821532;52.356121;
9571;"CPT000000047933A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.5";-11.8;"POINT(4.82187,52.356132)";"POINT(52.356132,4.82187)";4.82187;52.356132;
9572;"CPT000000047934A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.3";-11.6;"POINT(4.822281,52.356116)";"POINT(52.356116,4.822281)";4.822281;52.356116;
9573;"CPT000000047935A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.3";-11.3;"POINT(4.822692,52.356136)";"POINT(52.356136,4.822692)";4.822692;52.356136;
9574;"CPT000000047936A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.5";-11.5;"POINT(4.823,52.356119)";"POINT(52.356119,4.823)";4.823;52.356119;
9575;"CPT000000047937A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-1.0";"24.1";-11;"POINT(4.823382,52.356139)";"POINT(52.356139,4.823382)";4.823382;52.356139;
9576;"CPT000000047938A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.4";-11.2;"POINT(4.823734,52.356132)";"POINT(52.356132,4.823734)";4.823734;52.356132;
9577;"CPT000000047939A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.5";-11.5;"POINT(4.824057,52.356151)";"POINT(52.356151,4.824057)";4.824057;52.356151;
9578;"CPT000000047940A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.4";-11;"POINT(4.824438,52.356162)";"POINT(52.356162,4.824438)";4.824438;52.356162;
9579;"CPT000000047941A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.1";-11.1;"POINT(4.824805,52.356164)";"POINT(52.356164,4.824805)";4.824805;52.356164;
9580;"CPT000000047942A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.5";-12.1;"POINT(4.825172,52.356174)";"POINT(52.356174,4.825172)";4.825172;52.356174;
9581;"CPT000000047943A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.5";-11.2;"POINT(4.82551,52.356176)";"POINT(52.356176,4.82551)";4.82551;52.356176;
9582;"CPT000000047944A";"DINO-loket";"onbekend";"onbekend";"onbekend";"-0.9";"24.5";-11.6;"POINT(4.825847,52.356178)";"POINT(52.356178,4.825847)";4.825847;52.356178;
9583;"CPT000000048628A";"DINO-loket";"onbekend";"onbekend";"onbekend";"1.1";"25.2";-13.3;"POINT(4.904041,52.366966)";"POINT(52.366966,4.904041)";4.904041;52.366966;
9584;"CPT000000048668A";"DINO-loket";"onbekend";"onbekend";"onbekend";"3.7";"23.1";-11.5;"POINT(4.973836,52.358035)";"POINT(52.358035,4.973836)";4.973836;52.358035;
9585;"CPT000000049503A";"DINO-loket";"onbekend";"onbekend";"onbekend";"1.3";"29.0";-12.4;"POINT(4.89587,52.372999)";"POINT(52.372999,4.89587)";4.89587;52.372999;
9586;"CPT000000049504A";"DINO-loket";"onbekend";"onbekend";"onbekend";"1.5";"28.7";-12.5;"POINT(4.895369,52.37314)";"POINT(52.37314,4.895369)";4.895369;52.37314;
9587;"CPT000000049505A";"DINO-loket";"onbekend";"onbekend";"onbekend";"1.7";"28.2";-12.4;"POINT(4.895222,52.373185)";"POINT(52.373185,4.895222)";4.895222;52.373185;
9588;"CPT000000049524A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.1";"25.5";-12.1;"POINT(4.889885,52.378986)";"POINT(52.378986,4.889885)";4.889885;52.378986;
9589;"CPT000000049536A";"DINO-loket";"onbekend";"onbekend";"onbekend";"0.5";"26.3";-11.8;"POINT(4.850486,52.37983)";"POINT(52.37983,4.850486)";4.850486;52.37983;
