OBJECTNUMMER;Naam;Bron;ProjectID;Uitvoerder;Datum;Maaiveld_hoogte;Diepte_to_maaiveld;Top_Pleistoceen;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1626;"B04-1631";"Waternet";"2718";"onbekend";"onbekend";"0.5";"-36.5";-16.9;"POINT(4.842695,52.405544)";"POINT(52.405544,4.842695)";4.842695;52.405544;
1627;"B04-1633";"Waternet";"2718";"onbekend";"onbekend";"0.6";"-29.3";-12.6;"POINT(4.842652,52.405454)";"POINT(52.405454,4.842652)";4.842652;52.405454;
1628;"B04-1634";"Waternet";"2718";"onbekend";"onbekend";"0.8";"-36.2";-12.4;"POINT(4.842785,52.405392)";"POINT(52.405392,4.842785)";4.842785;52.405392;
1629;"B04-1662";"Waternet";"2828";"onbekend";"onbekend";"onbekend";"onbekend";-13;"POINT(4.839515,52.384615)";"POINT(52.384615,4.839515)";4.839515;52.384615;
1630;"B04-1664";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-25.1;"POINT(4.837417,52.400999)";"POINT(52.400999,4.837417)";4.837417;52.400999;
1631;"B04-1664";"Waternet";"2887";"onbekend";"onbekend";"0.3";"-31.6";-25.1;"POINT(4.837288,52.400747)";"POINT(52.400747,4.837288)";4.837288;52.400747;
1632;"B04-1665";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-24.3;"POINT(4.837649,52.401261)";"POINT(52.401261,4.837649)";4.837649;52.401261;
1633;"B04-1666";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-25.3;"POINT(4.837852,52.401495)";"POINT(52.401495,4.837852)";4.837852;52.401495;
1634;"B04-1668";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-19;"POINT(4.837786,52.400866)";"POINT(52.400866,4.837786)";4.837786;52.400866;
1635;"B04-1669";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-19.2;"POINT(4.838018,52.401137)";"POINT(52.401137,4.838018)";4.838018;52.401137;
1636;"B04-1669";"Waternet";"2887";"onbekend";"onbekend";"0.3";"-30.6";-19;"POINT(4.837343,52.401097)";"POINT(52.401097,4.837343)";4.837343;52.401097;
1637;"B04-1670";"Waternet";"2887";"onbekend";"onbekend";"onbekend";"onbekend";-21.2;"POINT(4.838221,52.401371)";"POINT(52.401371,4.838221)";4.838221;52.401371;
1638;"B04-1670";"Waternet";"2887";"onbekend";"onbekend";"0.4";"-31.3";-21.2;"POINT(4.837505,52.401071)";"POINT(52.401071,4.837505)";4.837505;52.401071;
