OBJECTNUMMER;Initiatiefnemer;Activiteit;Sector;Jaar;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
681;"Studio Pansa";"keramiek werkplaats";"Kantoor en bedrijf";2018;"POINT(4.9392044,52.3771838)";"POINT(52.3771838,4.9392044)";4.9392044;52.3771838;
682;"Instituut De Leeuw";"Studiebegeleiding";"Onderwijs";2018;"POINT(4.9061696,52.3450875)";"POINT(52.3450875,4.9061696)";4.9061696;52.3450875;
683;"Stichting Tamino";"Cultuureducatie";"Cultuur";2018;"POINT(4.9308053,52.3275682)";"POINT(52.3275682,4.9308053)";4.9308053;52.3275682;
685;"Green City Buzz";"Duurzame industrie";"Kantoor en bedrijf";2018;"POINT(4.8959319,52.3748748)";"POINT(52.3748748,4.8959319)";4.8959319;52.3748748;
686;"International Montessori Institute";"Bijzonder onderwijs";"Onderwijs";2018;"POINT(4.3522415,52.0108863)";"POINT(52.0108863,4.3522415)";4.3522415;52.0108863;
687;"Het Cor Jaring Project";"Expositie ‘Cor Jaring, Amsterdam door zijn lens 1950-1980’ ";"Cultuur";2018;"POINT(4.8833557,52.3754435)";"POINT(52.3754435,4.8833557)";4.8833557;52.3754435;
688;"Boris Agency";"Marketingbureau";"Kantoor en bedrijf";2018;"POINT(4.8713885,52.4153035)";"POINT(52.4153035,4.8713885)";4.8713885;52.4153035;
689;"Stichting Green City Buzz";"Vergroening en verduurzaming stedelijk gebied";"Kantoor en bedrijf";2018;"POINT(4.8971558,52.3753421)";"POINT(52.3753421,4.8971558)";4.8971558;52.3753421;
690;"HVO Querido";"Opleidingscentrum Howie the Harp";"Onderwijs";2018;"POINT(4.7982869,52.3794945)";"POINT(52.3794945,4.7982869)";4.7982869;52.3794945;
691;"Millstreet Films";"TV opnames Baantjer";"Cultuur";2018;"POINT(4.4943942,52.1596562)";"POINT(52.1596562,4.4943942)";4.4943942;52.1596562;
692;"Kolifleur";"Verkoop en inkoop van moderne tweedehands kleding ";"Detailhandel";2018;"POINT(4.8775262,52.3712361)";"POINT(52.3712361,4.8775262)";4.8775262;52.3712361;
693;"Cormeta";"stalling blindfietsen Cormeta";"Kantoor en bedrijf";2018;"POINT(4.9504688,52.3421222)";"POINT(52.3421222,4.9504688)";4.9504688;52.3421222;
696;"Raja Yoga";"Yoga opleidingen";"Kantoor en bedrijf";2018;"POINT(4.9937739,52.3930958)";"POINT(52.3930958,4.9937739)";4.9937739;52.3930958;
697;"Sandberg Instituut Amsterdam";"kunstonderwijsinstelling";"Cultuur";2018;"POINT(4.8959902,52.3374674)";"POINT(52.3374674,4.8959902)";4.8959902;52.3374674;
698;"Northumbria University";"onderwijsinstelling";"Onderwijs";2018;"POINT(4.9474612,52.315721)";"POINT(52.315721,4.9474612)";4.9474612;52.315721;
699;"Tea Bar";"leverancier van losse thee aan horeca en bedrijven";"Kantoor en bedrijf";2018;"POINT(4.8540465,52.3813501)";"POINT(52.3813501,4.8540465)";4.8540465;52.3813501;
700;"Balletschool De Toverfluit";"dans- en balletlessen";"Cultuur";2018;"POINT(4.8849445,52.3554177)";"POINT(52.3554177,4.8849445)";4.8849445;52.3554177;
