OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
714;714;"Singel";"0013";"";"09";"0.9m";"MEUBEL|TERRAS|OVERIG";"Overig - Straatmeubilair - Terrassen";3;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888159 52.368787,4.888159 52.368829,4.888181 52.368933,4.888228 52.369174,4.888259 52.369294,4.888305 52.369524,4.888316 52.369589)";"LINESTRING(52.368787 4.888159,52.368829 4.888159,52.368933 4.888181,52.369174 4.888228,52.369294 4.888259,52.369524 4.888305,52.369589 4.888316)";4.8882425;52.36918135;
715;715;"Singel";"0014";"";"09";"0.9m";"TERRAS|OVERIG";"Overig - Terrassen";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888660 52.368361,4.888470 52.368498,4.888382 52.368565,4.888255 52.368663,4.888178 52.368743)";"LINESTRING(52.368361 4.888660,52.368498 4.888470,52.368565 4.888382,52.368663 4.888255,52.368743 4.888178)";4.88842395;52.36854615;
716;716;"Singel";"0015";"";"18";"1.8m";"FIETSREG";"Geparkeerde fietsen gereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.889945 52.367426,4.889854 52.367495,4.889621 52.367685,4.889457 52.367807,4.889217 52.367999,4.889104 52.368070,4.889002 52.368159,4.888970 52.368224,4.888965 52.368297)";"LINESTRING(52.367426 4.889945,52.367495 4.889854,52.367685 4.889621,52.367807 4.889457,52.367999 4.889217,52.368070 4.889104,52.368159 4.889002,52.368224 4.888970,52.368297 4.888965)";4.88946005;52.3678557;
717;717;"Singel";"0016";"";"18";"1.8m";"TERRAS";"Terrassen";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892975 52.367211,4.892836 52.367159,4.892713 52.367133,4.892634 52.367107,4.892533 52.367107,4.892035 52.367108,4.891815 52.367118,4.891450 52.367151,4.891193 52.367184,4.890701 52.367237,4.890483 52.367275,4.890143 52.367332,4.890049 52.367354,4.889945 52.367426)";"LINESTRING(52.367211 4.892975,52.367159 4.892836,52.367133 4.892713,52.367107 4.892634,52.367107 4.892533,52.367108 4.892035,52.367118 4.891815,52.367151 4.891450,52.367184 4.891193,52.367237 4.890701,52.367275 4.890483,52.367332 4.890143,52.367354 4.890049,52.367426 4.889945)";4.89146495;52.3672606;
718;718;"Singel";"0017";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892975 52.367211,4.893326 52.367187)";"LINESTRING(52.367211 4.892975,52.367187 4.893326)";4.89315535;52.36719195;
719;719;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.893692 52.378127,4.893599 52.378038)";"LINESTRING(52.378127 4.893692,52.378038 4.893599)";4.8936505;52.3780753;
720;720;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.894148 52.378132,4.89414 52.378194)";"LINESTRING(52.378132 4.894148,52.378194 4.89414)";4.89414885;52.3781554;
721;721;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.89434 52.378173,4.894311 52.378238)";"LINESTRING(52.378173 4.89434,52.378238 4.894311)";4.8943305;52.37819925;
722;722;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.89414 52.378193,4.894311 52.378242)";"LINESTRING(52.378193 4.89414,52.378242 4.894311)";4.8942304;52.3782107;
723;723;"";"";"";"PM";"Nog onbepaald";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.892938 52.377434,4.89288 52.377377)";"LINESTRING(52.377434 4.892938,52.377377 4.89288)";4.89291405;52.3773982;
