OBJECTNUMMER;Adres;Soort;Datum;Omschrijving;Foto;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
144;"Von Zesenstraat 2";"Bom, granaat, afweergeschut";"14/07/41";"Brisantbom van 250 kg. Grote trechter in het wegdek. ook een waterleidingbuis getroffen. Schade aan huizen in de Von Zesenstraat. Schade ? waaronder veel glasschade ? aan de huizen Linnaeusstraat 3-11. glasschade en schade aan meubilair aan Mauritskade 84-88. `Een boom staande voor perceel Mauritskade 88 zoodanig beschadig dat deze moet worden geveld. De trambaan op de Mauritskade nabij het Koloniaal Instituut beschadigd. de werkdraad gebroken.` Glasschade aan de ingang van het Koloniaal Instituut en een café. [In totaal 17 lichtgewonden]";"";"POINT(4.9239948,52.3636939)";"POINT(52.3636939,4.9239948)";4.9239948;52.3636939;
145;"Pieter Vlamingstraat 24";"Bom, granaat, afweergeschut";"14/07/41";"Brandbom. [In totaal 17 lichtgewonden]";"";"POINT(4.9247048,52.364392)";"POINT(52.364392,4.9247048)";4.9247048;52.364392;
146;"Plantage Doklaan 5";"Bom, granaat, afweergeschut";"14/07/41";"80 tot 100 brandbommen. `Douaneloods getroffen door een brandbom, veroorzaakte geen brand. vier geladen spoorwagons uitgebrand. de op dit terrein gelegen stallen en opslagplaatsen van de Fa. W.J. de Boer zijn geheel uitgebrand. Paarden en wagens gered.` `In Artis kregen de woningen van den tuinman en den timmerman, alsmede de werkplaatsen, de wagenstallen en het Nijlpaardenhuis belangrijke brandschade. Het dak van het Nijlpaardenhuis benevens het daaronder gelegen Skelettenmuseum werden geheel vernield.` 1 politieagent en 4 burgers licht gewond";"";"POINT(4.9113948,52.3687941)";"POINT(52.3687941,4.9113948)";4.9113948;52.3687941;
147;"Sumatrakade 107";"Bom, granaat, afweergeschut";"14/07/41";"Brisantbom. Schade aan de loods. Geen gewonden.";"";"POINT(4.9348848,52.377793)";"POINT(52.377793,4.9348848)";4.9348848;52.377793;
148;"Sumatrakade 109";"Bom, granaat, afweergeschut";"14/07/41";"Bom geëxplodeerd.Schade aan het gebouw";"";"POINT(4.9349048,52.377793)";"POINT(52.377793,4.9349048)";4.9349048;52.377793;
149;"Osdorperweg 579";"Vliegtuig(onderdeel) neergestort";"29/07/41";"Noodlanding van een Duits vliegtuig. Geen persoonlijke ongelukken";"";"POINT(4.7822249,52.367993)";"POINT(52.367993,4.7822249)";4.7822249;52.367993;
150;"Eerste Helmersstraat 65";"Bom, granaat, afweergeschut";"13/08/41";"Een niet-ontploft projectiel kaliber 7,8 cm op het dak terechtgekomen en op de tweede verdieping blijven steken `Schade onbeteekenend`  Geen persoonlijke ongevallen";"";"POINT(4.8744652,52.3631941)";"POINT(52.3631941,4.8744652)";4.8744652;52.3631941;
151;"Bilderdijkkade 9";"Bom, granaat, afweergeschut";"13/08/41";"Een blindganger van 7,8 cm op de straat gekomen. Geen schade en geen persoonlijke ongevallen";"";"POINT(4.8688452,52.3703925)";"POINT(52.3703925,4.8688452)";4.8688452;52.3703925;
152;"Bilderdijkkade 32/boven";"Bom, granaat, afweergeschut";"13/08/41";"Een blindganger van 7,8 cm op het dak gekomen en op de tweede verdieping blijven steken. `Schade onbekend, waarschijnlijk gering.` Geen persoonlijke ongevallen";"";"POINT(4.8684452,52.3695914)";"POINT(52.3695914,4.8684452)";4.8684452;52.3695914;
153;"Balthasar Floriszstraat 19";"Bom, granaat, afweergeschut";"13/08/41";"Blindganger binnengedrongen";"";"POINT(4.8842151,52.353192)";"POINT(52.353192,4.8842151)";4.8842151;52.353192;
154;"Churchill-laan 129";"Bom, granaat, afweergeschut";"15/08/41";"Noorder Amstellaan 129 Brisantbom. `Ten gevolge van de explosie stortte dit perceel gedeeltelijk in, waardoor 2 personen werden gedood, t.w. de Heer en Mevrouw Hoom, wonende N. Amstellaan 129 Hs.`";"";"POINT(4.8937552,52.3466918)";"POINT(52.3466918,4.8937552)";4.8937552;52.3466918;
155;"Churchill-laan 187";"Bom, granaat, afweergeschut";"15/08/41";"Noorder Amstellaan 187 Brisantbom. `Een hoofdbuis van de gas- en de waterleiding werden vernield, waardoor de geheele omgeving onderliep.`";"";"POINT(4.889075,52.3468939)";"POINT(52.3468939,4.889075)";4.889075;52.3468939;
156;"Churchill-laan 191";"Bom, granaat, afweergeschut";"15/08/41";"4 brisantbommen. `In de omgeving liepen circa 200 perceelen, tezamen omvattende ongeveer 800 woningen zeer ernstige schade op aan ruiten, sponningen en deuren.`";"";"POINT(4.8887951,52.3468939)";"POINT(52.3468939,4.8887951)";4.8887951;52.3468939;
157;"Rooseveltlaan 246";"Bom, granaat, afweergeschut";"15/08/41";"Zuider Amstellaan 246 Brandbom";"";"POINT(4.894295,52.3423926)";"POINT(52.3423926,4.894295)";4.894295;52.3423926;
158;"Rooseveltlaan 118";"Bom, granaat, afweergeschut";"15/08/41";"Zuider Amstellaan 118 Brandbom";"";"POINT(4.8989351,52.3441931)";"POINT(52.3441931,4.8989351)";4.8989351;52.3441931;
159;"Uiterwaardenstraat 273";"Bom, granaat, afweergeschut";"15/08/41";"Brandbom";"";"POINT(4.8959148,52.3414923)";"POINT(52.3414923,4.8959148)";4.8959148;52.3414923;
160;"Zoomstraat 10";"Bom, granaat, afweergeschut";"15/08/41";"Brandbom?";"";"POINT(4.8922751,52.3436934)";"POINT(52.3436934,4.8922751)";4.8922751;52.3436934;
161;"Niersstraat 30";"Bom, granaat, afweergeschut";"15/08/41";"Brandbom?";"";"POINT(4.8938148,52.3429915)";"POINT(52.3429915,4.8938148)";4.8938148;52.3429915;
162;"Niersstraat 43";"Bom, granaat, afweergeschut";"15/08/41";"Brandbom?";"";"POINT(4.8934848,52.3425948)";"POINT(52.3425948,4.8934848)";4.8934848;52.3425948;
163;"Dintelstraat 116";"Bom, granaat, afweergeschut";"15/08/41";"Veel brandbommen op het wegdek  `waar zij uitbrandden zonder eenige schade aan te richten.`";"";"POINT(4.8944552,52.3424918)";"POINT(52.3424918,4.8944552)";4.8944552;52.3424918;
164;"Zoomstraat 44";"Bom, granaat, afweergeschut";"15/08/41";"Niet-ontbrande brandbom?";"";"POINT(4.8927252,52.3431937)";"POINT(52.3431937,4.8927252)";4.8927252;52.3431937;
165;"Dintelstraat 106";"Bom, granaat, afweergeschut";"15/08/41";"Niet-ontbrande brandbom?";"";"POINT(4.8937852,52.3431937)";"POINT(52.3431937,4.8937852)";4.8937852;52.3431937;
166;"Osdorperweg 579";"Bom, granaat, afweergeschut";"29/08/41";"8 brisantbommen. Veel glasschade aan broeikassen en aan ruiten in woningen te Osdorp. Gen dooden en gewonden";"";"POINT(4.7822249,52.367993)";"POINT(52.367993,4.7822249)";4.7822249;52.367993;
167;"Koppelingpad 20";"Bom, granaat, afweergeschut";"13/10/41";"2 brisantbommen van ca. 250 kg gevallen en geëxplodeerd. Geen schade, geen persoonlijke ongelukken. ";"";"POINT(4.903795,52.4049918)";"POINT(52.4049918,4.903795)";4.903795;52.4049918;
168;"Borneokade 20";"Bom, granaat, afweergeschut";"17/10/41";"Brisantbom. Glasschade aan loods Q en de noodwoningen daar. Geen doden of gewonden";"";"POINT(4.9405849,52.3701941)";"POINT(52.3701941,4.9405849)";4.9405849;52.3701941;
169;"Sloterweg 871";"Vliegtuig(onderdeel) neergestort";"24/10/41";"Noodlanding van een tweemotorig Duits vliegtuig. `Bemanning van vier personen ongedeerd, toestel beschadigd.`";"";"POINT(4.813905,52.3414923)";"POINT(52.3414923,4.813905)";4.813905;52.3414923;
170;"Papaverweg 35";"Bom, granaat, afweergeschut";"30/10/41";"Brand, vermoedelijk veroorzaakt door brandbommen. De brand woedde in een grote houten loods en in een hal met houten vliegtuigmodellen. Geen gewonden";"";"POINT(4.9058649,52.395394)";"POINT(52.395394,4.9058649)";4.9058649;52.395394;
171;"Van Diemenstraat 356";"Overig";"31/12/41";"`Duitsch valscherm van vlieger opgehaald uit Kleine Houthaven en gebracht naar Feldluftzeuggruppe Luftgau Holland.`";"";"POINT(4.888345,52.3900916)";"POINT(52.3900916,4.888345)";4.888345;52.3900916;
172;"Nieuwe Gouw 25";"Overig";"15/01/42";"Lichtkogel neergekomen ";"";"POINT(4.975395,52.4045912)";"POINT(52.4045912,4.975395)";4.975395;52.4045912;
173;"Petroleumhavenweg 38";"Bom, granaat, afweergeschut";"13/03/42";"Brandbom?";"";"POINT(4.8607352,52.4111945)";"POINT(52.4111945,4.8607352)";4.8607352;52.4111945;
174;"Weesperzijde 144";"Overig";"22/03/42";"Uitgebrande fosfor-ether lichtbus met bijbehorende parachute gevonden. Geen schade";"";"POINT(4.9130552,52.3490912)";"POINT(52.3490912,4.9130552)";4.9130552;52.3490912;
175;"Eerste Keucheniusstraat 21";"Bom, granaat, afweergeschut";"26/03/42";"Projectiel van het afweergeschut ontploft. Alle ruiten aan de achterkant van Eerste Keucheniusstraat 19, 21 en 23 gesprongen. tuinhuis en hek beschadigd. Gewonden: `Perceel 19 hs: vrouw bloeduitstorting aan het been.Perceel 21 hs: jongeman schram aan het dijbeen.`";"";"POINT(4.8726051,52.3810927)";"POINT(52.3810927,4.8726051)";4.8726051;52.3810927;
176;"Vlothavenweg 20";"Bom, granaat, afweergeschut";"27/03/42";"Granaatscherven van het afweergeschut. Schade aan de schepen: De tjalk Onderneming, 120 ton, schipper A. v.d. Meer. De zeilkast Korreman, 80 ton, schipper Pekelaar. De stevenaak de Hoop, 229 ton, schipper Pekelaar";"";"POINT(4.8534849,52.4029929)";"POINT(52.4029929,4.8534849)";4.8534849;52.4029929;
177;"Zuivelplein 8 (achterkant)";"Bom, granaat, afweergeschut";"27/03/42";"Vier granaatscherven van het afweergeschut ingeslagen. Schade aan ruiten en meubilair. Geen persoonlijke ongevallen";"";"POINT(4.9467852,52.339894)";"POINT(52.339894,4.9467852)";4.9467852;52.339894;
178;"Zuiderakerweg 98";"Overig";"28/03/42";"Uitgebrande lichtkogel met parachute zonder huls. In het weiland van tuinder G.J. Fontijn, ";"";"POINT(4.789015,52.3465926)";"POINT(52.3465926,4.789015)";4.789015;52.3465926;
179;"Zeeburgerdijk 501";"Overig";"1/04/42";"Ballon of parachute gedaald ";"";"POINT(4.948365,52.3664939)";"POINT(52.3664939,4.948365)";4.948365;52.3664939;
180;"Sloterweg 787";"Overig";"10/04/42";"Ongeveer 30 fosforrubberbommen. 8 broeikasramen vernield en zeer lichte brandschade aan het dak van een huisje. Geen persoonlijke ongelukken";"";"POINT(4.8173749,52.3415915)";"POINT(52.3415915,4.8173749)";4.8173749;52.3415915;
181;"Hoofdweg 202";"Bom, granaat, afweergeschut";"15/04/42";"Granaat van het luchtdoelgeschut ingeslagen. Een gat in het wegdek en veel vensterruiten in de omgeving gesprongen. in Hoofdweg 211 schade aan deur, ramen, plafond en vensterruiten. Twee voorbijgangers licht gewond.";"";"POINT(4.8531749,52.3663947)";"POINT(52.3663947,4.8531749)";4.8531749;52.3663947;
182;"Poolsterstraat 4";"Bom, granaat, afweergeschut";"15/04/42";"Granaat van het luchtdoelgeschut ingeslagen. Geen schade aan huizen. Een lichtgewonde";"";"POINT(4.8931749,52.4141928)";"POINT(52.4141928,4.8931749)";4.8931749;52.4141928;
183;"Curaçaostraat 129";"Bom, granaat, afweergeschut";"15/04/42";"Scherven granaat afweergeschut. Curaçaostraat 129 hs, voorruit vernield. Curaçaostraat 131 hs, voorruit vernield, plafond en gordijnen beschadigd. Van Walbeekstraat 81 hs, voorruit vernield. Van Walbeekstraat 66 hs, spiegelruit vernield.";"";"POINT(4.8517349,52.3627936)";"POINT(52.3627936,4.8517349)";4.8517349;52.3627936;
184;"Van Walbeeckstraat 66/hs";"Omgevingsschade";"15/04/42";"Spiegelruit vernield";"";"POINT(4.8512251,52.3618933)";"POINT(52.3618933,4.8512251)";4.8512251;52.3618933;
185;"Duivendrechtsekade 20";"Bom, granaat, afweergeschut";"31/05/42";"3 brisantbommen gevallen en geëxplodeerd. Geringe schade aan woningen, meubilair en ruiten";"";"POINT(4.9244349,52.3407942)";"POINT(52.3407942,4.9244349)";4.9244349;52.3407942;
186;"Duivendrechtsekade 25";"Bom, granaat, afweergeschut";"31/05/42";"Steenhouwerij van G.J. Rinse, 2 granaten van het luchtdoelgeschut gevallen en geëxplodeerd. Ernstige schade aan de woning en werkplaats: twee daken, een groot aantal ruiten en de woning en werkplaatsen van binnen verwoest";"";"POINT(4.924175,52.3403937)";"POINT(52.3403937,4.924175)";4.924175;52.3403937;
187;"Foeliedwarsstraat 62";"Bom, granaat, afweergeschut";"2/06/42";"Granaat van het afweergeschut ingeslagen en ontploft. Trappenhuis en trap versplinterd. 1 gewonde: scherf in rechter kuit";"";"POINT(4.9109352,52.3704917)";"POINT(52.3704917,4.9109352)";4.9109352;52.3704917;
188;"Kuipersstraat 59";"Bom, granaat, afweergeschut";"2/06/42";"Granaatscherf. Dak doorboord. de scherf doorgedrongen tot de tweede verdieping. Daar werd een plafond beschadigd. Geen doden of gewonden";"";"POINT(4.9044249,52.3539931)";"POINT(52.3539931,4.9044249)";4.9044249;52.3539931;
189;"Dintelstraat 88";"Bom, granaat, afweergeschut";"2/06/42";"Granaat van het afweergeschut ingeslagen en ontploft. Schoorsteen en daken van de huizen beschadigd. 1 zeer licht gewonde ";"";"POINT(4.893235,52.3436934)";"POINT(52.3436934,4.893235)";4.893235;52.3436934;
190;"Anemoonstraat 5";"Bom, granaat, afweergeschut";"2/06/42";"Scherf van granaat van het afweergeschut door raam op eerste verdieping ingeslagen. Kozijn en ruit en glazen binnendeur vernield, WC-deur beschadigd, een lap stof gedeeltelijk verbrand . Geen persoonlijke ongevallen";"";"POINT(4.9078152,52.3873946)";"POINT(52.3873946,4.9078152)";4.9078152;52.3873946;
191;"Merwedeplein 8";"Overig";"9/06/42";"Engels zendapparaat uit de lucht op het dak gevallen?";"";"POINT(4.9015849,52.3459937)";"POINT(52.3459937,4.9015849)";4.9015849;52.3459937;
192;"Van Spilbergenstraat 149";"Bom, granaat, afweergeschut";"23/07/42";"Granaat van het afweergeschut geëxplodeerd tegen de buitenmuur van de huizen, voor de tussenmuur ter hoogte van de derde verdieping `Muur licht beschadigd, leiding radiocentrale stuk en ramen en waschtobbes op de waranda?s defect.`";"";"POINT(4.850455,52.3685919)";"POINT(52.3685919,4.850455)";4.850455;52.3685919;
193;"Maarten Harpertszoon Trompstraat 19/hs";"Bom, granaat, afweergeschut";"23/07/42";"`Een scherf van het 6 cm. afweergeschut door een glas-in-loodraam geslagen, vervolgens door een gordijn, heeft daarna een schemerlamp beschadigd en is tenslotte tegen een muur teruggekaatst.`";"";"POINT(4.860935,52.3719946)";"POINT(52.3719946,4.860935)";4.860935;52.3719946;
194;"Koppelingpad 5";"Bom, granaat, afweergeschut";"16/08/42";"Blindganger of projectiel van het afweergeschut ingeslagen. Schuurtje vernield";"";"POINT(4.900605,52.4024932)";"POINT(52.4024932,4.900605)";4.900605;52.4024932;
195;"Staringstraat 22";"Bom, granaat, afweergeschut";"16/08/42";"Vliegtuigbom. `Bij een onderzoek in verband met diefstal door de Politie van het Bureau Overtoom 449 ingesteld in een rijwielstalling aan de Staringstraat 22, is een niet geëxplodeerde kleine vliegtuigbom gevonden van Hollandsche oorsprong, welke reeds langen tijd daar heeft gelegen.`";"";"POINT(4.8623049,52.3617941)";"POINT(52.3617941,4.8623049)";4.8623049;52.3617941;
196;"Minervahavenweg 17";"Overig";"27/08/42";"3 fosforrubberbommen gevallen. Er ontstond geen brand. wel enige schade aan loodsen";"";"POINT(4.8752549,52.4000937)";"POINT(52.4000937,4.8752549)";4.8752549;52.4000937;
197;"Krommeniestraat 18";"Overig";"27/08/42";"25 ? 30 fosforrubberbommen gevallen. Krommeniestraat 18 III en II geheel uitgebrand, Krommeniestraat 24 III en II gedeeltelijk uitgebrand, Krommeniestraat 26 alleen waterschade. Willem Barendzschool op nummer 21-23 geheel uitgebrand. Op nummer 27 de keuken uitgebrand en op nummer 29 de zolder en huiskamer uitgebrand. Hembrugstraat 41 III en trap nummer 43 uitgebrand. Nummer 68 III geheel uitgebrand. Twee doden. 04.00 Rapporteert de H.I.P. dezer afdeling dat op 27-8-42 te p.m. 23.10, uit overvliegende vliegtuigen phosphorbrandbommen (Naar voorloopige schatting ongeveer 10 stuks) zijn geworpen. Deze zijn terechtgekomen op percelen Krommeniestraat 28-24-29, Hembrugstraat 41 en68 en op Willem Barentszschool i de Kromeniestraat. Daardoor zijn in de eerste vijf percelen middelbranden ontstaan en in de genoemde school een groote brand. Deze school (een houten gebouw) brande geheel uit. De zolders en bovenverdiepingen van de vijf eerstgenoemde percelen brandde ten deels uit. In perceel Hembrugstraat 68-III kwamen twee bewoonsters door verbranding om het leven. De verkoolde lijken zijn naar het W.G. overgebracht. In de andere percelen deden zich, voor zoover bekend geen persoonlijke ongelukken voor. De branden zijn gebluscht door de beroepsbrandweer, geassisteerd door de brandweer van de vrijwillige luchtbeschermingsdienst. Verkeersstoornis vond niet plaats. Er werden 33 slangen gebruikt. De afzetting werd gehandhaafd door eigen personeel, met detachementen van de afdelingen en het P.B.A. Het detachement van het P.B.A. is te 1 uur ingerukt. Ongeveer 30 personen in een evacuatiepost ondergebracht. Ter plaatse waren aanwezig de Burgemeester . de Hoofdcommissaris en Majoor Leisner. De afzetting stond onder bevel van L.P. Hulskamp. Bovendien zijn drie brandbommen terecht gekomen op het terrein van de houthavens welke echter geen schade hebben aangericht. In de houtloods van de firma van Epen is een begin van brand ontstaan, die door den wachtsman W. Arkenbout met een brandbluschapparaat is bedwongen.";"";"POINT(4.8753149,52.3912932)";"POINT(52.3912932,4.8753149)";4.8753149;52.3912932;
198;"Amsteldijk 290";"Bom, granaat, afweergeschut";"2/10/42";"Ongeveer 20 staafbrandbommen.?";"";"POINT(4.9000552,52.3340918)";"POINT(52.3340918,4.9000552)";4.9000552;52.3340918;
199;"Ten Katestraat 15";"Overig";"2/10/42";"Projectiel. Gevonden `een ovaalvormig projectiel dat de grootte heeft van een conservenblik en gevuld is met zwart kruit en onderaan een lont bezit van 50 cm lengte. Het voorwerp is ingeleverd bij de Feldluftzeuggruppe. Het hangt onder een ballon en dient om hoogspanningsleidingen te vernielen.`";"";"POINT(4.8665049,52.3677947)";"POINT(52.3677947,4.8665049)";4.8665049;52.3677947;
200;"Riekerweg 15";"Overig";"11/10/42";"`3 glazen flesschen van 3 d.l. inhoud gevonden, gevuld met een vloeistof, welke in ieder geval phosphor bevat. Tevens zijn nog 4 doppen van deze flesschen gevonden.`";"";"POINT(4.8365552,52.3354918)";"POINT(52.3354918,4.8365552)";4.8365552;52.3354918;
201;"Sloterweg 720";"Overig";"15/10/42";"Een projectiel van een snelvuurkanon, doorsnede 2 cm, lengte 8 ? 9 cm, gevonden Op het land van J.P. Reynierse.";"";"POINT(4.8201048,52.3421942)";"POINT(52.3421942,4.8201048)";4.8201048;52.3421942;
202;"Paramariboplein 14";"Overig";"28/11/42";"3 uitgebrande pyrotechnische lichten gevonden";"";"POINT(4.8549349,52.3594939)";"POINT(52.3594939,4.8549349)";4.8549349;52.3594939;
203;"Bonaireplein 2";"Overig";"28/11/42";"3 resten van pyrotechnische lichten gevonden";"";"POINT(4.8558252,52.3609931)";"POINT(52.3609931,4.8558252)";4.8558252;52.3609931;
204;"Bonairestraat 47";"Overig";"28/11/42";"1 niet uitgebrand pyrotechnisch licht gevonden";"";"POINT(4.8554752,52.3608939)";"POINT(52.3608939,4.8554752)";4.8554752;52.3608939;
205;"Leeuwarderweg 46";"Overig";"3/01/43";"Lichtkogel gezien";"";"POINT(4.9246752,52.3920943)";"POINT(52.3920943,4.9246752)";4.9246752;52.3920943;
206;"Baarsstraat 43/III";"Bom, granaat, afweergeschut";"4/01/43";"Stuk van een granaat. Gat in het dak, plafond van de derde verdieping licht beschadigd. Geen persoonlijke ongevallen";"";"POINT(4.8548648,52.3493926)";"POINT(52.3493926,4.8548648)";4.8548648;52.3493926;
207;"Paramariboplein 8";"Bom, granaat, afweergeschut";"17/01/43";"Granaat afweergeschut ontploft. Schade aan de ruiten. Drie licht gewonden";"";"POINT(4.8548648,52.3593947)";"POINT(52.3593947,4.8548648)";4.8548648;52.3593947;
208;"Antillenstraat 40/II";"Bom, granaat, afweergeschut";"18/01/43";"Granaat van het luchtdoelgeschut naar beneden gekomen en geëxplodeerd  tegen de erker van Antillenstraat 40 II  Schade aan ruiten en huisraad. Geen gewonden.  Bureau Overtoom 12.00 uur Meldt W. Schaters Jr, Chef L.B.d. aan dit bur: dat door hem te 11.05 uur van de Cde. Post L.B.D. telefonisch bericht werd ontvangen, dat een granaat zou zijn ontploft in een perceel Antillestraat 40 twwe hoog alhier, Te samen met de a.p. Degenaars (2771) heeft hij zich naar het genoemde adres begeven. Hier werd vast gesteld dat te pl.m. 11 uur een granaat is ontploft tegen de sponning van den erker aan de voorzijde. Het voorraam werd geheel vernield, het zij raam vertoont een groot gat. De vitrage is totaal vernield. De pluche overgordijnen zwaar beschadigd. Het plafond vertoond vele scherfgaten. Sponningen werden vernield. lambrizeering zwaar beschadigd. 2 stoelen en een boekenkast werden beschadigd. Zijmuur veroont een scherfgat. Een glas in lood ruitje van tuschen deur werd vernield;. De woning is gehuurd door Florian Nesvadba geboren te Medan 10-2-1913. Persoonlijke ongelukken kwamen niet voor. Van bovenstaande is zijnerzijds den Cdo. Post LBD in kennis gesteld, welke voor bericht aan de voorgeschreven Duitsche instantie-s zoomede Rijks- Inspectie in Den Haag zal zorg dragen. ";"";"POINT(4.8505251,52.3598944)";"POINT(52.3598944,4.8505251)";4.8505251;52.3598944;
209;"Middenweg 131";"Bom, granaat, afweergeschut";"29/01/43";"1 brisantbom, niet geëxplodeerd. Schade aan ruiten";"";"POINT(4.9342549,52.3516928)";"POINT(52.3516928,4.9342549)";4.9342549;52.3516928;
210;"Valeriusstraat 101";"Bom, granaat, afweergeschut";"4/02/43";"Granaatscherf van een projectiel van het afweergeschut. Lichte schade aan de straatdeur en twee kleine ruitjes gebroken";"";"POINT(4.8673952,52.3536917)";"POINT(52.3536917,4.8673952)";4.8673952;52.3536917;
211;"Westlandgracht 195";"Bom, granaat, afweergeschut";"5/02/43";"Granaatscherven van het afweergeschut. Ongeveer 3 m2 vensterruit gebroken en een houten lijst beschadigd";"";"POINT(4.846185,52.3497931)";"POINT(52.3497931,4.846185)";4.846185;52.3497931;
212;"Pieter Langendijkstraat 49/hs";"Bom, granaat, afweergeschut";"8/02/43";"Granaatscherf. Pieter Langedijkstraat 49 hs: rechter bovenruit met raamkozijn en een ruit aan de zijkant van het portiek beschadigd. Eerste Helmersstraat 222: een gat in het winkelraam geslagen. Geen gewonden";"";"POINT(4.8617451,52.3598944)";"POINT(52.3598944,4.8617451)";4.8617451;52.3598944;
213;"Eerste Helmersstraat 222";"Omgevingsschade";"8/02/43";"";"";"POINT(4.861285,52.3600928)";"POINT(52.3600928,4.861285)";4.861285;52.3600928;
214;"Columbusplein 2";"Bom, granaat, afweergeschut";"8/02/43";"Scherf van granaat van het afweergeschut. De elfjarige Adriaan Jonkers gewond aan zijn linker onderbeen";"";"POINT(4.8558452,52.3659941)";"POINT(52.3659941,4.8558452)";4.8558452;52.3659941;
215;"Insulindeweg 55";"Bom, granaat, afweergeschut";"6/03/43";"Niet-ontplofte granaat van het afweergeschut gevonden. Op 17 maart 1943 door het Sprengkommando van de Duitse Weermacht weggehaald";"";"POINT(4.935715,52.3613936)";"POINT(52.3613936,4.935715)";4.935715;52.3613936;
216;"Durgerdammerdijk 146";"Mitrailleurvuur";"12/03/43";"Getroffen door mitrailleurkogels. Geen persoonlijke ongelukken";"";"POINT(4.9946349,52.3789946)";"POINT(52.3789946,4.9946349)";4.9946349;52.3789946;
217;"Laing's Nekstraat 19";"Bom, granaat, afweergeschut";"12/03/43";"Granaat van het afweergeschut ingeslagen en ontploft. `[?] een jongen van 6? jaar, genaamd Abraham Pakkedrager, door een scherf in de borst gedood. De zolder boven perceel 19 III is geheel vernield en tusschenmuren zoomede het raam in den zolder, door granaatscherven zwaar beschadigd. Het zijkamertje op 19 III, waar het getroffen jongetje sliep, is door scherven getroffen en het plafond dreigde in te storten. Ook het plafond van de W.C. is vernield. Verder geen gewonden.`";"";"POINT(4.9232752,52.3560912)";"POINT(52.3560912,4.9232752)";4.9232752;52.3560912;
218;"Timorstraat 1/I";"Bom, granaat, afweergeschut";"30/03/43";"Scherf van een granaat van het luchtdoelgeschut. Ruit vernield. Geen persoonlijke ongevallen";"";"POINT(4.9354751,52.3656928)";"POINT(52.3656928,4.9354751)";4.9354751;52.3656928;
219;"Gloriantstraat 22";"Bom, granaat, afweergeschut";"3/04/43";"Granaat van het luchtdoelgeschut neergekomen en geëxplodeerd. Geen schade en geen persoonlijke ongelukken";"";"POINT(4.853245,52.3794943)";"POINT(52.3794943,4.853245)";4.853245;52.3794943;
220;"Archimedesweg 59";"Bom, granaat, afweergeschut";"5/04/43";"Niet-ontplofte 2 cm granaat gevonden";"";"POINT(4.9393451,52.3562934)";"POINT(52.3562934,4.9393451)";4.9393451;52.3562934;
221;"Semarangstraat 2/II";"Bom, granaat, afweergeschut";"8/04/43";"Brandbom. Dak en zolderverdieping uitgebrand";"";"POINT(4.9436052,52.3617941)";"POINT(52.3617941,4.9436052)";4.9436052;52.3617941;
222;"Semarangstraat 7/III";"Bom, granaat, afweergeschut";"8/04/43";"Brandbom. Zolderverdieping in brand. door bewoners geblust";"";"POINT(4.9441049,52.3616912)";"POINT(52.3616912,4.9441049)";4.9441049;52.3616912;
223;"Bataviastraat 9/hs";"Bom, granaat, afweergeschut";"8/04/43";"Brandbom. Brandbom in kamer, door bewoners geblust";"";"POINT(4.9414551,52.3612944)";"POINT(52.3612944,4.9414551)";4.9414551;52.3612944;
224;"Bataviastraat 81/III";"Bom, granaat, afweergeschut";"8/04/43";"Brandbom in slaapkamer. Vrouw overleden, man gewond";"";"POINT(4.9453852,52.3616912)";"POINT(52.3616912,4.9453852)";4.9453852;52.3616912;
225;"Bataviastraat 17/I";"Bom, granaat, afweergeschut";"8/04/43";"Brandbom. Brandbom in huiskamer, door bewoners geblust";"";"POINT(4.9418352,52.3613936)";"POINT(52.3613936,4.9418352)";4.9418352;52.3613936;
226;"Kramatweg 52";"Bom, granaat, afweergeschut";"8/04/43";"Brandbommen. Kerkorgel door 2 brandbommen getroffen en geheel uitgebrand";"";"POINT(4.9455349,52.3618933)";"POINT(52.3618933,4.9455349)";4.9455349;52.3618933;
227;"Bataviastraat 81";"Bom, granaat, afweergeschut";"8/04/43";"Brandbom op straat met zand geblust. Een bewaker van de Ordedienst licht aan het gelaat gewond";"";"POINT(4.9453852,52.3616912)";"POINT(52.3616912,4.9453852)";4.9453852;52.3616912;
228;"Kruislaan 254";"Bom, granaat, afweergeschut";"8/04/43";"Circa 10 brandbommen gevallen. Geen schade, bommen in zand uitgebrand. Voorbijganger in de Kruislaan gewond door granaatscherf";"";"POINT(4.9502151,52.3523947)";"POINT(52.3523947,4.9502151)";4.9502151;52.3523947;
229;"Bataviastraat 66/III";"Bom, granaat, afweergeschut";"8/04/43";"Elektron-thermietbrandbom door het dak geslagen `en in een bed op een slaapkamertje, waarin een meisje genaamd Cornelia, Engelbertina Bent sliep, terecht gekomen. Het kind bleef ongedeerd. Schade brandgaten in 3 dekens en 2 lakens en de spiraal van het bed licht beschadigd.`";"";"POINT(4.9450948,52.3614928)";"POINT(52.3614928,4.9450948)";4.9450948;52.3614928;
230;"Zuider IJdijk 20";"Bom, granaat, afweergeschut";"8/04/43";"1 brandbom in het wachtlokaal van de sluiswachter. Gat in het dak";"";"POINT(4.9595148,52.3652922)";"POINT(52.3652922,4.9595148)";4.9595148;52.3652922;
