OBJECTNUMMER;NETTYPE;STATUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
220;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.963779 52.389627,4.963754 52.389554,4.96369 52.389515,4.963511 52.389478,4.963475 52.389484,4.963422 52.389451,4.963324 52.389434,4.963235 52.389448,4.963163 52.389489,4.963124 52.389579,4.963147 52.389633,4.963212 52.389673,4.963347 52.389685,4.9634 52.389718,4.963588 52.389757,4.963676 52.389743,4.963741 52.389703,4.963779 52.389627))";"POLYGON((52.389627 4.963779,52.389554 4.963754,52.389515 4.96369,52.389478 4.963511,52.389484 4.963475,52.389451 4.963422,52.389434 4.963324,52.389448 4.963235,52.389489 4.963163,52.389579 4.963124,52.389633 4.963147,52.389673 4.963212,52.389685 4.963347,52.389718 4.9634,52.389757 4.963588,52.389743 4.963676,52.389703 4.963741,52.389627 4.963779))";4.9634565;52.3895885;
221;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.805467 52.357978,4.805444 52.357924,4.805376 52.35788,4.805102 52.357828,4.804881 52.357873,4.804816 52.357912,4.804789 52.357969,4.804818 52.358046,4.804882 52.358086,4.805066 52.358119,4.805154 52.358105,4.805206 52.358074,4.805289 52.358085,4.805378 52.358071,4.805442 52.358032,4.805467 52.357978))";"POLYGON((52.357978 4.805467,52.357924 4.805444,52.35788 4.805376,52.357828 4.805102,52.357873 4.804881,52.357912 4.804816,52.357969 4.804789,52.358046 4.804818,52.358086 4.804882,52.358119 4.805066,52.358105 4.805154,52.358074 4.805206,52.358085 4.805289,52.358071 4.805378,52.358032 4.805442,52.357978 4.805467))";4.805133;52.3579665;
222;"WARMTE WIJK";"IN AANLEG";"POLYGON((5.00232 52.345775,5.002296 52.345713,5.002232 52.345673,5.002144 52.345658,5.00185 52.345737,5.001735 52.345746,5.001665 52.345787,5.001641 52.345841,5.001658 52.345888,5.001719 52.345942,5.001806 52.345967,5.001871 52.345968,5.002219 52.345872,5.002296 52.345829,5.00232 52.345775))";"POLYGON((52.345775 5.00232,52.345713 5.002296,52.345673 5.002232,52.345658 5.002144,52.345737 5.00185,52.345746 5.001735,52.345787 5.001665,52.345841 5.001641,52.345888 5.001658,52.345942 5.001719,52.345967 5.001806,52.345968 5.001871,52.345872 5.002219,52.345829 5.002296,52.345775 5.00232))";5.0019855;52.345806;
223;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.986474 52.361955,4.98645 52.361901,4.986375 52.361848,4.986311 52.361808,4.986223 52.361794,4.986127 52.361807,4.985979 52.361883,4.985943 52.36191,4.985918 52.361964,4.985942 52.362018,4.986016 52.362071,4.986081 52.362111,4.986169 52.362126,4.986257 52.362111,4.986413 52.362036,4.98645 52.362009,4.986474 52.361955))";"POLYGON((52.361955 4.986474,52.361901 4.98645,52.361848 4.986375,52.361808 4.986311,52.361794 4.986223,52.361807 4.986127,52.361883 4.985979,52.36191 4.985943,52.361964 4.985918,52.362018 4.985942,52.362071 4.986016,52.362111 4.986081,52.362126 4.986169,52.362111 4.986257,52.362036 4.986413,52.362009 4.98645,52.361955 4.986474))";4.986201;52.361953;
224;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.986016 52.361632,4.985993 52.361578,4.985925 52.361528,4.985875 52.361502,4.985787 52.361487,4.985692 52.361501,4.985543 52.361576,4.985507 52.361603,4.985483 52.361657,4.985506 52.361711,4.985574 52.361758,4.985638 52.361798,4.985726 52.361813,4.985814 52.361799,4.985935 52.361738,4.985979 52.361702,4.986016 52.361632))";"POLYGON((52.361632 4.986016,52.361578 4.985993,52.361528 4.985925,52.361502 4.985875,52.361487 4.985787,52.361501 4.985692,52.361576 4.985543,52.361603 4.985507,52.361657 4.985483,52.361711 4.985506,52.361758 4.985574,52.361798 4.985638,52.361813 4.985726,52.361799 4.985814,52.361738 4.985935,52.361702 4.985979,52.361632 4.986016))";4.9857545;52.361643;
225;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.857853 52.34443,4.857831 52.344376,4.857767 52.344337,4.857666 52.34432,4.857578 52.344334,4.857513 52.344373,4.857494 52.344415,4.857423 52.344359,4.857372 52.344346,4.857233 52.344356,4.857168 52.344395,4.857144 52.344449,4.857167 52.344503,4.857231 52.344543,4.857333 52.34456,4.857421 52.344546,4.857486 52.344506,4.857503 52.344467,4.857575 52.344524,4.857626 52.344537,4.857758 52.344526,4.857829 52.344484,4.857853 52.34443))";"POLYGON((52.34443 4.857853,52.344376 4.857831,52.344337 4.857767,52.34432 4.857666,52.344334 4.857578,52.344373 4.857513,52.344415 4.857494,52.344359 4.857423,52.344346 4.857372,52.344356 4.857233,52.344395 4.857168,52.344449 4.857144,52.344503 4.857167,52.344543 4.857231,52.34456 4.857333,52.344546 4.857421,52.344506 4.857486,52.344467 4.857503,52.344524 4.857575,52.344537 4.857626,52.344526 4.857758,52.344484 4.857829,52.34443 4.857853))";4.8575035;52.344433;
226;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.832278 52.34837,4.832255 52.348316,4.832191 52.348276,4.832105 52.348261,4.831871 52.348258,4.831781 52.348272,4.831716 52.348312,4.831691 52.348365,4.831714 52.348423,4.831778 52.348463,4.832094 52.348492,4.832182 52.348478,4.832253 52.348436,4.832278 52.34837))";"POLYGON((52.34837 4.832278,52.348316 4.832255,52.348276 4.832191,52.348261 4.832105,52.348258 4.831871,52.348272 4.831781,52.348312 4.831716,52.348365 4.831691,52.348423 4.831714,52.348463 4.831778,52.348492 4.832094,52.348478 4.832182,52.348436 4.832253,52.34837 4.832278))";4.8319895;52.348368;
227;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.987265 52.362512,4.987242 52.362458,4.987132 52.362388,4.987044 52.362373,4.986956 52.362387,4.986804 52.362465,4.986767 52.362492,4.986743 52.362546,4.986766 52.3626,4.986834 52.362642,4.987052 52.362661,4.98714 52.362647,4.987201 52.362615,4.987252 52.362565,4.987265 52.362512))";"POLYGON((52.362512 4.987265,52.362458 4.987242,52.362388 4.987132,52.362373 4.987044,52.362387 4.986956,52.362465 4.986804,52.362492 4.986767,52.362546 4.986743,52.3626 4.986766,52.362642 4.986834,52.362661 4.987052,52.362647 4.98714,52.362615 4.987201,52.362565 4.987252,52.362512 4.987265))";4.987009;52.36251;
228;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.920915 52.338309,4.920818 52.338171,4.920752 52.338129,4.920664 52.338114,4.920579 52.338127,4.920492 52.338145,4.920422 52.338186,4.920398 52.33824,4.920429 52.338304,4.920495 52.338345,4.920578 52.338359,4.920645 52.338403,4.920733 52.338417,4.920821 52.338403,4.920891 52.338362,4.920915 52.338309))";"POLYGON((52.338309 4.920915,52.338171 4.920818,52.338129 4.920752,52.338114 4.920664,52.338127 4.920579,52.338145 4.920492,52.338186 4.920422,52.33824 4.920398,52.338304 4.920429,52.338345 4.920495,52.338359 4.920578,52.338403 4.920645,52.338417 4.920733,52.338403 4.920821,52.338362 4.920891,52.338309 4.920915))";4.9206615;52.3382585;
229;"WARMTE WIJK";"IN AANLEG";"POLYGON((4.821154 52.372241,4.82113 52.372184,4.821066 52.372144,4.820855 52.372108,4.82069 52.372128,4.820625 52.372167,4.820601 52.372221,4.820632 52.372295,4.820696 52.372335,4.820883 52.372369,4.821065 52.372334,4.82113 52.372295,4.821154 52.372241))";"POLYGON((52.372241 4.821154,52.372184 4.82113,52.372144 4.821066,52.372108 4.820855,52.372128 4.82069,52.372167 4.820625,52.372221 4.820601,52.372295 4.820632,52.372335 4.820696,52.372369 4.820883,52.372334 4.821065,52.372295 4.82113,52.372241 4.821154))";4.8208825;52.3722315;
