"�..OBJECTNUMMER";"SELECTIE";"Besluitnummer";"Status";"Omschrijving";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
1343;"BLAUW";"1. Oost 2 - P1";"OK";"Linnaeusstraat, oostzijde, tussen Linnaeuskade Commelinstraat ";"LINESTRING(4.9285899 52.3551809,4.9285177 52.3552414,4.9284226 52.3552831,4.9283291 52.3553747,4.9282762 52.3554506,4.9279993 52.3558943,4.9277990 52.3562141,4.9276369 52.3564750,4.9275965 52.3565471,4.9275614 52.3566234,4.9274631 52.3568603,4.9272799 52.3571896,4.9272798 52.3572238,4.9272474 52.3572858,4.9272038 52.3573055,4.9269920 52.3576570,4.9269280 52.3577370,4.9268117 52.3578473,4.9267736 52.3579097,4.9266920 52.3580650,4.9266219 52.3581893,4.9265075 52.3583218,4.9262402 52.3587466,4.9261175 52.3589497,4.9260812 52.3590254,4.9255514 52.3598551,4.9255447 52.3599157,4.9255567 52.3599566)";"LINESTRING(52.3551809 4.9285899,52.3552414 4.9285177,52.3552831 4.9284226,52.3553747 4.9283291,52.3554506 4.9282762,52.3558943 4.9279993,52.3562141 4.9277990,52.3564750 4.9276369,52.3565471 4.9275965,52.3566234 4.9275614,52.3568603 4.9274631,52.3571896 4.9272799,52.3572238 4.9272798,52.3572858 4.9272474,52.3573055 4.9272038,52.3576570 4.9269920,52.3577370 4.9269280,52.3578473 4.9268117,52.3579097 4.9267736,52.3580650 4.9266920,52.3581893 4.9266219,52.3583218 4.9265075,52.3587466 4.9262402,52.3589497 4.9261175,52.3590254 4.9260812,52.3598551 4.9255514,52.3599157 4.9255447,52.3599566 4.9255567)";4.9270723;52.35756175;NA
1344;"ROOD";"1. Oost 2 - Y";"OK";"Linnaeusplantsoen, in beide richtingen";"LINESTRING(4.9269280 52.3577370,4.9271080 52.3577660,4.9274190 52.3578300,4.9277510 52.3579060,4.9280494 52.3579880,4.9282260 52.3580560,4.9284360 52.3581550,4.9286260 52.3582460,4.9288890 52.3583850,4.9291990 52.3585560,4.9294250 52.3586920,4.9296830 52.3588600,4.9299090 52.3590140,4.9300960 52.3591420,4.9303080 52.3593180,4.9304150 52.3594130,4.9305280 52.3595200,4.9306320 52.3596110,4.9307100 52.3596690,4.9308210 52.3597260,4.9309173 52.3597587)";"LINESTRING(52.3577370 4.9269280,52.3577660 4.9271080,52.3578300 4.9274190,52.3579060 4.9277510,52.3579880 4.9280494,52.3580560 4.9282260,52.3581550 4.9284360,52.3582460 4.9286260,52.3583850 4.9288890,52.3585560 4.9291990,52.3586920 4.9294250,52.3588600 4.9296830,52.3590140 4.9299090,52.3591420 4.9300960,52.3593180 4.9303080,52.3594130 4.9304150,52.3595200 4.9305280,52.3596110 4.9306320,52.3596690 4.9307100,52.3597260 4.9308210,52.3597587 4.9309173)";4.92892765;52.35874085;NA
1348;"ROOD";"1. Oost 6 - F";"OK";"Wembleylaan, zuidzijde, in beide richtingen";"LINESTRING(4.9515950 52.3460080,4.9510640 52.3456960)";"LINESTRING(52.3460080 4.9515950,52.3456960 4.9510640)";4.9513345;52.345845;NA
1349;"BLAUW";"1. Oost 6 - F";"OK";"Wembleylaan, zuidzijde, in beide richtingen";"LINESTRING(4.9509270 52.3456160,4.9504250 52.3453130,4.9500340 52.3450850,4.9489880 52.3444520,4.9485010 52.3441660,4.9477390 52.3437080,4.9473620 52.3434650)";"LINESTRING(52.3456160 4.9509270,52.3453130 4.9504250,52.3450850 4.9500340,52.3444520 4.9489880,52.3441660 4.9485010,52.3437080 4.9477390,52.3434650 4.9473620)";4.9491495;52.3445335;NA
1367;"BLAUW";"1. Oost 7 - B";"OK";"Bob Haarmslaan, tussen IJburglaan en Zuider IJdijk, in beide richtingen";"LINESTRING(4.9685910 52.3697100,4.9686680 52.3697730,4.9690170 52.3700240,4.9699270 52.3706680,4.9707500 52.3712460,4.9712300 52.3715840)";"LINESTRING(52.3697100 4.9685910,52.3697730 4.9686680,52.3700240 4.9690170,52.3706680 4.9699270,52.3712460 4.9707500,52.3715840 4.9712300)";4.9699155;52.37064;NA
1370;"ROOD";"1. Oost 7 - E";"OK";"Tussen Kea Boumanstraat en Zuider IJdijk, in beide richtingen";"LINESTRING(4.9656420 52.3762980,4.9652720 52.3760330)";"LINESTRING(52.3762980 4.9656420,52.3760330 4.9652720)";4.965462;52.3761585;NA
1372;"BLAUW";"1. Oost 7 - D";"OK";"Faas Wilkesstraat, vanaf Bob Haarmslaan, in beide richtingen";"LINESTRING(4.9696467 52.3724285,4.9712300 52.3715840)";"LINESTRING(52.3724285 4.9696467,52.3715840 4.9712300)";4.97044335;52.37199925;NA
1375;"ROOD";"1. Oost 7 - C";"OK";"Zuider IJdijk, in beide richtingen";"LINESTRING(4.9644471 52.3768768,4.9647544 52.3767086,4.9648828 52.3766747,4.9650071 52.3766294,4.9656420 52.3762980,4.9663760 52.3759100,4.9678690 52.3751160,4.9692120 52.3744060,4.9706740 52.3736280,4.9726430 52.3725830)";"LINESTRING(52.3768768 4.9644471,52.3767086 4.9647544,52.3766747 4.9648828,52.3766294 4.9650071,52.3762980 4.9656420,52.3759100 4.9663760,52.3751160 4.9678690,52.3744060 4.9692120,52.3736280 4.9706740,52.3725830 4.9726430)";4.96855005;52.3747229;NA
1376;"ROOD";"1. Oost 7 - A";"RECTIF";"Leo Hornstraat, tussen Kees Broekmanstraat en IJburglaan, in beide richtingen";"LINESTRING(4.9681930 52.3699250,4.9683750 52.3700590,4.9684520 52.3701290,4.9684650 52.3701770,4.9684680 52.3702180)";"LINESTRING(52.3699250 4.9681930,52.3700590 4.9683750,52.3701290 4.9684520,52.3701770 4.9684650,52.3702180 4.9684680)";4.9683355;52.3700645;NA
1390;"BLAUW";"1. Oost 4 - M2";"OK";"H.J.E. Wenckebachweg, zuidzijde";"LINESTRING(4.9280920 52.3365991,4.9280771 52.3365655,4.9280511 52.3365425,4.9280138 52.3365200,4.9278180 52.3364470,4.9273730 52.3362980,4.9270410 52.3361840,4.9270030 52.3361570)";"LINESTRING(52.3365991 4.9280920,52.3365655 4.9280771,52.3365425 4.9280511,52.3365200 4.9280138,52.3364470 4.9278180,52.3362980 4.9273730,52.3361840 4.9270410,52.3361570 4.9270030)";4.9275525;52.33637105;NA
1406;"ROOD";"1. Oost 4 - I";"OK";"Amstelplein, tussen Weesperzijde en de rotonde van Spaklerweg, in beide richtingen";"LINESTRING(4.9144808 52.3460929,4.9145271 52.3460031,4.9145632 52.3459583,4.9146046 52.3459199,4.9146271 52.3459039,4.9177620 52.3442380,4.9178290 52.3441960,4.9178683 52.3441250,4.9178701 52.3440925,4.9179090 52.3440233,4.9179386 52.3439845)";"LINESTRING(52.3460929 4.9144808,52.3460031 4.9145271,52.3459583 4.9145632,52.3459199 4.9146046,52.3459039 4.9146271,52.3442380 4.9177620,52.3441960 4.9178290,52.3441250 4.9178683,52.3440925 4.9178701,52.3440233 4.9179090,52.3439845 4.9179386)";4.9162147;52.3450317;NA
