"�..OBJECTNUMMER";"SELECTIE";"Besluitnummer";"Status";"Omschrijving";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
401;"BLAUW";"1. West 3 - EE3";"OK";"Jan Evertsenstraat, weerszijden, tussen Mercatorplein en Admiraal de Ruijterweg";"LINESTRING(4.8598470 52.3714130,4.8598030 52.3714210,4.8597640 52.3714370,4.8596950 52.3714510,4.8596560 52.3714520,4.8595350 52.3714340,4.8591323 52.3713923,4.8590984 52.3713768,4.8590635 52.3713520)";"LINESTRING(52.3714130 4.8598470,52.3714210 4.8598030,52.3714370 4.8597640,52.3714510 4.8596950,52.3714520 4.8596560,52.3714340 4.8595350,52.3713923 4.8591323,52.3713768 4.8590984,52.3713520 4.8590635)";4.85946025;52.371395;NA
402;"BLAUW";"1. West 3 - B";"OK";"Admiraal de Ruijterweg, weerszijden, tussen Jan van Galenstraat en De Clercqstraat";"LINESTRING(4.8587120 52.3746100,4.8587320 52.3745230,4.8588580 52.3741830,4.8589100 52.3739990,4.8590080 52.3737010,4.8590350 52.3735990,4.8592140 52.3730280,4.8596180 52.3717530,4.8596360 52.3717220,4.8596660 52.3716940,4.8597470 52.3716480,4.8597970 52.3716270,4.8598810 52.3716040)";"LINESTRING(52.3746100 4.8587120,52.3745230 4.8587320,52.3741830 4.8588580,52.3739990 4.8589100,52.3737010 4.8590080,52.3735990 4.8590350,52.3730280 4.8592140,52.3717530 4.8596180,52.3717220 4.8596360,52.3716940 4.8596660,52.3716480 4.8597470,52.3716270 4.8597970,52.3716040 4.8598810)";4.8593015;52.3731;NA
403;"BLAUW";"1. West 2 - O";"OK";"Jan van Galenstraat, weerszijden, tussen Orteliusstraat en Willem de Zwijgerlaan";"LINESTRING(4.8586780 52.3747440,4.8587110 52.3747310,4.8587990 52.3747330,4.8588810 52.3747380,4.8593980 52.3748010,4.8594830 52.3748130,4.8597440 52.3748620,4.8598280 52.3748810,4.8598480 52.3748940,4.8598680 52.3749140,4.8598960 52.3749290,4.8599340 52.3749370,4.8616440 52.3751420,4.8620470 52.3752040,4.8624310 52.3752480,4.8625160 52.3752630)";"LINESTRING(52.3747440 4.8586780,52.3747310 4.8587110,52.3747330 4.8587990,52.3747380 4.8588810,52.3748010 4.8593980,52.3748130 4.8594830,52.3748620 4.8597440,52.3748810 4.8598280,52.3748940 4.8598480,52.3749140 4.8598680,52.3749290 4.8598960,52.3749370 4.8599340,52.3751420 4.8616440,52.3752040 4.8620470,52.3752480 4.8624310,52.3752630 4.8625160)";4.860602;52.37499;NA
404;"BLAUW";"1. West 2 - O";"OK";"Jan van Galenstraat, weerszijden, tussen Orteliusstraat en Willem de Zwijgerlaan";"LINESTRING(4.8625700 52.3750490,4.8624470 52.3750320,4.8616950 52.3749380,4.8605030 52.3747910,4.8598300 52.3747160,4.8594910 52.3747010,4.8593470 52.3746820,4.8587660 52.3746170,4.8587120 52.3746100)";"LINESTRING(52.3750490 4.8625700,52.3750320 4.8624470,52.3749380 4.8616950,52.3747910 4.8605030,52.3747160 4.8598300,52.3747010 4.8594910,52.3746820 4.8593470,52.3746170 4.8587660,52.3746100 4.8587120)";4.860646;52.3748225;NA
405;"BLAUW";"1. West 1 - Q";"OK";"Willem de Zwijgerlaan, weerszijden, tussen Karel Doormanstraat en Jan van Galenstraat";"LINESTRING(4.8625160 52.3752630,4.8624756 52.3754130,4.8624110 52.3756270,4.8623926 52.3756803,4.8623850 52.3757360,4.8623810 52.3757790,4.8624410 52.3759300,4.8627540 52.3767904,4.8627663 52.3768436,4.8627633 52.3768879,4.8626955 52.3770836,4.8626230 52.3772920,4.8626030 52.3774130,4.8625863 52.3774647,4.8624870 52.3777270,4.8624676 52.3778097,4.8624513 52.3779086,4.8624233 52.3779744,4.8619910 52.3791750,4.8618698 52.3794759,4.8618223 52.3795714,4.8617816 52.3796349,4.8616983 52.3797397,4.8616338 52.3798065,4.8615317 52.3798783,4.8613169 52.3800169)";"LINESTRING(52.3752630 4.8625160,52.3754130 4.8624756,52.3756270 4.8624110,52.3756803 4.8623926,52.3757360 4.8623850,52.3757790 4.8623810,52.3759300 4.8624410,52.3767904 4.8627540,52.3768436 4.8627663,52.3768879 4.8627633,52.3770836 4.8626955,52.3772920 4.8626230,52.3774130 4.8626030,52.3774647 4.8625863,52.3777270 4.8624870,52.3778097 4.8624676,52.3779086 4.8624513,52.3779744 4.8624233,52.3791750 4.8619910,52.3794759 4.8618698,52.3795714 4.8618223,52.3796349 4.8617816,52.3797397 4.8616983,52.3798065 4.8616338,52.3798783 4.8615317,52.3800169 4.8613169)";4.8620466;52.37763295;NA
407;"BLAUW";"1. West 1 - Q";"OK";"Willem de Zwijgerlaan, weerszijden, tussen Karel Doormanstraat en Jan van Galenstraat";"LINESTRING(4.8628400 52.3753260,4.8628050 52.3753680,4.8627240 52.3755008,4.8626686 52.3756187,4.8626366 52.3757168,4.8626320 52.3757816,4.8626456 52.3758332,4.8629267 52.3766022,4.8630083 52.3768309,4.8630160 52.3768790,4.8630135 52.3769253,4.8630010 52.3769744,4.8629532 52.3771497,4.8629356 52.3771874,4.8628591 52.3773131,4.8628181 52.3773917,4.8626840 52.3777370,4.8626720 52.3777899,4.8626626 52.3778322,4.8626423 52.3779751,4.8625809 52.3781759,4.8625086 52.3783701,4.8624076 52.3786153,4.8623200 52.3788580,4.8620640 52.3795476,4.8620426 52.3796098,4.8620360 52.3796700,4.8620287 52.3797414,4.8620033 52.3797882,4.8619784 52.3798217,4.8619300 52.3798780,4.8618750 52.3799304,4.8618106 52.3799811,4.8615374 52.3801492)";"LINESTRING(52.3753260 4.8628400,52.3753680 4.8628050,52.3755008 4.8627240,52.3756187 4.8626686,52.3757168 4.8626366,52.3757816 4.8626320,52.3758332 4.8626456,52.3766022 4.8629267,52.3768309 4.8630083,52.3768790 4.8630160,52.3769253 4.8630135,52.3769744 4.8630010,52.3771497 4.8629532,52.3771874 4.8629356,52.3773131 4.8628591,52.3773917 4.8628181,52.3777370 4.8626840,52.3777899 4.8626720,52.3778322 4.8626626,52.3779751 4.8626423,52.3781759 4.8625809,52.3783701 4.8625086,52.3786153 4.8624076,52.3788580 4.8623200,52.3795476 4.8620640,52.3796098 4.8620426,52.3796700 4.8620360,52.3797414 4.8620287,52.3797882 4.8620033,52.3798217 4.8619784,52.3798780 4.8619300,52.3799304 4.8618750,52.3799811 4.8618106,52.3801492 4.8615374)";4.8622817;52.3777306;NA
408;"BLAUW";"1. West 3 - B";"OK";"Admiraal de Ruijterweg, weerszijden, tussen Jan van Galenstraat en De Clercqstraat";"LINESTRING(4.8598810 52.3716040,4.8599790 52.3715790,4.8603890 52.3714940,4.8608930 52.3714010,4.8619270 52.3711960,4.8624500 52.3710990,4.8632617 52.3709418)";"LINESTRING(52.3716040 4.8598810,52.3715790 4.8599790,52.3714940 4.8603890,52.3714010 4.8608930,52.3711960 4.8619270,52.3710990 4.8624500,52.3709418 4.8632617)";4.86157635;52.3712659;NA
409;"BLAUW";"1. West 3 - B";"OK";"Admiraal de Ruijterweg, weerszijden, tussen Jan van Galenstraat en De Clercqstraat";"LINESTRING(4.8632070 52.3707520,4.8631210 52.3707940,4.8630680 52.3708120,4.8629750 52.3708360,4.8618970 52.3710410,4.8611590 52.3711890,4.8609740 52.3712220,4.8601910 52.3713740,4.8600750 52.3713890,4.8599950 52.3713940,4.8599340 52.3713990,4.8598470 52.3714130)";"LINESTRING(52.3707520 4.8632070,52.3707940 4.8631210,52.3708120 4.8630680,52.3708360 4.8629750,52.3710410 4.8618970,52.3711890 4.8611590,52.3712220 4.8609740,52.3713740 4.8601910,52.3713890 4.8600750,52.3713940 4.8599950,52.3713990 4.8599340,52.3714130 4.8598470)";4.861532;52.3710755;NA
411;"BLAUW";"1. West 3 - C";"OK";"Willem de Zwijgerlaan, weerszijden, tussen Jan van Galenstraat en Admiraal de Ruijterweg";"LINESTRING(4.8632617 52.3709418,4.8633360 52.3710560,4.8633350 52.3710800,4.8633070 52.3711230,4.8632850 52.3711470,4.8632760 52.3711680,4.8632420 52.3718770,4.8632190 52.3722460,4.8631930 52.3724160,4.8631750 52.3726290,4.8630760 52.3732390,4.8629610 52.3737640,4.8628610 52.3741540,4.8626200 52.3749680,4.8625900 52.3750070,4.8625700 52.3750490)";"LINESTRING(52.3709418 4.8632617,52.3710560 4.8633360,52.3710800 4.8633350,52.3711230 4.8633070,52.3711470 4.8632850,52.3711680 4.8632760,52.3718770 4.8632420,52.3722460 4.8632190,52.3724160 4.8631930,52.3726290 4.8631750,52.3732390 4.8630760,52.3737640 4.8629610,52.3741540 4.8628610,52.3749680 4.8626200,52.3750070 4.8625900,52.3750490 4.8625700)";4.862958;52.3729884;NA
413;"BLAUW";"1. West 3 - C";"OK";"Willem de Zwijgerlaan, weerszijden, tussen Jan van Galenstraat en Admiraal de Ruijterweg";"LINESTRING(4.8629090 52.3750880,4.8629170 52.3750590,4.8629080 52.3750320,4.8628720 52.3750020,4.8628590 52.3749750,4.8628760 52.3748880,4.8629310 52.3747330,4.8629790 52.3746220,4.8630150 52.3744830,4.8630630 52.3743360,4.8632170 52.3737560,4.8633420 52.3731680,4.8634150 52.3726350,4.8634530 52.3723990,4.8634550 52.3723560,4.8634440 52.3723290,4.8634710 52.3721910,4.8634920 52.3719040,4.8635260 52.3711370,4.8635350 52.3710810,4.8635390 52.3710140,4.8635350 52.3709380,4.8635334 52.3708804)";"LINESTRING(52.3750880 4.8629090,52.3750590 4.8629170,52.3750320 4.8629080,52.3750020 4.8628720,52.3749750 4.8628590,52.3748880 4.8628760,52.3747330 4.8629310,52.3746220 4.8629790,52.3744830 4.8630150,52.3743360 4.8630630,52.3737560 4.8632170,52.3731680 4.8633420,52.3726350 4.8634150,52.3723990 4.8634530,52.3723560 4.8634550,52.3723290 4.8634440,52.3721910 4.8634710,52.3719040 4.8634920,52.3711370 4.8635260,52.3710810 4.8635350,52.3710140 4.8635390,52.3709380 4.8635350,52.3708804 4.8635334)";4.863204;52.3729772;NA
416;"BLAUW";"1. West 1 - P2";"OK";"Jan van Galenstraat, zuidzijde, tussen Marcantilaan en Willem de Zwijgerlaan";"LINESTRING(4.8638070 52.3752550,4.8633950 52.3751910,4.8632230 52.3751550,4.8630430 52.3751090,4.8629090 52.3750880)";"LINESTRING(52.3752550 4.8638070,52.3751910 4.8633950,52.3751550 4.8632230,52.3751090 4.8630430,52.3750880 4.8629090)";4.863363;52.3751645;NA
417;"BLAUW";"1. West 1 - P3";"OK";"Jan van Galenstraat, noordzijde, tussen Tweede Hugo de Grootstraat en Willem de Zwijgerlaan";"LINESTRING(4.8640570 52.3754160,4.8637210 52.3753930,4.8634510 52.3753800,4.8633270 52.3753770,4.8629250 52.3753240,4.8628400 52.3753260)";"LINESTRING(52.3754160 4.8640570,52.3753930 4.8637210,52.3753800 4.8634510,52.3753770 4.8633270,52.3753240 4.8629250,52.3753260 4.8628400)";4.8634535;52.375363;NA
419;"BLAUW";"1. Zuid 1 - E";"OK";"Cornelis Krusemanstraat, weerszijden";"LINESTRING(4.8644430 52.3516070,4.8646378 52.3516585)";"LINESTRING(52.3516070 4.8644430,52.3516585 4.8646378)";4.8645454;52.35162575;NA
420;"BLAUW";"1. Zuid 1 - F1";"OK";"Olympiaplein noordkant, weerzijden, tussen Olympiaweg en Apollolaan";"LINESTRING(4.8646700 52.3501030,4.8645210 52.3500270,4.8634920 52.3494580)";"LINESTRING(52.3501030 4.8646700,52.3500270 4.8645210,52.3494580 4.8634920)";4.864086;52.3497735;NA
424;"BLAUW";"1. West 3 - B";"OK";"Admiraal de Ruijterweg, weerszijden, tussen Jan van Galenstraat en De Clercqstraat";"LINESTRING(4.8645920 52.3702070,4.8645640 52.3702090,4.8645250 52.3702160,4.8641950 52.3703090,4.8639030 52.3704180,4.8638400 52.3704560,4.8637520 52.3705030,4.8636520 52.3705260,4.8634200 52.3706400,4.8633620 52.3706710,4.8632170 52.3707470,4.8632070 52.3707520)";"LINESTRING(52.3702070 4.8645920,52.3702090 4.8645640,52.3702160 4.8645250,52.3703090 4.8641950,52.3704180 4.8639030,52.3704560 4.8638400,52.3705030 4.8637520,52.3705260 4.8636520,52.3706400 4.8634200,52.3706710 4.8633620,52.3707470 4.8632170,52.3707520 4.8632070)";4.8639045;52.3704725;NA
425;"BLAUW";"1. West 3 - J2";"OK";"Overtoom, zuidzijde, tussen Amstelveenseweg en Kattenlaan";"LINESTRING(4.8647430 52.3599940,4.8646040 52.3599640,4.8644064 52.3599325,4.8641540 52.3598750,4.8637280 52.3597800,4.8627920 52.3595510,4.8624270 52.3594660,4.8618690 52.3593220,4.8613280 52.3591870,4.8610920 52.3591260,4.8601000 52.3588470,4.8598930 52.3587860,4.8595030 52.3586860,4.8590730 52.3585820,4.8587630 52.3585010,4.8584300 52.3584190,4.8581260 52.3583310,4.8578310 52.3582520,4.8572090 52.3580950,4.8568980 52.3580190,4.8562600 52.3578500,4.8558420 52.3577030,4.8557850 52.3576730,4.8556910 52.3576140)";"LINESTRING(52.3599940 4.8647430,52.3599640 4.8646040,52.3599325 4.8644064,52.3598750 4.8641540,52.3597800 4.8637280,52.3595510 4.8627920,52.3594660 4.8624270,52.3593220 4.8618690,52.3591870 4.8613280,52.3591260 4.8610920,52.3588470 4.8601000,52.3587860 4.8598930,52.3586860 4.8595030,52.3585820 4.8590730,52.3585010 4.8587630,52.3584190 4.8584300,52.3583310 4.8581260,52.3582520 4.8578310,52.3580950 4.8572090,52.3580190 4.8568980,52.3578500 4.8562600,52.3577030 4.8558420,52.3576730 4.8557850,52.3576140 4.8556910)";4.860222;52.358797;NA
426;"BLAUW";"1. Zuid 1 - F3";"OK";"Olympiaplein westkant, tussen de noordelijke rijbaan en Apollolaan";"LINESTRING(4.8647650 52.3500050,4.8647830 52.3499790,4.8649420 52.3498060)";"LINESTRING(52.3500050 4.8647650,52.3499790 4.8647830,52.3498060 4.8649420)";4.8648585;52.3498985;NA
427;"BLAUW";"1. West 3 - B";"OK";"Admiraal de Ruijterweg, weerszijden, tussen Jan van Galenstraat en De Clercqstraat";"LINESTRING(4.8635334 52.3708804,4.8636870 52.3707810,4.8640770 52.3705910,4.8641530 52.3705580,4.8646390 52.3703750,4.8646850 52.3703470,4.8647010 52.3703310)";"LINESTRING(52.3708804 4.8635334,52.3707810 4.8636870,52.3705910 4.8640770,52.3705580 4.8641530,52.3703750 4.8646390,52.3703470 4.8646850,52.3703310 4.8647010)";4.8641222;52.3705987;NA
430;"BLAUW";"1. Zuid 1 - D";"OK";"De Lairessestraat, weerszijden";"LINESTRING(4.8646391 52.3516586,4.8647664 52.3516923,4.8648950 52.3517390,4.8650840 52.3518000)";"LINESTRING(52.3516586 4.8646391,52.3516923 4.8647664,52.3517390 4.8648950,52.3518000 4.8650840)";4.86486655;52.3517223;NA
434;"ROOD";"1. Zuid 1 - H";"OK";"Valeriusplein, weerszijden, tussen De Lairessestraat en Olympiaplein";"LINESTRING(4.8654070 52.3504520,4.8650920 52.3509040,4.8648430 52.3512320,4.8645410 52.3515670,4.8645120 52.3516080,4.8645030 52.3516220)";"LINESTRING(52.3504520 4.8654070,52.3509040 4.8650920,52.3512320 4.8648430,52.3515670 4.8645410,52.3516080 4.8645120,52.3516220 4.8645030)";4.86496;52.35103;NA
435;"BLAUW";"1. Zuid 1 - F1";"OK";"Olympiaplein noordkant, weerzijden, tussen Olympiaweg en Apollolaan";"LINESTRING(4.8654070 52.3504520,4.8653600 52.3504390,4.8651850 52.3503630,4.8646700 52.3501030)";"LINESTRING(52.3504520 4.8654070,52.3504390 4.8653600,52.3503630 4.8651850,52.3501030 4.8646700)";4.8650435;52.3502705;NA
436;"BLAUW";"1. Zuid 1 - F1";"OK";"Olympiaplein noordkant, weerzijden, tussen Olympiaweg en Apollolaan";"LINESTRING(4.8647650 52.3500050,4.8647800 52.3500320,4.8648250 52.3500570,4.8653270 52.3503090,4.8654680 52.3503620)";"LINESTRING(52.3500050 4.8647650,52.3500320 4.8647800,52.3500570 4.8648250,52.3503090 4.8653270,52.3503620 4.8654680)";4.8651215;52.3501765;NA
437;"BLAUW";"1. West 3 - R1";"OK";"Jan Pieter Heijestraat, weerszijden, tussen Kinkerstraat en Overtoom";"LINESTRING(4.8654180 52.3603760,4.8653450 52.3604760,4.8650430 52.3609420,4.8648190 52.3612880,4.8647230 52.3614420,4.8642660 52.3621550,4.8641550 52.3623180,4.8637960 52.3628890,4.8637520 52.3629860,4.8636570 52.3631290,4.8635850 52.3632170,4.8635640 52.3632410,4.8628770 52.3643390,4.8626290 52.3647190)";"LINESTRING(52.3603760 4.8654180,52.3604760 4.8653450,52.3609420 4.8650430,52.3612880 4.8648190,52.3614420 4.8647230,52.3621550 4.8642660,52.3623180 4.8641550,52.3628890 4.8637960,52.3629860 4.8637520,52.3631290 4.8636570,52.3632170 4.8635850,52.3632410 4.8635640,52.3643390 4.8628770,52.3647190 4.8626290)";4.8640285;52.3625405;NA
438;"BLAUW";"1. Zuid 1 - F1";"OK";"Olympiaplein noordkant, weerzijden, tussen Olympiaweg en Apollolaan";"LINESTRING(4.8655770 52.3503870,4.8655490 52.3503820,4.8654680 52.3503620)";"LINESTRING(52.3503870 4.8655770,52.3503820 4.8655490,52.3503620 4.8654680)";4.8655275;52.3503675;NA
443;"BLAUW";"1. West 3 - J3";"OK";"Overtoom, zuidzijde, tussen Kattenlaan en Jan Pieter Heijestraat, in beide richtingen";"LINESTRING(4.8647430 52.3599940,4.8649690 52.3600462,4.8651429 52.3600927,4.8653908 52.3601307,4.8655335 52.3601611,4.8656360 52.3601850)";"LINESTRING(52.3599940 4.8647430,52.3600462 4.8649690,52.3600927 4.8651429,52.3601307 4.8653908,52.3601611 4.8655335,52.3601850 4.8656360)";4.8651945;52.3600825;NA
446;"BLAUW";"1. West 1 - P3";"OK";"Jan van Galenstraat, noordzijde, tussen Tweede Hugo de Grootstraat en Willem de Zwijgerlaan";"LINESTRING(4.8644850 52.3754780,4.8647100 52.3755090,4.8648100 52.3755270,4.8648920 52.3755430,4.8650940 52.3755970,4.8661780 52.3757500)";"LINESTRING(52.3754780 4.8644850,52.3755090 4.8647100,52.3755270 4.8648100,52.3755430 4.8648920,52.3755970 4.8650940,52.3757500 4.8661780)";4.8653365;52.375607;NA
448;"BLAUW";"1. Zuid 3 - M2";"OK";"Olympiaplein, noordzijde, tussen Olympiaplein west- en oostzijde";"LINESTRING(4.8665448 52.3465065,4.8666415 52.3465139,4.8679055 52.3466864,4.8679545 52.3467049)";"LINESTRING(52.3465065 4.8665448,52.3465139 4.8666415,52.3466864 4.8679055,52.3467049 4.8679545)";4.86725465;52.3465987;NA
449;"BLAUW";"1. West 1 - P2";"OK";"Jan van Galenstraat, zuidzijde, tussen Marcantilaan en Willem de Zwijgerlaan";"LINESTRING(4.8674750 52.3756710,4.8668173 52.3756158,4.8663141 52.3755612,4.8661650 52.3755360,4.8651740 52.3754130,4.8651010 52.3754150,4.8649290 52.3754100,4.8648220 52.3754020,4.8645540 52.3753630)";"LINESTRING(52.3756710 4.8674750,52.3756158 4.8668173,52.3755612 4.8663141,52.3755360 4.8661650,52.3754130 4.8651740,52.3754150 4.8651010,52.3754100 4.8649290,52.3754020 4.8648220,52.3753630 4.8645540)";4.8660195;52.37551;NA
451;"BLAUW";"1. Zuid 1 - F1";"OK";"Olympiaplein noordkant, weerzijden, tussen Olympiaweg en Apollolaan";"LINESTRING(4.8665690 52.3504780,4.8658380 52.3504250,4.8656470 52.3504010,4.8655770 52.3503870)";"LINESTRING(52.3504780 4.8665690,52.3504250 4.8658380,52.3504010 4.8656470,52.3503870 4.8655770)";4.866078;52.3504255;NA
452;"BLAUW";"1. Zuid 1 - F5";"OK";"Olympiaplein zuidkant, tussen Apollolaan en Olympiaweg";"LINESTRING(4.8666880 52.3501590,4.8666440 52.3501490,4.8649400 52.3497020,4.8648860 52.3496870,4.8647110 52.3496400,4.8634420 52.3492990)";"LINESTRING(52.3501590 4.8666880,52.3501490 4.8666440,52.3497020 4.8649400,52.3496870 4.8648860,52.3496400 4.8647110,52.3492990 4.8634420)";4.86507;52.349722;NA
453;"BLAUW";"1. Zuid 1 - F2";"OK";"Olympiaplein oostkant, tussen de noordelijke rijbaan en Apollolaan, in beide richtingen";"LINESTRING(4.8665690 52.3504780,4.8666550 52.3502390)";"LINESTRING(52.3504780 4.8665690,52.3502390 4.8666550)";4.866617;52.3503515;NA
454;"ROOD";"1. West 3 - Q";"OK";"Jacob van Lennepkade, tussen Nicolaas Beetsstraat en Nicolaas Beetsplantsoen, in beide richtingen";"LINESTRING(4.8665320 52.3639120,4.8664940 52.3638980,4.8656360 52.3636860,4.8655600 52.3636730)";"LINESTRING(52.3639120 4.8665320,52.3638980 4.8664940,52.3636860 4.8656360,52.3636730 4.8655600)";4.866051;52.3637855;NA
457;"BLAUW";"1. Zuid 3 - M1";"OK";"Olympiaplein, zuidzijde, tussen Patroclosstraat en Watteaustraat";"LINESTRING(4.8654280 52.3461380,4.8656347 52.3461323,4.8657240 52.3461313,4.8668195 52.3462812,4.8669950 52.3463000)";"LINESTRING(52.3461380 4.8654280,52.3461323 4.8656347,52.3461313 4.8657240,52.3462812 4.8668195,52.3463000 4.8669950)";4.8662165;52.34620865;NA
458;"BLAUW";"1. Zuid 1 - F4";"OK";"Olympiaplein oostkant, tussen Apollolaan en Stadionweg, in beide richtingen";"LINESTRING(4.8669570 52.3496210,4.8668470 52.3499160,4.8668140 52.3499800,4.8667760 52.3500190,4.8667130 52.3500940,4.8666940 52.3501470,4.8666880 52.3501590)";"LINESTRING(52.3496210 4.8669570,52.3499160 4.8668470,52.3499800 4.8668140,52.3500190 4.8667760,52.3500940 4.8667130,52.3501470 4.8666940,52.3501590 4.8666880)";4.8668275;52.349883;NA
467;"BLAUW";"1. Zuid 1 - F4";"OK";"Olympiaplein oostkant, tussen Apollolaan en Stadionweg, in beide richtingen";"LINESTRING(4.8669540 52.3496210,4.8670290 52.3494290,4.8678010 52.3472960,4.8678320 52.3471600)";"LINESTRING(52.3496210 4.8669540,52.3494290 4.8670290,52.3472960 4.8678010,52.3471600 4.8678320)";4.867398;52.3483835;NA
469;"BLAUW";"1. Zuid 3 - I4";"OK";"Parnassusweg, westzijde, tussen Fred Roeskestraat en de zuidzijde van het viaduct van de ring A10, in beide richtingen";"LINESTRING(4.8681430 52.3408570,4.8680890 52.3413940,4.8681010 52.3414900)";"LINESTRING(52.3408570 4.8681430,52.3413940 4.8680890,52.3414900 4.8681010)";4.868121;52.3411665;NA
470;"BLAUW";"1. Zuid 3 - I3";"OK";"Parnassusweg, westzijde, tussen Olympiaplein en Fred Roeskestraat";"LINESTRING(4.8681010 52.3414900,4.8681420 52.3415260,4.8681570 52.3415570,4.8681630 52.3415850,4.8681150 52.3421360,4.8681110 52.3422320,4.8680720 52.3425930,4.8680830 52.3426120,4.8680860 52.3426310,4.8680570 52.3429590,4.8680290 52.3431240,4.8680220 52.3432480,4.8679930 52.3434200,4.8679570 52.3435380,4.8679370 52.3436200,4.8679330 52.3436880,4.8679380 52.3437290,4.8679390 52.3437730,4.8678390 52.3440370,4.8677880 52.3441960,4.8677050 52.3443420,4.8676560 52.3444290,4.8676290 52.3444850,4.8673210 52.3453470,4.8672340 52.3455680,4.8670520 52.3460820,4.8670110 52.3462140,4.8669950 52.3463000)";"LINESTRING(52.3414900 4.8681010,52.3415260 4.8681420,52.3415570 4.8681570,52.3415850 4.8681630,52.3421360 4.8681150,52.3422320 4.8681110,52.3425930 4.8680720,52.3426120 4.8680830,52.3426310 4.8680860,52.3429590 4.8680570,52.3431240 4.8680290,52.3432480 4.8680220,52.3434200 4.8679930,52.3435380 4.8679570,52.3436200 4.8679370,52.3436880 4.8679330,52.3437290 4.8679380,52.3437730 4.8679390,52.3440370 4.8678390,52.3441960 4.8677880,52.3443420 4.8677050,52.3444290 4.8676560,52.3444850 4.8676290,52.3453470 4.8673210,52.3455680 4.8672340,52.3460820 4.8670520,52.3462140 4.8670110,52.3463000 4.8669950)";4.867584;52.343888;NA
472;"BLAUW";"1. Zuid 1 - F4";"OK";"Olympiaplein oostkant, tussen Apollolaan en Stadionweg, in beide richtingen";"LINESTRING(4.8679560 52.3467080,4.8679300 52.3467850,4.8679110 52.3468470,4.8678420 52.3470290,4.8678320 52.3471600)";"LINESTRING(52.3467080 4.8679560,52.3467850 4.8679300,52.3468470 4.8679110,52.3470290 4.8678420,52.3471600 4.8678320)";4.867899;52.346927;NA
473;"BLAUW";"1. Zuid 3 - I1";"OK";"Parnassusweg, oostzijde, tussen Olympiaplein en Prinses Irenestraat";"LINESTRING(4.8686090 52.3415230,4.8685620 52.3415940,4.8685390 52.3416710,4.8684850 52.3422840,4.8684190 52.3428770,4.8683180 52.3435380,4.8682890 52.3435960,4.8681960 52.3437340,4.8681280 52.3438520,4.8680460 52.3440880,4.8680050 52.3441910,4.8679920 52.3442490,4.8679840 52.3443300,4.8679750 52.3443740,4.8679420 52.3445310,4.8678820 52.3446830,4.8677240 52.3451500,4.8674580 52.3458710,4.8674160 52.3460060,4.8673370 52.3462280,4.8673200 52.3462500,4.8672740 52.3463380)";"LINESTRING(52.3415230 4.8686090,52.3415940 4.8685620,52.3416710 4.8685390,52.3422840 4.8684850,52.3428770 4.8684190,52.3435380 4.8683180,52.3435960 4.8682890,52.3437340 4.8681960,52.3438520 4.8681280,52.3440880 4.8680460,52.3441910 4.8680050,52.3442490 4.8679920,52.3443300 4.8679840,52.3443740 4.8679750,52.3445310 4.8679420,52.3446830 4.8678820,52.3451500 4.8677240,52.3458710 4.8674580,52.3460060 4.8674160,52.3462280 4.8673370,52.3462500 4.8673200,52.3463380 4.8672740)";4.8679465;52.3439235;NA
474;"ROOD";"1. Zuid 3 - J2";"OK";"Strawinskylaan, naar Parnassusweg, in beide richtingen";"LINESTRING(4.8681430 52.3408570,4.8687070 52.3408790,4.8687430 52.3408800)";"LINESTRING(52.3408570 4.8681430,52.3408790 4.8687070,52.3408800 4.8687430)";4.868448;52.3408615;NA
475;"ROOD";"1. West 3 - D";"OK";"Tussen Bilderdijkkade en Van Reigersbergenstraat, in beide richtingen";"LINESTRING(4.8685260 52.3726020,4.8680140 52.3726500,4.8679450 52.3726480,4.8678790 52.3726310,4.8678420 52.3726070,4.8677850 52.3725430,4.8676690 52.3723740,4.8675830 52.3722100,4.8675820 52.3721550,4.8676020 52.3721100,4.8676660 52.3720040,4.8678660 52.3716420,4.8682240 52.3711230)";"LINESTRING(52.3726020 4.8685260,52.3726500 4.8680140,52.3726480 4.8679450,52.3726310 4.8678790,52.3726070 4.8678420,52.3725430 4.8677850,52.3723740 4.8676690,52.3722100 4.8675830,52.3721550 4.8675820,52.3721100 4.8676020,52.3720040 4.8676660,52.3716420 4.8678660,52.3711230 4.8682240)";4.868059;52.3718795;NA
476;"BLAUW";"1. Zuid 3 - M1";"OK";"Olympiaplein, zuidzijde, tussen Patroclosstraat en Watteaustraat";"LINESTRING(4.8688700 52.3465340,4.8685667 52.3465007,4.8681887 52.3464554,4.8680882 52.3464515,4.8676594 52.3463945,4.8672738 52.3463412)";"LINESTRING(52.3465340 4.8688700,52.3465007 4.8685667,52.3464554 4.8681887,52.3464515 4.8680882,52.3463945 4.8676594,52.3463412 4.8672738)";4.8680769;52.3464306;NA
