OBJECTNUMMER;Locatie;Categorie;Bijschrift;Foto_object;Foto_locatie;Objectcode;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
70;"singelgracht bolwerk Blaauwhoofd";"Aanplemping";"fles, steengoed, Duitsland, 1825-1875";"https://www.archeologischekaart.amsterdam/WatBod/obj/VDI-3-3.jpg";"";"VDI-3-3";"POINT(4.890112,52.389888)";"POINT(52.389888,4.890112)";4.890112;52.389888;
71;"stadsgracht bij Olofspoort";"Voormalige waterbodem";"vetvanger, aardewerk, 1375-1425";"https://www.archeologischekaart.amsterdam/WatBod/obj/OL-18.jpg";"";"OL-18";"POINT(4.899807,52.376165)";"POINT(52.376165,4.899807)";4.899807;52.376165;
72;"IJ";"Aanplemping";"bakpan, aardewerk, productieafval Amsterdam, 1375-1425";"https://www.archeologischekaart.amsterdam/WatBod/obj/PH-22-10.jpg";"";"PH-22-10";"POINT(4.897029,52.377352)";"POINT(52.377352,4.897029)";4.897029;52.377352;
73;"Pesthuissloot";"Aanplemping";"fles, steengoed, Westerwald Duitsland, 1830";"https://www.archeologischekaart.amsterdam/WatBod/obj/WG-16-1.jpg";"";"WG-16-1";"POINT(4.872221,52.364013)";"POINT(52.364013,4.872221)";4.872221;52.364013;
74;"Amstel";"Aanplemping";"schacht van schoen, leer, 1450-1500";"https://www.archeologischekaart.amsterdam/WatBod/obj/NDO1-7-1.jpg";"";"NDO1-7|1";"POINT(4.894598,52.367871)";"POINT(52.367871,4.894598)";4.894598;52.367871;
75;"Damrak";"Waterbodem";"loodjestang, smeedijzer, Amsterdam, 1350-1400";"https://www.archeologischekaart.amsterdam/WatBod/obj/NZD100247MTL002.jpg";"";"NZD100247MTL002";"POINT(4.898406,52.376715)";"POINT(52.376715,4.898406)";4.898406;52.376715;
76;"Damrak";"Voormalige waterbodem";"beeld, pijpaarde, Holland, 1450-1550";"https://www.archeologischekaart.amsterdam/WatBod/obj/NZDAM100007KSC001.jpg";"";"NZDAM100007KSC001";"POINT(4.893684,52.373202)";"POINT(52.373202,4.893684)";4.893684;52.373202;
77;"Rokin";"Voormalige waterbodem";"ketel, koperlegering met ijzer, 1500-1700";"https://www.archeologischekaart.amsterdam/WatBod/obj/NZR200210MTL001.jpg";"";"NZR200210MTL001";"POINT(4.892686,52.37062)";"POINT(52.37062,4.892686)";4.892686;52.37062;
78;"IJ";"Voormalige waterbodem";"stokanker, ijzer, 1850-1880";"https://www.archeologischekaart.amsterdam/WatBod/obj/NZS100011MTL001.jpg";"";"NZS100011MTL001";"POINT(4.899763,52.377894)";"POINT(52.377894,4.899763)";4.899763;52.377894;
79;"Vijzelgracht";"Voormalige waterbodem";"Hollandia duit, koperlegering, 1739";"https://www.archeologischekaart.amsterdam/WatBod/obj/NZV1-4-1.jpg";"";"NZV1-4-1";"POINT(4.891278,52.360995)";"POINT(52.360995,4.891278)";4.891278;52.360995;
