OBJECTNUMMER;Soort;Plantjaar;Stamdiameter;Hoogte;Beplantingssituatie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
27741;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9422061,52.3459517)";"POINT(52.3459517,4.9422061)";4.9422061;52.3459517;
27742;"ULCAMPER";1980;"Onbekend";"0-6 m";"";"POINT(4.9422171,52.3461196)";"POINT(52.3461196,4.9422171)";4.9422171;52.3461196;
27743;"ULHOLLAN";1930;"Onbekend";"18-24 m";"";"POINT(4.942733,52.3442694)";"POINT(52.3442694,4.942733)";4.942733;52.3442694;
27744;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9427488,52.3456923)";"POINT(52.3456923,4.9427488)";4.9427488;52.3456923;
27745;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9428041,52.3454215)";"POINT(52.3454215,4.9428041)";4.9428041;52.3454215;
27746;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9428189,52.3457343)";"POINT(52.3457343,4.9428189)";4.9428189;52.3457343;
27747;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9428751,52.3457762)";"POINT(52.3457762,4.9428751)";4.9428751;52.3457762;
27748;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9429548,52.3453261)";"POINT(52.3453261,4.9429548)";4.9429548;52.3453261;
27749;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9432781,52.3455359)";"POINT(52.3455359,4.9432781)";4.9432781;52.3455359;
27750;"ULCARPIN";1930;"Onbekend";"18-24 m";"";"POINT(4.9433072,52.3450019)";"POINT(52.3450019,4.9433072)";4.9433072;52.3450019;
27751;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.94333,52.3454978)";"POINT(52.3454978,4.94333)";4.94333;52.3454978;
27752;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9433691,52.345452)";"POINT(52.345452,4.9433691)";4.9433691;52.345452;
27753;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9434249,52.3454062)";"POINT(52.3454062,4.9434249)";4.9434249;52.3454062;
27754;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9434678,52.3453604)";"POINT(52.3453604,4.9434678)";4.9434678;52.3453604;
27755;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9437749,52.3452002)";"POINT(52.3452002,4.9437749)";4.9437749;52.3452002;
27756;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9438312,52.3452994)";"POINT(52.3452994,4.9438312)";4.9438312;52.3452994;
27757;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9438698,52.3452193)";"POINT(52.3452193,4.9438698)";4.9438698;52.3452193;
27758;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9439218,52.3451163)";"POINT(52.3451163,4.9439218)";4.9439218;52.3451163;
27759;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9439781,52.345185)";"POINT(52.345185,4.9439781)";4.9439781;52.345185;
27760;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9439928,52.3450667)";"POINT(52.3450667,4.9439928)";4.9439928;52.3450667;
27761;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9440181,52.344689)";"POINT(52.344689,4.9440181)";4.9440181;52.344689;
27762;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.944073,52.3450133)";"POINT(52.3450133,4.944073)";4.944073;52.3450133;
27763;"ULCARPIN";1980;"Onbekend";"9-12 m";"";"POINT(4.9442642,52.3441626)";"POINT(52.3441626,4.9442642)";4.9442642;52.3441626;
27764;"ULCARPIN";2000;"Onbekend";"0-6 m";"";"POINT(4.9453199,52.3590743)";"POINT(52.3590743,4.9453199)";4.9453199;52.3590743;
