OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
84;"CMSA-GAVM-02-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8810553,52.361385)";"POINT(52.361385,4.8810553)";4.8810553;52.361385;
85;"CMSA-GAVM-02-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8810017,52.3614456)";"POINT(52.3614456,4.8810017)";4.8810017;52.3614456;
86;"CMSA-GAVM-03-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8717942,52.3576475)";"POINT(52.3576475,4.8717942)";4.8717942;52.3576475;
87;"CMSA-GAVM-03-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8719337,52.3576868)";"POINT(52.3576868,4.8719337)";4.8719337;52.3576868;
88;"CMSA-GAVM-04-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8617321,52.3556172)";"POINT(52.3556172,4.8617321)";4.8617321;52.3556172;
89;"CMSA-GAVM-04-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8618528,52.3556483)";"POINT(52.3556483,4.8618528)";4.8618528;52.3556483;
90;"CMSA-GAVM-05-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8557625,52.354957)";"POINT(52.354957,4.8557625)";4.8557625;52.354957;
91;"CMSA-GAVM-05-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8557786,52.3549193)";"POINT(52.3549193,4.8557786)";4.8557786;52.3549193;
93;"CMSA-GAAM-01-2";"Corona CMSA";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8933647,52.3554544)";"POINT(52.3554544,4.8933647)";4.8933647;52.3554544;
94;"CMSA-GAAM-01-1";"Corona CMSA";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/";"POINT(4.8931863,52.3554471)";"POINT(52.3554471,4.8931863)";4.8931863;52.3554471;
