OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
70013;"Monumentaaliep";529225;"Ulmus minor `Sarniensis`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1965;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";7;"POINT(4.902956,52.352028)";"POINT(52.352028,4.902956)";4.902956;52.352028;
70014;"Veldesdoorn (cultuurvariëteit)";529224;"Acer campestre `Elsrijk`";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";2;"POINT(4.888931,52.35756)";"POINT(52.35756,4.888931)";4.888931;52.35756;
70015;"Valse acacia (cultuurvariëteit)";529223;"Robinia pseudoacacia `Bessoniana`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Robinia";"Robinia";"K";5;"POINT(4.889042,52.358266)";"POINT(52.358266,4.889042)";4.889042;52.358266;
70016;"Valse acacia (cultuurvariëteit)";529222;"Robinia pseudoacacia `Sandraudiga`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Robinia";"Robinia";"K";5;"POINT(4.888801,52.356784)";"POINT(52.356784,4.888801)";4.888801;52.356784;
70017;"Zweedse meelbes";528982;"Sorbus intermedia";"Boom niet vrij uitgroeiend";"tot 6 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";1;"POINT(4.877911,52.347391)";"POINT(52.347391,4.877911)";4.877911;52.347391;
70018;"Zweedse meelbes";528981;"Sorbus intermedia";"Boom niet vrij uitgroeiend";"tot 6 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";1;"POINT(4.877878,52.34718)";"POINT(52.34718,4.877878)";4.877878;52.34718;
70019;"Meelbes";528979;"Sorbus aria";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";3;"POINT(4.863424,52.345426)";"POINT(52.345426,4.863424)";4.863424;52.345426;
70020;"Meelbes";528978;"Sorbus aria";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";3;"POINT(4.863475,52.34529)";"POINT(52.34529,4.863475)";4.863475;52.34529;
70021;"Wilde lijsterbes (cultuurvariëteit)";528977;"Sorbus aucuparia cv.";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";2;"POINT(4.863522,52.345163)";"POINT(52.345163,4.863522)";4.863522;52.345163;
70022;"Hollandse iep (cultuurvariëteit)";528976;"Ulmus hollandica `Belgica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";7;"POINT(4.863601,52.356016)";"POINT(52.356016,4.863601)";4.863601;52.356016;
70023;"Gewone es";528975;"Fraxinus excelsior";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";5;"POINT(4.857586,52.357008)";"POINT(52.357008,4.857586)";4.857586;52.357008;
70024;"Gewone plataan";528974;"Platanus hispanica";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1940;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";5;"POINT(4.866458,52.358477)";"POINT(52.358477,4.866458)";4.866458;52.358477;
70025;"Huntingdon-iep";528973;"Ulmus hollandica `Vegeta`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1967;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";5;"POINT(4.850687,52.348086)";"POINT(52.348086,4.850687)";4.850687;52.348086;
70026;"Moseik";528972;"Quercus cerris";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";3;"POINT(4.852169,52.341043)";"POINT(52.341043,4.852169)";4.852169;52.341043;
70027;"Moseik";528971;"Quercus cerris";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";3;"POINT(4.852546,52.341092)";"POINT(52.341092,4.852546)";4.852546;52.341092;
70028;"Moseik";528970;"Quercus cerris";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";3;"POINT(4.852726,52.341114)";"POINT(52.341114,4.852726)";4.852726;52.341114;
70029;"Hollandse linde (cultuurvariëteit)";528968;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";3;"POINT(4.856544,52.354321)";"POINT(52.354321,4.856544)";4.856544;52.354321;
70030;"Italiaanse populier";528967;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.858398,52.348476)";"POINT(52.348476,4.858398)";4.858398;52.348476;
70031;"Monumentaaliep";528718;"Ulmus minor `Sarniensis`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";5;"POINT(4.847317,52.354886)";"POINT(52.354886,4.847317)";4.847317;52.354886;
70032;"Gewone vleugelnoot";528717;"Pterocarya fraxinifolia";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Pterocarya";"K";5;"POINT(4.896194,52.357077)";"POINT(52.357077,4.896194)";4.896194;52.357077;
70033;"Hollandse iep (cultuurvariëteit)";528716;"Ulmus hollandica `Belgica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1945;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";7;"POINT(4.895852,52.357908)";"POINT(52.357908,4.895852)";4.895852;52.357908;
70034;"Hollandse iep (cultuurvariëteit)";528715;"Ulmus hollandica `Belgica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1945;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";7;"POINT(4.895417,52.357933)";"POINT(52.357933,4.895417)";4.895417;52.357933;
70035;"Gewone plataan";528714;"Platanus hispanica";"Boom niet vrij uitgroeiend";"Onbekend";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";1;"POINT(4.894878,52.357961)";"POINT(52.357961,4.894878)";4.894878;52.357961;
70036;"Italiaanse populier";528713;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"24 m. en hoger";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";8;"POINT(4.844657,52.345171)";"POINT(52.345171,4.844657)";4.844657;52.345171;
70037;"Italiaanse populier";528712;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"24 m. en hoger";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";8;"POINT(4.844606,52.345145)";"POINT(52.345145,4.844606)";4.844606;52.345145;
70038;"Zomerlinde";528711;"Tilia platyphyllos";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";3;"POINT(4.848554,52.347968)";"POINT(52.347968,4.848554)";4.848554;52.347968;
70039;"Zomerlinde";528710;"Tilia platyphyllos";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";3;"POINT(4.848557,52.347839)";"POINT(52.347839,4.848557)";4.848557;52.347839;
70040;"Zomerlinde";528709;"Tilia platyphyllos";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";3;"POINT(4.84856,52.347717)";"POINT(52.347717,4.84856)";4.84856;52.347717;
70041;"Goudes";528708;"Fraxinus excelsior `Jaspidea`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";3;"POINT(4.88443,52.350058)";"POINT(52.350058,4.88443)";4.88443;52.350058;
70042;"Pluimes";528707;"Fraxinus ornus";"Boom niet vrij uitgroeiend";"Onbekend";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";1;"POINT(4.884729,52.349851)";"POINT(52.349851,4.884729)";4.884729;52.349851;
70043;"Iep (cultuurvariëteit)";528706;"Ulmus `Clusius`";"Boom niet vrij uitgroeiend";"Onbekend";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";1;"POINT(4.885851,52.352008)";"POINT(52.352008,4.885851)";4.885851;52.352008;
70044;"Iep (cultuurvariëteit)";528705;"Ulmus `Clusius`";"Boom niet vrij uitgroeiend";"Onbekend";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";1;"POINT(4.885851,52.351857)";"POINT(52.351857,4.885851)";4.885851;52.351857;
70045;"Iep (cultuurvariëteit)";528704;"Ulmus `Clusius`";"Boom niet vrij uitgroeiend";"Onbekend";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";1;"POINT(4.885855,52.351711)";"POINT(52.351711,4.885855)";4.885855;52.351711;
70046;"Iep (cultuurvariëteit)";528703;"Ulmus `Clusius`";"Boom niet vrij uitgroeiend";"Onbekend";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";1;"POINT(4.885852,52.351547)";"POINT(52.351547,4.885852)";4.885852;52.351547;
70047;"Gewone haagbeuk (cultuurvariëteit)";529477;"Carpinus betulus `Fastigiata`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Carpinus";"Carpinus";"K";3;"POINT(4.877145,52.35032)";"POINT(52.35032,4.877145)";4.877145;52.35032;
70048;"Krimlinde";529476;"Tilia europaea `Euchlora`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.872864,52.344871)";"POINT(52.344871,4.872864)";4.872864;52.344871;
70049;"Huntingdon-iep";529475;"Ulmus hollandica `Vegeta`";"Boom niet vrij uitgroeiend";"Onbekend";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";1;"POINT(4.886559,52.353777)";"POINT(52.353777,4.886559)";4.886559;52.353777;
70050;"Hollandse iep (cultuurvariëteit)";529474;"Ulmus hollandica `Belgica`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1946;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";5;"POINT(4.880549,52.351922)";"POINT(52.351922,4.880549)";4.880549;52.351922;
70051;"Hollandse linde (cultuurvariëteit)";529473;"Tilia europaea `Pallida`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.875499,52.352068)";"POINT(52.352068,4.875499)";4.875499;52.352068;
70052;"Hollandse linde (cultuurvariëteit)";529471;"Tilia europaea `Pallida`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.86235,52.355967)";"POINT(52.355967,4.86235)";4.86235;52.355967;
70053;"Valse acacia (cultuurvariëteit)";529470;"Robinia pseudoacacia `Bessoniana`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Robinia";"Robinia";"K";5;"POINT(4.881138,52.359767)";"POINT(52.359767,4.881138)";4.881138;52.359767;
70054;"Krimlinde";529469;"Tilia europaea `Euchlora`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";4;"POINT(4.880633,52.350104)";"POINT(52.350104,4.880633)";4.880633;52.350104;
70055;"Zilveresdoorn";529468;"Acer saccharinum";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Acer";"Acer";"K";7;"POINT(4.874462,52.349264)";"POINT(52.349264,4.874462)";4.874462;52.349264;
70056;"Krimlinde";529467;"Tilia europaea `Euchlora`";"Boom niet vrij uitgroeiend";"Onbekend";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";1;"POINT(4.882336,52.349433)";"POINT(52.349433,4.882336)";4.882336;52.349433;
70057;"Krimlinde";529466;"Tilia europaea `Euchlora`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";4;"POINT(4.881639,52.349953)";"POINT(52.349953,4.881639)";4.881639;52.349953;
70058;"Boomhazelaar";529465;"Corylus colurna";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Corylus";"K";3;"POINT(4.84856,52.351444)";"POINT(52.351444,4.84856)";4.84856;52.351444;
70059;"Gewone plataan";529464;"Platanus hispanica";"Gekandelaberde boom";"9 tot 12 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";3;"POINT(4.871905,52.35893)";"POINT(52.35893,4.871905)";4.871905;52.35893;
70060;"Gewone plataan";529463;"Platanus hispanica";"Gekandelaberde boom";"15 tot 18 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";5;"POINT(4.90568,52.350004)";"POINT(52.350004,4.90568)";4.90568;52.350004;
70061;"Eenstijlige meidoorn";529462;"Crataegus monogyna";"Boom niet vrij uitgroeiend";"tot 6 m.";1955;"Gemeente Amsterdam";"Stadsdeel Zuid";"Crataegus";"Crataegus";"K";1;"POINT(4.901466,52.349463)";"POINT(52.349463,4.901466)";4.901466;52.349463;
70062;"Valse acacia (cultuurvariëteit)";529221;"Robinia pseudoacacia `Sandraudiga`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Robinia";"Robinia";"K";5;"POINT(4.888743,52.35643)";"POINT(52.35643,4.888743)";4.888743;52.35643;
70063;"Rode meidoorn (cultuurvariëteit)";529220;"Crataegus media `Paul`s Scarlet`";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Crataegus";"Crataegus";"K";2;"POINT(4.898509,52.349084)";"POINT(52.349084,4.898509)";4.898509;52.349084;
70064;"Zoete kers (cultuurvariëteit)";529219;"Prunus avium `Plena`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Prunus";"Prunus";"K";3;"POINT(4.893324,52.353809)";"POINT(52.353809,4.893324)";4.893324;52.353809;
70065;"Monumentaaliep";529218;"Ulmus minor `Sarniensis`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";7;"POINT(4.904549,52.354643)";"POINT(52.354643,4.904549)";4.904549;52.354643;
70066;"Gewone es";529217;"Fraxinus excelsior";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";5;"POINT(4.877841,52.358092)";"POINT(52.358092,4.877841)";4.877841;52.358092;
70067;"Italiaanse populier";529216;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.90601,52.35074)";"POINT(52.35074,4.90601)";4.90601;52.35074;
70068;"Kers";529215;"Prunus schmittii";"Boom niet vrij uitgroeiend";"9 tot 12 m.";2005;"Gemeente Amsterdam";"Stadsdeel Zuid";"Prunus";"Prunus";"K";3;"POINT(4.888333,52.35057)";"POINT(52.35057,4.888333)";4.888333;52.35057;
70069;"Gewone es";529214;"Fraxinus excelsior";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";5;"POINT(4.877652,52.358299)";"POINT(52.358299,4.877652)";4.877652;52.358299;
70070;"Monumentaaliep";529212;"Ulmus minor `Sarniensis`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";7;"POINT(4.881411,52.35535)";"POINT(52.35535,4.881411)";4.881411;52.35535;
70071;"Rode meidoorn (cultuurvariëteit)";529211;"Crataegus media `Paul`s Scarlet`";"Boom niet vrij uitgroeiend";"tot 6 m.";1975;"Gemeente Amsterdam";"Stadsdeel Zuid";"Crataegus";"Crataegus";"K";1;"POINT(4.870128,52.354563)";"POINT(52.354563,4.870128)";4.870128;52.354563;
70072;"Valse acacia (cultuurvariëteit)";529210;"Robinia pseudoacacia `Bessoniana`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Robinia";"Robinia";"K";5;"POINT(4.87112,52.355275)";"POINT(52.355275,4.87112)";4.87112;52.355275;
70073;"Valse acacia (cultuurvariëteit)";529209;"Robinia pseudoacacia `Bessoniana`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1965;"Gemeente Amsterdam";"Stadsdeel Zuid";"Robinia";"Robinia";"K";5;"POINT(4.908209,52.350432)";"POINT(52.350432,4.908209)";4.908209;52.350432;
70074;"Monumentaaliep";529208;"Ulmus minor `Sarniensis`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1946;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";7;"POINT(4.903413,52.350793)";"POINT(52.350793,4.903413)";4.903413;52.350793;
70075;"Rode meidoorn (cultuurvariëteit)";529207;"Crataegus media `Paul`s Scarlet`";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1955;"Gemeente Amsterdam";"Stadsdeel Zuid";"Crataegus";"Crataegus";"K";2;"POINT(4.901798,52.35065)";"POINT(52.35065,4.901798)";4.901798;52.35065;
70076;"Gewone plataan";529206;"Platanus hispanica";"Gekandelaberde boom";"12 tot 15 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";4;"POINT(4.879605,52.359712)";"POINT(52.359712,4.879605)";4.879605;52.359712;
70077;"Italiaanse populier";528966;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.85838,52.348423)";"POINT(52.348423,4.85838)";4.85838;52.348423;
70078;"Italiaanse populier";528965;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.858319,52.34847)";"POINT(52.34847,4.858319)";4.858319;52.34847;
70079;"Italiaanse populier";528964;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.858187,52.348466)";"POINT(52.348466,4.858187)";4.858187;52.348466;
70080;"Italiaanse populier";528963;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.858044,52.348465)";"POINT(52.348465,4.858044)";4.858044;52.348465;
70081;"Italiaanse populier";528962;"Populus nigra `Italica`";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1980;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";7;"POINT(4.857991,52.348413)";"POINT(52.348413,4.857991)";4.857991;52.348413;
70082;"Hollandse linde (cultuurvariëteit)";528961;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1967;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";3;"POINT(4.862194,52.354425)";"POINT(52.354425,4.862194)";4.862194;52.354425;
70083;"Hollandse linde (cultuurvariëteit)";528960;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";4;"POINT(4.863196,52.355417)";"POINT(52.355417,4.863196)";4.863196;52.355417;
70084;"Hollandse linde (cultuurvariëteit)";528959;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1947;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.862825,52.35479)";"POINT(52.35479,4.862825)";4.862825;52.35479;
70085;"Hollandse linde (cultuurvariëteit)";528958;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1947;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.863057,52.354849)";"POINT(52.354849,4.863057)";4.863057;52.354849;
70086;"Hollandse linde (cultuurvariëteit)";528957;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1962;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.863498,52.354964)";"POINT(52.354964,4.863498)";4.863498;52.354964;
70087;"Hollandse linde (cultuurvariëteit)";528956;"Tilia europaea `Zwarte Linde`";"Boom niet vrij uitgroeiend";"12 tot 15 m.";1962;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";4;"POINT(4.864001,52.355143)";"POINT(52.355143,4.864001)";4.864001;52.355143;
70088;"Wilde lijsterbes";528955;"Sorbus aucuparia";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1985;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";2;"POINT(4.868519,52.34693)";"POINT(52.34693,4.868519)";4.868519;52.34693;
70089;"Siberische balsempopulier";528954;"Populus berolinensis";"Boom niet vrij uitgroeiend";"24 m. en hoger";1950;"Gemeente Amsterdam";"Stadsdeel Zuid";"Populus";"Populus";"K";8;"POINT(4.858657,52.357288)";"POINT(52.357288,4.858657)";4.858657;52.357288;
70090;"Gewone plataan";528953;"Platanus hispanica";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";5;"POINT(4.841868,52.342308)";"POINT(52.342308,4.841868)";4.841868;52.342308;
70091;"Gewone plataan";528952;"Platanus hispanica";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1995;"Gemeente Amsterdam";"Stadsdeel Zuid";"Platanus";"Platanus";"K";5;"POINT(4.841851,52.342359)";"POINT(52.342359,4.841851)";4.841851;52.342359;
