OBJECTNUMMER;SELECTIE;Legenda;Bijschrift;Adres;Foto_put;Foto_object;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
235;"VONDST";"Vondsten";"kan, aardewerk, Portugal, 1650-1675";"Kloveniersburgwal 77";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/KLO6.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8979971,52.3695037)";"POINT(52.3695037,4.8979971)";4.8979971;52.3695037;
236;"VONDST";"Vondsten";"schotel, porselein, Arita Japan, 1680-1700";"Kloveniersburgwal 57";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/KLO5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8985379,52.3702551)";"POINT(52.3702551,4.8985379)";4.8985379;52.3702551;
237;"VONDST";"Vondsten";"grape, aardewerk, 1700-1750";"Sint Antoniesbreestraat 67";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/ANT2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9009421,52.3700759)";"POINT(52.3700759,4.9009421)";4.9009421;52.3700759;
238;"VONDST";"Vondsten";"deksel stoof, eikenhout, 1600-1800";"Sint Antoniesbreestraat 63-65 (naast Pintohuis)";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/ANT4.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9009068,52.3702818)";"POINT(52.3702818,4.9009068)";4.9009068;52.3702818;
239;"VONDST";"Vondsten";"lepel, tin, Engeland, 1750-1800";"Sint Antoniesbreestraat 64";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/ANT5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9004438,52.3707663)";"POINT(52.3707663,4.9004438)";4.9004438;52.3707663;
241;"VONDST";"Vondsten";"bord, aardewerk, Nederrijn Duitsland, 1700-1725";"Egelantiersstraat 164";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/EGS2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8809998,52.3764464)";"POINT(52.3764464,4.8809998)";4.8809998;52.3764464;
242;"VONDST";"Vondsten";"beeldje, porselein, China, 1700-1800";"Spuistraat 248";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/SP1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.888922,52.3708541)";"POINT(52.3708541,4.888922)";4.888922;52.3708541;
243;"BEERPUT_VONDST";"Beerput en vondsten";"pispot, faience, Holland, 1660-1680";"Spuistraat 30";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_SP5.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/SP5.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.89277,52.3766257)";"POINT(52.3766257,4.89277)";4.89277;52.3766257;
245;"BEERPUT_VONDST";"Beerputten en vondsten";"fruitkop, aardewerk, 1750-1800";"Elandsstraat 101";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/ELSb1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ELSb1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8808162,52.3703124)";"POINT(52.3703124,4.8808162)";4.8808162;52.3703124;
246;"VONDST";"Vondsten";"lekschaal, faience, Ligurië Italië, 1600-1625";"Zwanenburgwal 13";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/ZWA7.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9008858,52.3691146)";"POINT(52.3691146,4.9008858)";4.9008858;52.3691146;
247;"VONDST";"Vondsten";"kom, aardewerk, Friesland, 1625-1650";"Wolvenstraat 22";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/WOL.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8855789,52.3704268)";"POINT(52.3704268,4.8855789)";4.8855789;52.3704268;
249;"VONDST";"Vondsten";"grape, aardewerk, 1400-1425";"Warmoesstraat 45";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/WA3.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8985159,52.3754317)";"POINT(52.3754317,4.8985159)";4.8985159;52.3754317;
250;"VONDST";"Vondsten";"bord, faience, Portugal, 1620-1630";"Zwanenburgwal 70";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/ZWA.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8988759,52.3684775)";"POINT(52.3684775,4.8988759)";4.8988759;52.3684775;
251;"BEERPUT_VONDST";"Beerput en vondsten";"komfoor, aardewerk, 1700-1750";"Rozenstraat 194";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_RO23.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/RO23.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8778632,52.3720557)";"POINT(52.3720557,4.8778632)";4.8778632;52.3720557;
252;"VONDST";"Vondsten";"pop, elzenhout, 1750-1800";"Rozenstraat 64";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/RO20.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8812449,52.3729674)";"POINT(52.3729674,4.8812449)";4.8812449;52.3729674;
253;"VONDST";"Vondsten";"kelkglas, krijtglas, 1750-1775";"Rozenstraat 58";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/RO17.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.88149,52.3729979)";"POINT(52.3729979,4.88149)";4.88149;52.3729979;
254;"VONDST";"Vondsten";"kom, aardewerk, Ligurië Italië, 1575-1600";"Reestraat 7";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/REE.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8842561,52.3722693)";"POINT(52.3722693,4.8842561)";4.8842561;52.3722693;
255;"BEERPUT_VONDST";"Beerputten";"lepel, zilver, 1850-1900";"Noordermarkt 48";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_NOK1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/NOK1.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8862169,52.3797347)";"POINT(52.3797347,4.8862169)";4.8862169;52.3797347;
256;"BEERPUT_VONDST";"Beerput en vondsten";"lepel, been, 1750-1800";"Noordermarkt 45";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/bp_NOK.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/NOK.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8865521,52.3794715)";"POINT(52.3794715,4.8865521)";4.8865521;52.3794715;
