OBJECTNUMMER;SELECTIE;Legenda;Bijschrift;Adres;Foto_put;Foto_object;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
356;"VONDST";"Vondsten";"pijpfoedraal, hout en pijpaarde, 1702-1725";"Zwanenburgwal 50";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ZWA2.jpg";"http://www.amsterdam.nl/kunst-cultuur-sport/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8993628,52.3689162)";"POINT(52.3689162,4.8993628)";4.8993628;52.3689162;
357;"VONDST";"Vondsten";"beeld, pijpaarde, 1450-1500";"Oudezijds Armsteeg 12";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ARMb1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8992102,52.3754889)";"POINT(52.3754889,4.8992102)";4.8992102;52.3754889;
358;"VONDST";"Vondsten";"kan, aardewerk, 1450-1500";"Oudezijds Armsteeg 14";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ARMb3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.899296,52.3754775)";"POINT(52.3754775,4.899296)";4.899296;52.3754775;
359;"BEERPUT_VONDST";"Beerputten en vondsten";"voetschaal, aardewerk, sgrafitto decor, 1475-1525";"Oudezijds Armsteeg 20";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/ARMb4.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ARMb4.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8993819,52.3754889)";"POINT(52.3754889,4.8993819)";4.8993819;52.3754889;
360;"VONDST";"Vondsten";"penning, tin/lood, Engeland, 1779";"Oudezijds Armsteeg 20";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ARMb5.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8993552,52.3754584)";"POINT(52.3754584,4.8993552)";4.8993552;52.3754584;
361;"VONDST";"Vondsten";"test, aardewerk, 1675-1750";"Elandsstraat 103";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ELSb2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8807828,52.3702818)";"POINT(52.3702818,4.8807828)";4.8807828;52.3702818;
362;"BEERPUT_VONDST";"Beerputten en vondsten";"flessen, porselein, Japan, 1840-1860";"Elandsstraat 103";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/ELSb3.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/ELSb3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.880748,52.3702818)";"POINT(52.3702818,4.880748)";4.880748;52.3702818;
363;"BEERPUT_VONDST";"Beerputten en vondsten";"kan, aardewerk, 1625-1675";"Grote Houtstraat 15";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8842032,52.3850066)";"POINT(52.3850066,4.8842032)";4.8842032;52.3850066;
364;"BEERPUT_VONDST";"Beerputten en vondsten";"lepel, tin, Engeland, 1625-1650";"Grote Houtstraat 17";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb2.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8841379,52.3850447)";"POINT(52.3850447,4.8841379)";4.8841379;52.3850447;
365;"BEERPUT_VONDST";"Beerputten en vondsten";"kom, faience, Holland, 1750-1775";"Haarlemmerplein 30";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb3.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8840568,52.3850142)";"POINT(52.3850142,4.8840568)";4.8840568;52.3850142;
366;"BEERPUT_VONDST";"Beerputten en vondsten";"Admiraliteitspenning, lood, Amsterdam, 1656";"Haarlemmerplein 28";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb5.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb5.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8841121,52.3849532)";"POINT(52.3849532,4.8841121)";4.8841121;52.3849532;
367;"BEERPUT_VONDST";"Beerputten en vondsten";"bord, aardewerk, Saintonge Frankrijk, 1575-1600";"Haarlemmerplein 26";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb6.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb6.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8841331,52.384915)";"POINT(52.384915,4.8841331)";4.8841331;52.384915;
368;"BEERPUT";"Beerputten";"beerput";"Haarlemmerplein 30";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb4.jpg";"";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8840878,52.3849951)";"POINT(52.3849951,4.8840878)";4.8840878;52.3849951;
369;"BEERPUT_VONDST";"Beerputten en vondsten";"monstersteker, koperlegering, 1625-1675";"Haarlemmerplein 24";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb7.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb7.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8841789,52.3848883)";"POINT(52.3848883,4.8841789)";4.8841789;52.3848883;
370;"BEERPUT_VONDST";"Beerputten en vondsten";"gebrandschilderd glas, 1625-1675";"Haarlemmerplein 22";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb8.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb8.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8842161,52.3848731)";"POINT(52.3848731,4.8842161)";4.8842161;52.3848731;
371;"BEERPUT";"Beerputten";"beerput";"Haarlemmerplein 22";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb9.jpg";"";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8842428,52.384854)";"POINT(52.384854,4.8842428)";4.8842428;52.384854;
372;"BEERPUT_VONDST";"Beerputten en vondsten";"pasglas, Waldglas, 1625-1675";"Haarlemmerplein 18";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb10.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb10.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8843772,52.384812)";"POINT(52.384812,4.8843772)";4.8843772;52.384812;
373;"BEERPUT_VONDST";"Beerputten en vondsten";"kandelaar, faience, Delft, 1700-1750";"Haarlemmerplein 20";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/HAPb11.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/HAPb11.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8843081,52.3848578)";"POINT(52.3848578,4.8843081)";4.8843081;52.3848578;
374;"BEERPUT_VONDST";"Beerputten en vondsten";"kelderflessen, Waldglas, 1600-1700";"Konijnenstraat 5";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/KONb5.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KONb5.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.881746,52.3713004)";"POINT(52.3713004,4.881746)";4.881746;52.3713004;
375;"BEERPUT_VONDST";"Beerputten en vondsten";"zoutvat, faience, 1650-1700";"Konijnenstraat 7";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/KONb4.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KONb4.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8817918,52.3712355)";"POINT(52.3712355,4.8817918)";4.8817918;52.3712355;
376;"BEERPUT_VONDST";"Beerputten en vondsten";"berkemeier, Waldglas, 1600-1650";"Konijnenstraat 9";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/KONb2.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KONb2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.88184,52.3711554)";"POINT(52.3711554,4.88184)";4.88184;52.3711554;
377;"VONDST";"Vondsten";"albarello, majolica, Holland, 1600-1625";"Konijnenstraat 13";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KONb1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8818638,52.3711287)";"POINT(52.3711287,4.8818638)";4.8818638;52.3711287;
378;"BEERPUT_VONDST";"Beerputten en vondsten";"kaarsendover, geelkoper, 1725-1750";"Oostenburgermiddenstraat 24";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/OBMb1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OBMb1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.92362,52.3690154)";"POINT(52.3690154,4.92362)";4.92362;52.3690154;
379;"BEERPUT_VONDST";"Beerputten en vondsten";"theepot, creamware Engeland, 1690-1700";"Oostenburgermiddenstraat 22";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/OBMb2.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OBMb2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9235432,52.368981)";"POINT(52.368981,4.9235432)";4.9235432;52.368981;
380;"BEERPUT_VONDST";"Beerputten en vondsten";"bekerglas, kalkglas Bohemen, 1750-1775";"Oostenburgermiddenstraat 26";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/OBMb3.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OBMb3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9237039,52.3690459)";"POINT(52.3690459,4.9237039)";4.9237039;52.3690459;
381;"VONDST";"Vondsten";"bordje, faience, Holland, 1750-1775";"Oostenburgermiddenstraat 20";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OBMb4.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.9234679,52.3689047)";"POINT(52.3689047,4.9234679)";4.9234679;52.3689047;
382;"VONDST";"Vondsten";"kan, steengoed, Raeren België, 1525-1575";"Pieter Jacobszstraat 34-36";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OZV7b1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8946369,52.3715293)";"POINT(52.3715293,4.8946369)";4.8946369;52.3715293;
383;"VONDST";"Vondsten";"broodpenning, lood, Amsterdam, 1550-1600";"Pieter Jacobszstraat 34-36";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OZV7b2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.894613,52.3715636)";"POINT(52.3715636,4.894613)";4.894613;52.3715636;
384;"VONDST";"Vondsten";"Isabé pijp, pijpaarde, Gouda, 1800-1850";"Pieter Jacobszstraat 42";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OZV7b3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8947709,52.3715293)";"POINT(52.3715293,4.8947709)";4.8947709;52.3715293;
385;"VONDST";"Vondsten";"grape, aardewerk, 1500-1550";"Pieter Jacobszstraat 44";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OZV7b7.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8948572,52.3715216)";"POINT(52.3715216,4.8948572)";4.8948572;52.3715216;
386;"VONDST";"Vondsten";"zoutvat, industrieel,  1750-1800";"Pieter Jacobszstraat 44";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/OZV7b8.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8949048,52.3715521)";"POINT(52.3715521,4.8949048)";4.8949048;52.3715521;
387;"BEERPUT_VONDST";"Beerputten en vondsten";"schenkfles, Waldglas, 1675-1700";"Eerste Rozendwarsstraat 9";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/RO22b1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO22b1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8809168,52.3729521)";"POINT(52.3729521,4.8809168)";4.8809168;52.3729521;
388;"BEERPUT";"Beerputten";"beerput";"Rozenstraat 74";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/RO22b2.jpg";"";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8809922,52.372956)";"POINT(52.372956,4.8809922)";4.8809922;52.372956;
389;"BEERPUT_VONDST";"Beerputten en vondsten";"kan, steengoed, Westerwald Duitsland, 1625-1650";"Rozenstraat 74";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/RO22b3.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/RO22b3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8810332,52.3729292)";"POINT(52.3729292,4.8810332)";4.8810332;52.3729292;
390;"VONDST";"Vondsten";"vuurstolp, aardewerk, Holland, 1625-1650";"Taanstraat 9";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TAANb2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8893902,52.3875968)";"POINT(52.3875968,4.8893902)";4.8893902;52.3875968;
391;"VONDST";"Vondsten";"Ducaton Philips IV, zilver, Spanje, 1656";"Taanstraat 10";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TAANb1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8893259,52.3875968)";"POINT(52.3875968,4.8893259)";4.8893259;52.3875968;
392;"VONDST";"Vondsten";"papkom, faience, Italië, 1610-1650";"Taanstraat 15";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/TAANb3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8890421,52.3875815)";"POINT(52.3875815,4.8890421)";4.8890421;52.3875815;
393;"VONDST";"Vondsten";"zalfpot, faience, 1650-1675";"Suikerbakkerssteeg";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/GEERb1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8934319,52.3755576)";"POINT(52.3755576,4.8934319)";4.8934319;52.3755576;
394;"VONDST";"Vondsten";"kom, porselein, China, 1700-1750";"Suikerbakkerssteeg";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/GEERb2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8933408,52.3754508)";"POINT(52.3754508,4.8933408)";4.8933408;52.3754508;
395;"VONDST";"Vondsten";"wandtegel, aardewerk,1625-1650";"Kalverstraat 218";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KAb2.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8922498,52.3674018)";"POINT(52.3674018,4.8922498)";4.8922498;52.3674018;
396;"VONDST";"Vondsten";"bord, majolica, 1590-1625";"Kalverstraat/ eerste klooster";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KAb6.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.891979,52.3672377)";"POINT(52.3672377,4.891979)";4.891979;52.3672377;
397;"BEERPUT_VONDST";"Beerputten en vondsten";"kandelaar, koperlegering, 1375-1400";"Nieuwe Nieuwstraat 8";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/NDK2b7.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NDK2b7.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8944061,52.3754508)";"POINT(52.3754508,4.8944061)";4.8944061;52.3754508;
398;"VONDST";"Vondsten";"drinkglas, beschilderd, 1575-1600";"Nieuwendijk 158";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NDK2b3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8944461,52.3754851)";"POINT(52.3754851,4.8944461)";4.8944461;52.3754851;
399;"VONDST";"Vondsten";"bakpan, aardewerk, 1550-1575";"Nieuwe Nieuwstraat 4";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NDK2b8.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.894511,52.3753897)";"POINT(52.3753897,4.894511)";4.894511;52.3753897;
400;"VONDST";"Vondsten";"kan, steengoed, Raeren België, 1490-1525";"Dirk van Hasseltssteeg 12";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8946211,52.3758971)";"POINT(52.3758971,4.8946211)";4.8946211;52.3758971;
401;"VONDST";"Vondsten";"bord, porselein, China, 1700-1750";"Dirk van Hasseltssteeg 8";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8947632,52.3759085)";"POINT(52.3759085,4.8947632)";4.8947632;52.3759085;
402;"VONDST";"Vondsten";"vetvanger, aardewerk, 1425-1475";"Dirk van Hasseltssteeg 6";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b4.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8948252,52.3759467)";"POINT(52.3759467,4.8948252)";4.8948252;52.3759467;
403;"VONDST";"Vondsten";"grape, aardewerk, 1425-1450";"Dirk van Hasseltssteeg 8";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b5.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8947852,52.3759467)";"POINT(52.3759467,4.8947852)";4.8947852;52.3759467;
404;"VONDST";"Vondsten";"pelgrimsinsigne, tin, Amersfoort, 1375-1400";"Dirk van Hasseltssteeg 14";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b9.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8944971,52.3758933)";"POINT(52.3758933,4.8944971)";4.8944971;52.3758933;
405;"VONDST";"Vondsten";"grape, aardewerk, 1390-1425";"Dirk van Hasseltssteeg 14";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b8.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.894521,52.3759276)";"POINT(52.3759276,4.894521)";4.894521;52.3759276;
406;"VONDST";"Vondsten";"tol, hout van Spaanse Aak, 1600-1700";"Dirk van Hasseltssteeg 14";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b6.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8945591,52.3759314)";"POINT(52.3759314,4.8945591)";4.8945591;52.3759314;
407;"VONDST";"Vondsten";"grape, aardewerk, 1375-1400";"Nieuwezijds Kolk 15";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b7.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8945162,52.3759734)";"POINT(52.3759734,4.8945162)";4.8945162;52.3759734;
408;"VONDST";"Vondsten";"klootdolk, ijzer en hout, 1425-1500";"Nieuwezijds Kolk 15";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b10.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.894572,52.3759734)";"POINT(52.3759734,4.894572)";4.894572;52.3759734;
409;"VONDST";"Vondsten";"burijn, hout en ijzer, 1600-1675";"Nieuwendijk 152";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b11.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8947332,52.3756453)";"POINT(52.3756453,4.8947332)";4.8947332;52.3756453;
410;"VONDST";"Vondsten";"bakpan, aardewerk, 1350-1375";"Nieuwendijk 152";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/NZK5b12.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8947442,52.3756758)";"POINT(52.3756758,4.8947442)";4.8947442;52.3756758;
411;"BEERPUT_VONDST";"Beerputten en vondsten";"kokosnoot, bewerkt en gedateerd 10-06-1752";"Prins Hendrikkade 34";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/PHb1.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb1.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8970621,52.3774878)";"POINT(52.3774878,4.8970621)";4.8970621;52.3774878;
412;"VONDST";"Vondsten";"snotneus, latoenkoper, 1700-1750";"Hasselaerssteeg";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb12.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.897053,52.3772818)";"POINT(52.3772818,4.897053)";4.897053;52.3772818;
414;"VONDST";"Vondsten";"aardewerk, po, 1700-1750";"Hasselaerssteeg";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/KONb4.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8969572,52.377175)";"POINT(52.377175,4.8969572)";4.8969572;52.377175;
416;"VONDST";"Vondsten";"drinkuit, aardewerk met riet, 1375-1425";"Prins Hendrikkade 35";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb8.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8970382,52.3774344)";"POINT(52.3774344,4.8970382)";4.8970382;52.3774344;
418;"VONDST";"Vondsten";"knijpbril, koper en glas, 1825-1850";"Prins Hendrikkade 34";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb6.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8972199,52.3775603)";"POINT(52.3775603,4.8972199)";4.8972199;52.3775603;
419;"VONDST";"Vondsten";"beurs, geitenleer, 1475-1500";"Prins Hendrikkade 36";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb11.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8970158,52.3773543)";"POINT(52.3773543,4.8970158)";4.8970158;52.3773543;
420;"BEERPUT_VONDST";"Beerputten en vondsten";"bord, majolica, Spanje, 1450-1475";"Prins Hendrikkade 35";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/PHb3.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb3.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.89693,52.3773657)";"POINT(52.3773657,4.89693)";4.89693;52.3773657;
421;"VONDST";"Vondsten";"po, aardewerk, 1450-1475";"Prins Hendrikkade 35";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb9.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8968818,52.3773657)";"POINT(52.3773657,4.8968818)";4.8968818;52.3773657;
422;"BEERPUT_VONDST";"Beerputten en vondsten";"komeetbeker, glas, 1650-1675";"Prins Hendrikkade 36";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/PHb4.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb4.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8968818,52.3773123)";"POINT(52.3773123,4.8968818)";4.8968818;52.3773123;
423;"BEERPUT_VONDST";"Beerputten en vondsten";"bord, aardewerk, Amsterdam, 1375-1425";"Prins Hendrikkade 36";"http://www.mapsbma.nl/beerputten/foto/BP_stad/put/nw/PHb5.jpg";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb5.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.8969219,52.3773276)";"POINT(52.3773276,4.8969219)";4.8969219;52.3773276;
424;"VONDST";"Vondsten";"kan, steengoed, Raeren België, 1490-1525";"Nieuwendijk 67";"";"http://www.mapsbma.nl/beerputten/foto/BP_stad/obj/nw/PHb10.jpg";"http://www.amsterdam.nl/kunstencultuur/monumenten/archeologie-0/archeologische-18/?reload=true";"POINT(4.896837,52.3772971)";"POINT(52.3772971,4.896837)";4.896837;52.3772971;
