OBJECTNUMMER;Stemlocatie;Opgeroepenen;Blanco;Ongeldig;Geldig;Opkomstpercentage;Grootste_partij;Grootste_aantal;Grootste_percentage;Tweede_partij;Tweede_aantal;Tweede_percentage;_1__VVD;_2__PvdA;_3__PVV;_4__SP;_5__CDA;_6__D66;_7__ChristenUnie;_8__GroenLinks;_9__SGP;_10__Partij_voor_de_Dieren;_11__50PLUS;_12__OndernemersPartij;_13__VoorNederland;_14__DENK;_15__NIEUWE_WEGEN;_16__Forum_voor_Democratie;_17__De_Burger_Beweging;_18__Vrijzinnige_Partij;_19__GeenPeil;_20__Piratenpartij;_21__Artikel_1;_22__Niet_Stemmers;_23__Libertarische_Partij;_24__Lokaal_in_de_Kamer;_Overig_totaal;__1__VVD;__2__PvdA;__3__PVV;__4__SP;__5__CDA;__6__D66;__7__ChristenUnie;__8__GroenLinks;__9__SGP;__10__Partij_voor_de_Dieren;__11__50PLUS;__12__OndernemersPartij;__13__VoorNederland;__14__DENK;__15__NIEUWE_WEGEN;__16__Forum_voor_Democratie;__17__De_Burger_Beweging;__18__Vrijzinnige_Partij;__19__GeenPeil;__20__Piratenpartij;__21__Artikel_1;__22__Niet_Stemmers;__23__Libertarische_Partij;__24__Lokaal_in_de_Kamer;__Overig_totaal;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
527;"Molen van Sloten";953;1;1;997;104.8;"VVD";0;25;"D66";0;17.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;5.2;12.3;4;5.8;17.8;1.1;12.5;0.2;6.9;4.8;0.2;0.3;0.6;0.4;1.6;0;0;0.1;0.5;0.3;0.2;0.1;0;2.0;"POINT(4.7922132,52.3415534)";"POINT(52.3415534,4.7922132)";4.7922132;52.3415534;
528;"Montessori College Oost";1379;0;6;687;50.3;"GroenLinks";0;26.5;"D66";0;21.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.6;7.7;3.6;5.1;2.3;21.8;2.2;26.5;0.3;7.1;0.6;0;0;6.4;0;0.6;0;0;0.6;1;3.3;0;0;0.1;2.0;"POINT(4.9298031,52.3580557)";"POINT(52.3580557,4.9298031)";4.9298031;52.3580557;
529;"Montessorischool Steigereiland";1523;3;11;1372;91.0;"D66";0;22.7;"GroenLinks";0;21.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;8.3;2.8;5.6;2.8;22.7;1.6;21.2;0;6.1;0.7;0.1;0.2;5.2;0.1;1.5;0.2;0.1;0;0.5;3;0.1;0;0;1.4;"POINT(4.9822099,52.3609778)";"POINT(52.3609778,4.9822099)";4.9822099;52.3609778;
530;"Muiderkerk";1376;3;14;1361;100.1;"GroenLinks";0;30.3;"D66";0;22.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6.2;3.1;5.4;1;22.6;1.2;30.3;0;8.3;1.3;0.1;0.1;3.8;0;1.4;0;0;0.1;1;2;0;0;0;1.2;"POINT(4.9244211,52.3616835)";"POINT(52.3616835,4.9244211)";4.9244211;52.3616835;
531;"Multicultureel Centrum";1359;5;13;1132;84.6;"GroenLinks";0;22.2;"DENK";0;21.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.8;7.4;5.4;5.6;1.6;15.1;1;22.2;0.2;6.3;0.4;0.1;0.1;21.7;0.1;0.7;0.2;0;0.1;0.6;3.6;0;0;0;1.3;"POINT(4.9171412,52.3532492)";"POINT(52.3532492,4.9171412)";4.9171412;52.3532492;
532;"Multifunctioneel Centrum Binnenhof";2683;2;16;2571;96.5;"VVD";0;28.9;"D66";0;17.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.9;7.9;9.1;5.5;4.3;17.9;1.6;12;0.4;4.4;3;0.4;0.2;1;0;1.8;0.1;0;0;0.3;0.9;0.3;0;0;1.6;"POINT(4.8782351,52.3323027)";"POINT(52.3323027,4.8782351)";4.8782351;52.3323027;
533;"Munduscollege";1293;1;11;760;59.7;"GroenLinks";0;15.3;"DENK";0;13.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.3;7.1;11.8;9.1;3.6;12.6;1.7;15.3;0.3;5.7;3.4;0;0.5;13.8;0;1.2;0.1;0.1;0.1;0.7;1.3;0;0;0.3;2.1;"POINT(4.8315561,52.3766142)";"POINT(52.3766142,4.8315561)";4.8315561;52.3766142;
534;"Museum Amsterdam Noord";1167;0;3;610;52.5;"GroenLinks";0;24.6;"D66";0;15.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.2;8.2;10.8;8.9;1.8;15.6;1;24.6;0.2;12.3;2;0;0.2;3.4;0;0.7;0;0.2;0;0.5;0.7;0;0;0;1.0;"POINT(4.9260261,52.3881232)";"POINT(52.3881232,4.9260261)";4.9260261;52.3881232;
535;"Museumwerf `t Kromhout";2679;3;7;1901;71.3;"GroenLinks";0;30.4;"D66";0;19.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.3;13.9;2.5;6.8;1.8;19.5;1;30.4;0.2;8.3;1.1;0;0;0.8;0.1;1.2;0.1;0.2;0;0.8;1.3;0;0;0;1.3;"POINT(4.92045,52.3679663)";"POINT(52.3679663,4.92045)";4.92045;52.3679663;
536;"Muziekschool Noord";1529;4;13;891;59.4;"DENK";0;17.5;"GroenLinks";0;15.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.8;7.3;13.2;7.3;1.8;10.2;2.4;15.6;0.6;4.3;3.4;0.1;0.3;17.5;0;1.5;0;0;0;0.7;3.1;0;0;0;1.7;"POINT(4.9511378,52.3947608)";"POINT(52.3947608,4.9511378)";4.9511378;52.3947608;
