OBJECTNUMMER;SELECTIE;KLASSE;SOORT;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
8390;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842266 52.371276,4.842135 52.37121,4.842129 52.37121,4.842138 52.371273,4.842127 52.37139,4.842133 52.371389,4.842266 52.371276))";"POLYGON((52.371276 4.842266,52.37121 4.842135,52.37121 4.842129,52.371273 4.842138,52.37139 4.842127,52.371389 4.842133,52.371276 4.842266))";4.8422015;52.371293;
8391;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842446 52.357216,4.842437 52.357216,4.842306 52.357284,4.842434 52.357386,4.842441 52.357388,4.842438 52.357304,4.842442 52.357286,4.842438 52.357273,4.842446 52.357216))";"POLYGON((52.357216 4.842446,52.357216 4.842437,52.357284 4.842306,52.357386 4.842434,52.357388 4.842441,52.357304 4.842438,52.357286 4.842442,52.357273 4.842438,52.357216 4.842446))";4.842381;52.357295;
8392;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842696 52.371776,4.842683 52.371768,4.842652 52.371581,4.842622 52.371584,4.842602 52.37168,4.842605 52.371768,4.842612 52.371778,4.842696 52.371776))";"POLYGON((52.371776 4.842696,52.371768 4.842683,52.371581 4.842652,52.371584 4.842622,52.37168 4.842602,52.371768 4.842605,52.371778 4.842612,52.371776 4.842696))";4.842654;52.3716725;
8393;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842593 52.359951,4.842594 52.359868,4.842573 52.359867,4.842485 52.35981,4.842485 52.35989,4.842478 52.35995,4.842492 52.359947,4.842593 52.359951))";"POLYGON((52.359951 4.842593,52.359868 4.842594,52.359867 4.842573,52.35981 4.842485,52.35989 4.842485,52.35995 4.842478,52.359947 4.842492,52.359951 4.842593))";4.842541;52.3598735;
8394;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842389 52.359687,4.842382 52.359687,4.842247 52.359755,4.842373 52.359851,4.84238 52.359852,4.84238 52.359752,4.842389 52.359687))";"POLYGON((52.359687 4.842389,52.359687 4.842382,52.359755 4.842247,52.359851 4.842373,52.359852 4.84238,52.359752 4.84238,52.359687 4.842389))";4.842323;52.3597625;
8395;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842669 52.357197,4.842544 52.357097,4.842535 52.357095,4.84254 52.35718,4.84253 52.357264,4.842539 52.357263,4.842669 52.357197))";"POLYGON((52.357197 4.842669,52.357097 4.842544,52.357095 4.842535,52.35718 4.84254,52.357264 4.84253,52.357263 4.842539,52.357197 4.842669))";4.8426045;52.3571725;
8396;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.848986 52.372844,4.848926 52.372775,4.848865 52.372774,4.848712 52.372744,4.848751 52.372791,4.848861 52.372821,4.848889 52.372836,4.848986 52.372844))";"POLYGON((52.372844 4.848986,52.372775 4.848926,52.372774 4.848865,52.372744 4.848712,52.372791 4.848751,52.372821 4.848861,52.372836 4.848889,52.372844 4.848986))";4.848854;52.372787;
8397;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842377 52.360082,4.842372 52.359981,4.842376 52.359918,4.842366 52.359919,4.842243 52.359979,4.842245 52.359984,4.84237 52.360081,4.842377 52.360082))";"POLYGON((52.360082 4.842377,52.359981 4.842372,52.359918 4.842376,52.359919 4.842366,52.359979 4.842243,52.359984 4.842245,52.360081 4.84237,52.360082 4.842377))";4.842315;52.359993;
8398;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.841845 52.369853,4.841711 52.369972,4.841816 52.370039,4.841826 52.370041,4.841827 52.369975,4.841845 52.369853))";"POLYGON((52.369853 4.841845,52.369972 4.841711,52.370039 4.841816,52.370041 4.841826,52.369975 4.841827,52.369853 4.841845))";4.841783;52.36994;
8399;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.842362 52.373733,4.842331 52.37365,4.842314 52.373563,4.842306 52.373563,4.842211 52.373659,4.842358 52.373734,4.842362 52.373733))";"POLYGON((52.373733 4.842362,52.37365 4.842331,52.373563 4.842314,52.373563 4.842306,52.373659 4.842211,52.373734 4.842358,52.373733 4.842362))";4.8422915;52.3736415;
8400;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.854268 52.405395,4.854252 52.405332,4.854164 52.405314,4.854165 52.405326,4.854138 52.405326,4.854055 52.405429,4.854228 52.405377,4.854233 52.405372,4.854268 52.405395))";"POLYGON((52.405395 4.854268,52.405332 4.854252,52.405314 4.854164,52.405326 4.854165,52.405326 4.854138,52.405429 4.854055,52.405377 4.854228,52.405372 4.854233,52.405395 4.854268))";4.8541665;52.4053645;
8401;70;">70 dB";"WEGTRAM_NIGHT";"POLYGON((4.844751 52.390108,4.844712 52.389863,4.844664 52.389827,4.844672 52.389985,4.844751 52.390108))";"POLYGON((52.390108 4.844751,52.389863 4.844712,52.389827 4.844664,52.389985 4.844672,52.390108 4.844751))";4.8447125;52.3899605;
8402;60;"60-65 dB";"WEGTRAM_NIGHT";"POLYGON((4.836822 52.338143,4.836972 52.338144,4.836972 52.338126,4.836822 52.338143))";"POLYGON((52.338143 4.836822,52.338144 4.836972,52.338126 4.836972,52.338143 4.836822))";4.836902;52.338128;
8403;60;"60-65 dB";"WEGTRAM_NIGHT";"POLYGON((4.836972 52.338126,4.836972 52.338144,4.838668 52.338151,4.838803 52.338135,4.838855 52.338123,4.839173 52.338094,4.839448 52.338098,4.83954 52.338084,4.839886 52.338157,4.840941 52.338162,4.8409 52.338096,4.840856 52.338046,4.840753 52.337945,4.840642 52.337868,4.84052 52.337792,4.840368 52.337745,4.840209 52.337741,4.840096 52.337732,4.839977 52.337741,4.839544 52.337757,4.839489 52.337764,4.839175 52.337808,4.838396 52.337931,4.837986 52.337992,4.837679 52.338035,4.836972 52.338126))";"POLYGON((52.338126 4.836972,52.338144 4.836972,52.338151 4.838668,52.338135 4.838803,52.338123 4.838855,52.338094 4.839173,52.338098 4.839448,52.338084 4.83954,52.338157 4.839886,52.338162 4.840941,52.338096 4.8409,52.338046 4.840856,52.337945 4.840753,52.337868 4.840642,52.337792 4.84052,52.337745 4.840368,52.337741 4.840209,52.337732 4.840096,52.337741 4.839977,52.337757 4.839544,52.337764 4.839489,52.337808 4.839175,52.337931 4.838396,52.337992 4.837986,52.338035 4.837679,52.338126 4.836972))";4.8389615;52.33794;
