OBJECTNUMMER;HYDRO_ID;Afbeelding;Toelichting;Link_URL;PDF;PDF2;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
33;21;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.872228 52.365597,4.867299 52.372272,4.874326 52.380395,4.874045 52.381183,4.880581 52.385239,4.880863 52.38537,4.881139 52.385627,4.881934 52.385502,4.882147 52.385274,4.882079 52.384913,4.880342 52.382373,4.879261 52.382035,4.879609 52.381289,4.875207 52.374543,4.875219 52.373505,4.875021 52.373048,4.87428 52.372504,4.874083 52.372006,4.875472 52.36927,4.876566 52.368445,4.876902 52.367966,4.876982 52.367616,4.877 52.367378,4.877154 52.366882,4.872228 52.365597))";"POLYGON((52.365597 4.872228,52.372272 4.867299,52.380395 4.874326,52.381183 4.874045,52.385239 4.880581,52.38537 4.880863,52.385627 4.881139,52.385502 4.881934,52.385274 4.882147,52.384913 4.882079,52.382373 4.880342,52.382035 4.879261,52.381289 4.879609,52.374543 4.875207,52.373505 4.875219,52.373048 4.875021,52.372504 4.87428,52.372006 4.874083,52.36927 4.875472,52.368445 4.876566,52.367966 4.876902,52.367616 4.876982,52.367378 4.877,52.366882 4.877154,52.365597 4.872228))";4.874728;52.375605;
34;27;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.893506 52.383069,4.893536 52.383038,4.8938 52.383039,4.894685 52.38285,4.895246 52.382592,4.895992 52.382098,4.896431 52.381802,4.896646 52.381684,4.896676 52.381685,4.896779 52.38161,4.896728 52.38153,4.896871 52.381487,4.897265 52.381311,4.904629 52.378632,4.905104 52.378448,4.906053 52.378266,4.906323 52.378287,4.906422 52.378494,4.91018 52.377951,4.910742 52.375967,4.910611 52.375595,4.910209 52.375304,4.909567 52.375157,4.908756 52.375215,4.905534 52.376174,4.905131 52.375924,4.904758 52.376109,4.904958 52.376358,4.903839 52.376705,4.903939 52.37683,4.9036 52.376973,4.903291 52.377302,4.90248 52.37732,4.902278 52.377257,4.901092 52.37748,4.900754 52.377458,4.899807 52.37762,4.89906 52.377865,4.899158 52.378237,4.898883 52.378567,4.898407 52.378814,4.89807 52.378792,4.897935 52.378729,4.897698 52.37879,4.897798 52.378935,4.896336 52.379674,4.896098 52.379797,4.896061 52.380066,4.896633 52.380657,4.896208 52.380839,4.893368 52.38179,4.892782 52.382383,4.89268 52.382481,4.892587 52.382643,4.8935 52.382727,4.893404 52.383056,4.893506 52.383069))";"POLYGON((52.383069 4.893506,52.383038 4.893536,52.383039 4.8938,52.38285 4.894685,52.382592 4.895246,52.382098 4.895992,52.381802 4.896431,52.381684 4.896646,52.381685 4.896676,52.38161 4.896779,52.38153 4.896728,52.381487 4.896871,52.381311 4.897265,52.378632 4.904629,52.378448 4.905104,52.378266 4.906053,52.378287 4.906323,52.378494 4.906422,52.377951 4.91018,52.375967 4.910742,52.375595 4.910611,52.375304 4.910209,52.375157 4.909567,52.375215 4.908756,52.376174 4.905534,52.375924 4.905131,52.376109 4.904758,52.376358 4.904958,52.376705 4.903839,52.37683 4.903939,52.376973 4.9036,52.377302 4.903291,52.37732 4.90248,52.377257 4.902278,52.37748 4.901092,52.377458 4.900754,52.37762 4.899807,52.377865 4.89906,52.378237 4.899158,52.378567 4.898883,52.378814 4.898407,52.378792 4.89807,52.378729 4.897935,52.37879 4.897698,52.378935 4.897798,52.379674 4.896336,52.379797 4.896098,52.380066 4.896061,52.380657 4.896633,52.380839 4.896208,52.38179 4.893368,52.382383 4.892782,52.382481 4.89268,52.382643 4.892587,52.382727 4.8935,52.383056 4.893404,52.383069 4.893506))";4.9016695;52.379106;
35;29;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.909014 52.37277,4.910516 52.372276,4.910806 52.372313,4.912096 52.371735,4.912855 52.371489,4.91274 52.371346,4.912935 52.371276,4.913226 52.371179,4.914176 52.370789,4.915096 52.370152,4.919506 52.368618,4.920082 52.368413,4.923269 52.36735,4.92371 52.367248,4.924453 52.367293,4.924961 52.36717,4.925147 52.366908,4.926215 52.366288,4.921996 52.363724,4.919918 52.363483,4.91937 52.363142,4.918782 52.362595,4.918063 52.362332,4.915984 52.362167,4.913444 52.361507,4.912383 52.361478,4.911536 52.361344,4.910986 52.361108,4.910609 52.360743,4.909675 52.360739,4.908868 52.360814,4.90802 52.360706,4.907598 52.360497,4.907092 52.360131,4.906333 52.359712,4.905104 52.359499,4.901719 52.366294,4.900993 52.366681,4.898818 52.367633,4.900584 52.369122,4.901132 52.36954,4.901279 52.369612,4.901781 52.369946,4.902322 52.370139,4.906383 52.371796,4.906926 52.372,4.907872 52.372468,4.9082 52.372707,4.909014 52.37277))";"POLYGON((52.37277 4.909014,52.372276 4.910516,52.372313 4.910806,52.371735 4.912096,52.371489 4.912855,52.371346 4.91274,52.371276 4.912935,52.371179 4.913226,52.370789 4.914176,52.370152 4.915096,52.368618 4.919506,52.368413 4.920082,52.36735 4.923269,52.367248 4.92371,52.367293 4.924453,52.36717 4.924961,52.366908 4.925147,52.366288 4.926215,52.363724 4.921996,52.363483 4.919918,52.363142 4.91937,52.362595 4.918782,52.362332 4.918063,52.362167 4.915984,52.361507 4.913444,52.361478 4.912383,52.361344 4.911536,52.361108 4.910986,52.360743 4.910609,52.360739 4.909675,52.360814 4.908868,52.360706 4.90802,52.360497 4.907598,52.360131 4.907092,52.359712 4.906333,52.359499 4.905104,52.366294 4.901719,52.366681 4.900993,52.367633 4.898818,52.369122 4.900584,52.36954 4.901132,52.369612 4.901279,52.369946 4.901781,52.370139 4.902322,52.371796 4.906383,52.372 4.906926,52.372468 4.907872,52.372707 4.9082,52.37277 4.909014))";4.9125215;52.3661275;
36;30;"";"";"";"";"";"POLYGON((4.928307 52.373678,4.929458 52.373414,4.930952 52.372841,4.932212 52.371894,4.932593 52.370965,4.93287 52.370387,4.932847 52.369332,4.932483 52.368544,4.931987 52.367383,4.925567 52.367297,4.925263 52.367317,4.924856 52.367493,4.920646 52.368989,4.91496 52.370936,4.914654 52.371335,4.914158 52.371789,4.915019 52.372063,4.914991 52.372463,4.915385 52.37265,4.915596 52.372565,4.916615 52.373168,4.915912 52.373565,4.9144 52.373188,4.913262 52.374982,4.914535 52.375828,4.922497 52.374661,4.92273 52.374648,4.922918 52.37452,4.922783 52.374078,4.923182 52.373879,4.923694 52.373867,4.926075 52.373591,4.927617 52.373283,4.928307 52.373678))";"POLYGON((52.373678 4.928307,52.373414 4.929458,52.372841 4.930952,52.371894 4.932212,52.370965 4.932593,52.370387 4.93287,52.369332 4.932847,52.368544 4.932483,52.367383 4.931987,52.367297 4.925567,52.367317 4.925263,52.367493 4.924856,52.368989 4.920646,52.370936 4.91496,52.371335 4.914654,52.371789 4.914158,52.372063 4.915019,52.372463 4.914991,52.37265 4.915385,52.372565 4.915596,52.373168 4.916615,52.373565 4.915912,52.373188 4.9144,52.374982 4.913262,52.375828 4.914535,52.374661 4.922497,52.374648 4.92273,52.37452 4.922918,52.374078 4.922783,52.373879 4.923182,52.373867 4.923694,52.373591 4.926075,52.373283 4.927617,52.373678 4.928307))";4.923071;52.3715555;
37;36;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.931331 52.366311,4.930987 52.36581,4.930684 52.364977,4.930539 52.363954,4.930711 52.362433,4.930643 52.361457,4.930302 52.360671,4.92969 52.359766,4.928224 52.358737,4.926794 52.358066,4.925014 52.357417,4.919283 52.355778,4.91638 52.354862,4.915647 52.354384,4.914913 52.353929,4.914492 52.353356,4.914072 52.35269,4.913927 52.351903,4.91409 52.351025,4.914684 52.350005,4.915038 52.349483,4.912913 52.34857,4.911014 52.351845,4.908893 52.354047,4.908506 52.353975,4.907562 52.355041,4.90542 52.359217,4.906737 52.359532,4.908125 52.360441,4.908785 52.360539,4.910339 52.360426,4.910804 52.360594,4.911653 52.361145,4.913554 52.361224,4.914912 52.361515,4.916267 52.361948,4.917081 52.361999,4.918053 52.362003,4.91875 52.362124,4.919407 52.362531,4.920059 52.363152,4.921846 52.363349,4.922579 52.363733,4.92671 52.366103,4.92714 52.365891,4.928615 52.366039,4.928807 52.36623,4.931331 52.366311))";"POLYGON((52.366311 4.931331,52.36581 4.930987,52.364977 4.930684,52.363954 4.930539,52.362433 4.930711,52.361457 4.930643,52.360671 4.930302,52.359766 4.92969,52.358737 4.928224,52.358066 4.926794,52.357417 4.925014,52.355778 4.919283,52.354862 4.91638,52.354384 4.915647,52.353929 4.914913,52.353356 4.914492,52.35269 4.914072,52.351903 4.913927,52.351025 4.91409,52.350005 4.914684,52.349483 4.915038,52.34857 4.912913,52.351845 4.911014,52.354047 4.908893,52.353975 4.908506,52.355041 4.907562,52.359217 4.90542,52.359532 4.906737,52.360441 4.908125,52.360539 4.908785,52.360426 4.910339,52.360594 4.910804,52.361145 4.911653,52.361224 4.913554,52.361515 4.914912,52.361948 4.916267,52.361999 4.917081,52.362003 4.918053,52.362124 4.91875,52.362531 4.919407,52.363152 4.920059,52.363349 4.921846,52.363733 4.922579,52.366103 4.92671,52.365891 4.92714,52.366039 4.928615,52.36623 4.928807,52.366311 4.931331))";4.9183805;52.3574335;
38;46;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.931159 52.360956,4.931508 52.360957,4.931746 52.360578,4.93202 52.36027,4.932767 52.359416,4.933862 52.358731,4.934836 52.358355,4.936679 52.35759,4.93081 52.356337,4.929908 52.356127,4.928532 52.355563,4.915357 52.349638,4.914518 52.350937,4.914281 52.351997,4.91485 52.353259,4.915271 52.353808,4.916659 52.354693,4.925991 52.357441,4.927693 52.358137,4.929044 52.358903,4.9302 52.359835,4.931159 52.360956))";"POLYGON((52.360956 4.931159,52.360957 4.931508,52.360578 4.931746,52.36027 4.93202,52.359416 4.932767,52.358731 4.933862,52.358355 4.934836,52.35759 4.936679,52.356337 4.93081,52.356127 4.929908,52.355563 4.928532,52.349638 4.915357,52.350937 4.914518,52.351997 4.914281,52.353259 4.91485,52.353808 4.915271,52.354693 4.916659,52.357441 4.925991,52.358137 4.927693,52.358903 4.929044,52.359835 4.9302,52.360956 4.931159))";4.925485;52.3552905;
39;35;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.932031 52.36629,4.933352 52.366295,4.933471 52.366034,4.944851 52.366148,4.946366 52.366173,4.947336 52.366061,4.947879 52.365642,4.947624 52.36511,4.947357 52.364624,4.94724 52.364207,4.946786 52.363016,4.946358 52.363063,4.946204 52.362942,4.946555 52.362825,4.946361 52.362824,4.944149 52.362436,4.944386 52.362103,4.945783 52.362323,4.944656 52.358419,4.941313 52.358621,4.940692 52.358619,4.937476 52.357916,4.935955 52.358481,4.93373 52.359614,4.93267 52.360751,4.932158 52.361487,4.931323 52.363243,4.931232 52.364575,4.931688 52.365599,4.932031 52.36629))";"POLYGON((52.36629 4.932031,52.366295 4.933352,52.366034 4.933471,52.366148 4.944851,52.366173 4.946366,52.366061 4.947336,52.365642 4.947879,52.36511 4.947624,52.364624 4.947357,52.364207 4.94724,52.363016 4.946786,52.363063 4.946358,52.362942 4.946204,52.362825 4.946555,52.362824 4.946361,52.362436 4.944149,52.362103 4.944386,52.362323 4.945783,52.358419 4.944656,52.358621 4.941313,52.358619 4.940692,52.357916 4.937476,52.358481 4.935955,52.359614 4.93373,52.360751 4.93267,52.361487 4.932158,52.363243 4.931323,52.364575 4.931232,52.365599 4.931688,52.36629 4.932031))";4.9395605;52.3620985;
40;47;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.937868 52.357633,4.940581 52.358166,4.94225 52.358148,4.959462 52.357451,4.960163 52.357429,4.964998 52.35533,4.96316 52.352494,4.962502 52.352397,4.961883 52.352085,4.961264 52.351845,4.961034 52.351535,4.960765 52.351226,4.960809 52.350631,4.960697 52.35025,4.960625 52.349632,4.960203 52.349083,4.955135 52.351252,4.954041 52.351962,4.953261 52.352245,4.952366 52.35236,4.95182 52.352667,4.951156 52.353092,4.950881 52.353448,4.950174 52.354135,4.94842 52.354842,4.948341 52.355008,4.943466 52.357035,4.942572 52.35708,4.94067 52.357025,4.939542 52.357116,4.937868 52.357633))";"POLYGON((52.357633 4.937868,52.358166 4.940581,52.358148 4.94225,52.357451 4.959462,52.357429 4.960163,52.35533 4.964998,52.352494 4.96316,52.352397 4.962502,52.352085 4.961883,52.351845 4.961264,52.351535 4.961034,52.351226 4.960765,52.350631 4.960809,52.35025 4.960697,52.349632 4.960625,52.349083 4.960203,52.351252 4.955135,52.351962 4.954041,52.352245 4.953261,52.35236 4.952366,52.352667 4.95182,52.353092 4.951156,52.353448 4.950881,52.354135 4.950174,52.354842 4.94842,52.355008 4.948341,52.357035 4.943466,52.35708 4.942572,52.357025 4.94067,52.357116 4.939542,52.357633 4.937868))";4.951438;52.3536175;
41;43;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.915276 52.349127,4.916576 52.347349,4.918355 52.344383,4.919031 52.342721,4.918257 52.342552,4.917479 52.342668,4.916042 52.342757,4.914983 52.343751,4.914711 52.343822,4.913997 52.34515,4.91446 52.345461,4.914572 52.345866,4.913383 52.34824,4.915276 52.349127))";"POLYGON((52.349127 4.915276,52.347349 4.916576,52.344383 4.918355,52.342721 4.919031,52.342552 4.918257,52.342668 4.917479,52.342757 4.916042,52.343751 4.914983,52.343822 4.914711,52.34515 4.913997,52.345461 4.91446,52.345866 4.914572,52.34824 4.913383,52.349127 4.915276))";4.916212;52.3458325;
42;45;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.948909 52.352568,4.944988 52.350138,4.946223 52.349361,4.941671 52.346752,4.940345 52.347569,4.932955 52.343204,4.927687 52.346727,4.925458 52.348335,4.924209 52.348829,4.922799 52.348928,4.919476 52.348478,4.917072 52.348111,4.916011 52.349415,4.930002 52.355866,4.937324 52.357488,4.948909 52.352568))";"POLYGON((52.352568 4.948909,52.350138 4.944988,52.349361 4.946223,52.346752 4.941671,52.347569 4.940345,52.343204 4.932955,52.346727 4.927687,52.348335 4.925458,52.348829 4.924209,52.348928 4.922799,52.348478 4.919476,52.348111 4.917072,52.349415 4.916011,52.355866 4.930002,52.357488 4.937324,52.352568 4.948909))";4.932465;52.350339;
43;44;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.9173 52.347849,4.919169 52.348144,4.921768 52.348463,4.922849 52.348567,4.924033 52.348435,4.92491 52.348078,4.935551 52.340859,4.939227 52.338257,4.941373 52.337196,4.941065 52.337004,4.929085 52.339241,4.926861 52.340255,4.920386 52.343131,4.919534 52.342937,4.918893 52.344813,4.917145 52.347777,4.9173 52.347849))";"POLYGON((52.347849 4.9173,52.348144 4.919169,52.348463 4.921768,52.348567 4.922849,52.348435 4.924033,52.348078 4.92491,52.340859 4.935551,52.338257 4.939227,52.337196 4.941373,52.337004 4.941065,52.339241 4.929085,52.340255 4.926861,52.343131 4.920386,52.342937 4.919534,52.344813 4.918893,52.347777 4.917145,52.347849 4.9173))";4.929264;52.3427785;
44;42;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.922319 52.333296,4.921989 52.333205,4.915682 52.331326,4.9146 52.330822,4.913436 52.330613,4.913388 52.330691,4.913228 52.331095,4.913062 52.332117,4.912519 52.335658,4.912359 52.336085,4.911808 52.336844,4.910241 52.338289,4.910317 52.338455,4.911013 52.338624,4.911516 52.338769,4.911904 52.3387,4.912665 52.339082,4.913749 52.339371,4.914791 52.339899,4.915058 52.340304,4.916761 52.340763,4.917843 52.341338,4.918537 52.341744,4.918726 52.342316,4.91923 52.342365,4.919588 52.341511,4.920577 52.339779,4.92325 52.336579,4.923528 52.336081,4.923534 52.335438,4.923424 52.334749,4.923083 52.33401,4.922584 52.333461,4.922319 52.333296))";"POLYGON((52.333296 4.922319,52.333205 4.921989,52.331326 4.915682,52.330822 4.9146,52.330613 4.913436,52.330691 4.913388,52.331095 4.913228,52.332117 4.913062,52.335658 4.912519,52.336085 4.912359,52.336844 4.911808,52.338289 4.910241,52.338455 4.910317,52.338624 4.911013,52.338769 4.911516,52.3387 4.911904,52.339082 4.912665,52.339371 4.913749,52.339899 4.914791,52.340304 4.915058,52.340763 4.916761,52.341338 4.917843,52.341744 4.918537,52.342316 4.918726,52.342365 4.91923,52.341511 4.919588,52.339779 4.920577,52.336579 4.92325,52.336081 4.923528,52.335438 4.923534,52.334749 4.923424,52.33401 4.923083,52.333461 4.922584,52.333296 4.922319))";4.9168925;52.336482;
45;56;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.938826 52.336966,4.938725 52.336575,4.93807 52.336026,4.936138 52.335091,4.936096 52.335062,4.935933 52.335059,4.928294 52.332444,4.92579 52.335288,4.925592 52.3354,4.921468 52.339996,4.920875 52.340969,4.920325 52.34168,4.920245 52.34187,4.919849 52.342558,4.920353 52.342584,4.921404 52.342303,4.927178 52.339638,4.927414 52.339377,4.928349 52.339096,4.928701 52.338835,4.928973 52.338742,4.929521 52.338363,4.929868 52.338626,4.935079 52.337647,4.938826 52.336966))";"POLYGON((52.336966 4.938826,52.336575 4.938725,52.336026 4.93807,52.335091 4.936138,52.335062 4.936096,52.335059 4.935933,52.332444 4.928294,52.335288 4.92579,52.3354 4.925592,52.339996 4.921468,52.340969 4.920875,52.34168 4.920325,52.34187 4.920245,52.342558 4.919849,52.342584 4.920353,52.342303 4.921404,52.339638 4.927178,52.339377 4.927414,52.339096 4.928349,52.338835 4.928701,52.338742 4.928973,52.338363 4.929521,52.338626 4.929868,52.337647 4.935079,52.336966 4.938826))";4.9293425;52.337507;
46;51;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.956838 52.323603,4.971149 52.308031,4.956184 52.303007,4.945046 52.315284,4.950421 52.317016,4.950458 52.317302,4.947712 52.320335,4.94771 52.320478,4.947825 52.320574,4.956838 52.323603))";"POLYGON((52.323603 4.956838,52.308031 4.971149,52.303007 4.956184,52.315284 4.945046,52.317016 4.950421,52.317302 4.950458,52.320335 4.947712,52.320478 4.94771,52.320574 4.947825,52.323603 4.956838))";4.9581025;52.313298;
47;50;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.986254 52.329015,4.988644 52.327685,4.989377 52.327122,4.99021 52.326145,4.990705 52.325106,4.990953 52.324423,4.991789 52.323296,4.992427 52.322288,4.993262 52.321221,4.99434 52.319946,4.995273 52.31876,4.996301 52.317545,4.990456 52.31485,4.983544 52.31233,4.983253 52.312234,4.971506 52.308217,4.957341 52.323747,4.96678 52.327063,4.967438 52.327279,4.967787 52.327256,4.969113 52.326548,4.969504 52.32624,4.969894 52.326004,4.970167 52.326005,4.970514 52.326197,4.970707 52.326286,4.971384 52.326467,4.97283 52.327453,4.97442 52.328737,4.974902 52.329005,4.975243 52.328947,4.977798 52.33065,4.98076 52.330393,4.982167 52.330338,4.983429 52.330283,4.984695 52.329871,4.986254 52.329015))";"POLYGON((52.329015 4.986254,52.327685 4.988644,52.327122 4.989377,52.326145 4.99021,52.325106 4.990705,52.324423 4.990953,52.323296 4.991789,52.322288 4.992427,52.321221 4.993262,52.319946 4.99434,52.31876 4.995273,52.317545 4.996301,52.31485 4.990456,52.31233 4.983544,52.312234 4.983253,52.308217 4.971506,52.323747 4.957341,52.327063 4.96678,52.327279 4.967438,52.327256 4.967787,52.326548 4.969113,52.32624 4.969504,52.326004 4.969894,52.326005 4.970167,52.326197 4.970514,52.326286 4.970707,52.326467 4.971384,52.327453 4.97283,52.328737 4.97442,52.329005 4.974902,52.328947 4.975243,52.33065 4.977798,52.330393 4.98076,52.330338 4.982167,52.330283 4.983429,52.329871 4.984695,52.329015 4.986254))";4.976826;52.3194265;
48;49;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"MULTIPOLYGON(((4.990061 52.363854,4.987824 52.362206,4.987354 52.362537,4.985116 52.360936,4.985858 52.36044,4.987079 52.35977,4.987508 52.359605,4.992074 52.361571,4.996362 52.359683,5.008457 52.353278,5.014257 52.347137,5.009108 52.345313,5.004118 52.3477,4.999043 52.350774,4.99939 52.351037,4.999 52.351273,4.998651 52.351106,4.990184 52.355644,4.989448 52.355451,4.986951 52.356774,4.986746 52.357963,4.987289 52.357988,4.988773 52.35716,4.989431 52.357281,4.989742 52.357378,4.989781 52.357425,4.988219 52.358229,4.988293 52.358657,4.986498 52.359579,4.985433 52.3602,4.984732 52.360436,4.980476 52.358662,4.979653 52.359444,4.979885 52.359611,4.978435 52.360938,4.977119 52.36041,4.976257 52.361215,4.975446 52.36088,4.974739 52.361567,4.975089 52.361687,4.974658 52.362042,4.977513 52.364002,4.977747 52.363932,4.978559 52.364458,4.980862 52.363157,4.985041 52.364836,4.984495 52.365191,4.984842 52.365453,4.990061 52.363854)),((5.007135 52.344526,5.005242 52.344329,5.003761 52.345019,4.999681 52.34628,4.998701 52.348218,5.005088 52.345974,5.007135 52.344526)),((4.992833 52.353615,4.997673 52.350825,4.99752 52.350491,4.996818 52.350869,4.996508 52.350797,4.9921 52.35297,4.989561 52.354578,4.99022 52.354819,4.992833 52.353615)))";"MULTIPOLYGON(((52.363854 4.990061,52.362206 4.987824,52.362537 4.987354,52.360936 4.985116,52.36044 4.985858,52.35977 4.987079,52.359605 4.987508,52.361571 4.992074,52.359683 4.996362,52.353278 5.008457,52.347137 5.014257,52.345313 5.009108,52.3477 5.004118,52.350774 4.999043,52.351037 4.99939,52.351273 4.999,52.351106 4.998651,52.355644 4.990184,52.355451 4.989448,52.356774 4.986951,52.357963 4.986746,52.357988 4.987289,52.35716 4.988773,52.357281 4.989431,52.357378 4.989742,52.357425 4.989781,52.358229 4.988219,52.358657 4.988293,52.359579 4.986498,52.3602 4.985433,52.360436 4.984732,52.358662 4.980476,52.359444 4.979653,52.359611 4.979885,52.360938 4.978435,52.36041 4.977119,52.361215 4.976257,52.36088 4.975446,52.361567 4.974739,52.361687 4.975089,52.362042 4.974658,52.364002 4.977513,52.363932 4.977747,52.364458 4.978559,52.363157 4.980862,52.364836 4.985041,52.365191 4.984495,52.365453 4.984842,52.363854 4.990061)),((52.344526 5.007135,52.344329 5.005242,52.345019 5.003761,52.34628 4.999681,52.348218 4.998701,52.345974 5.005088,52.344526 5.007135)),((52.353615 4.992833,52.350825 4.997673,52.350491 4.99752,52.350869 4.996818,52.350797 4.996508,52.35297 4.9921,52.354578 4.989561,52.354819 4.99022,52.353615 4.992833)))";4.9944625;52.354884;
49;26;"";"Oplossingenkaart nog niet beschikbaar.";"";"";"";"POLYGON((4.8897650 52.3671030,4.8877060 52.3685770,4.8883140 52.3722400,4.8890390 52.3746260,4.8892700 52.3748060,4.8938280 52.3789620,4.8941170 52.3792130,4.8944630 52.3796070,4.8946350 52.3798580,4.8943930 52.3805700,4.8918790 52.3813090,4.8897100 52.3823690,4.8871320 52.3836080,4.8838460 52.3855200,4.8830850 52.3858010,4.8806790 52.3820820,4.8799240 52.3818650,4.8803380 52.3813310,4.8759290 52.3744640,4.8757030 52.3738210,4.8754230 52.3727140,4.8747280 52.3723540,4.8747350 52.3718200,4.8756850 52.3702540,4.8758630 52.3699340,4.8771030 52.3685130,4.8773410 52.3680850,4.8774850 52.3674520,4.8777630 52.3668740,4.8780570 52.3666260,4.8785270 52.3663430,4.8789390 52.3660240,4.8795310 52.3652410,4.8797670 52.3648860,4.8795380 52.3645990,4.8797170 52.3642430,4.8800680 52.3640670,4.8807690 52.3638910,4.8812970 52.3635720,4.8817090 52.3631820,4.8819530 52.3622910,4.8824210 52.3620790,4.8840530 52.3619430,4.8847560 52.3617320,4.8879770 52.3601760,4.8892650 52.3590220,4.8901240 52.3586420,4.8910360 52.3585060,4.8915210 52.3584490,4.8947270 52.3582540,4.8965730 52.3581730,4.8981750 52.3581500,4.8994370 52.3582440,4.9019560 52.3587600,4.9039900 52.3591850,4.9003720 52.3659460,4.9007100 52.3661270,4.9003660 52.3665110,4.8990980 52.3670410,4.8971050 52.3672110,4.8960390 52.3670880,4.8944830 52.3671410,4.8938280 52.3672010,4.8934100 52.3668840,4.8922730 52.3667930,4.8897650 52.3671030))";"POLYGON((52.3671030 4.8897650,52.3685770 4.8877060,52.3722400 4.8883140,52.3746260 4.8890390,52.3748060 4.8892700,52.3789620 4.8938280,52.3792130 4.8941170,52.3796070 4.8944630,52.3798580 4.8946350,52.3805700 4.8943930,52.3813090 4.8918790,52.3823690 4.8897100,52.3836080 4.8871320,52.3855200 4.8838460,52.3858010 4.8830850,52.3820820 4.8806790,52.3818650 4.8799240,52.3813310 4.8803380,52.3744640 4.8759290,52.3738210 4.8757030,52.3727140 4.8754230,52.3723540 4.8747280,52.3718200 4.8747350,52.3702540 4.8756850,52.3699340 4.8758630,52.3685130 4.8771030,52.3680850 4.8773410,52.3674520 4.8774850,52.3668740 4.8777630,52.3666260 4.8780570,52.3663430 4.8785270,52.3660240 4.8789390,52.3652410 4.8795310,52.3648860 4.8797670,52.3645990 4.8795380,52.3642430 4.8797170,52.3640670 4.8800680,52.3638910 4.8807690,52.3635720 4.8812970,52.3631820 4.8817090,52.3622910 4.8819530,52.3620790 4.8824210,52.3619430 4.8840530,52.3617320 4.8847560,52.3601760 4.8879770,52.3590220 4.8892650,52.3586420 4.8901240,52.3585060 4.8910360,52.3584490 4.8915210,52.3582540 4.8947270,52.3581730 4.8965730,52.3581500 4.8981750,52.3582440 4.8994370,52.3587600 4.9019560,52.3591850 4.9039900,52.3659460 4.9003720,52.3661270 4.9007100,52.3665110 4.9003660,52.3670410 4.8990980,52.3672110 4.8971050,52.3670880 4.8960390,52.3671410 4.8944830,52.3672010 4.8938280,52.3668840 4.8934100,52.3667930 4.8922730,52.3671030 4.8897650))";4.889364;52.3719685;
