OBJECTNUMMER;Nummer;Naam;Beschrijving;Prioriteit;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
53;"26";"Afrikahaven";"Ruigoordweg loopt af vanaf kruispunt met Oceanenweg. Er is hier een dip in het maaiveld.";"Urgent";"POLYGON((4.756179 52.41257,4.763859 52.413942,4.764142 52.413183,4.76003 52.412424,4.761233 52.409862,4.76244 52.40975,4.763383 52.409017,4.764496 52.407287,4.765301 52.405389,4.759869 52.4046,4.758531 52.408468,4.757056 52.408223,4.756032 52.411904,4.756179 52.41257))";"POLYGON((52.41257 4.756179,52.413942 4.763859,52.413183 4.764142,52.412424 4.76003,52.409862 4.761233,52.40975 4.76244,52.409017 4.763383,52.407287 4.764496,52.405389 4.765301,52.4046 4.759869,52.408468 4.758531,52.408223 4.757056,52.411904 4.756032,52.41257 4.756179))";4.7606715;52.409264;
54;"23";"Gebied rond A5 Westrandweg Noord";"Laaggelegen Basisweg. Water blokkeert ontsluitingsroute Westelijk Havengebied. Kruispunt Basisweg / Radarweg staat blank. Ook water tegen de gevel bij industrie tussen de Rhoneweg en Basisweg.";"Extreem urgent";"POLYGON((4.817509 52.392054,4.819397 52.392106,4.819389 52.392609,4.820516 52.392602,4.820482 52.392174,4.822521 52.392163,4.822529 52.391564,4.830504 52.391587,4.835005 52.391622,4.834977 52.392409,4.835031 52.393264,4.836944 52.393258,4.836916 52.392763,4.837751 52.39205,4.837876 52.391407,4.839245 52.39143,4.839398 52.386924,4.837999 52.386918,4.83769 52.388426,4.837729 52.389937,4.837679 52.39084,4.836183 52.39081,4.834212 52.389908,4.828427 52.389894,4.822152 52.389978,4.820425 52.390042,4.820367 52.39104,4.818244 52.391087,4.813393 52.391878,4.810731 52.393105,4.808266 52.394588,4.807201 52.394239,4.806087 52.395151,4.808315 52.396019,4.809168 52.395067,4.81076 52.394054,4.813137 52.392846,4.815605 52.392127,4.817509 52.392054))";"POLYGON((52.392054 4.817509,52.392106 4.819397,52.392609 4.819389,52.392602 4.820516,52.392174 4.820482,52.392163 4.822521,52.391564 4.822529,52.391587 4.830504,52.391622 4.835005,52.392409 4.834977,52.393264 4.835031,52.393258 4.836944,52.392763 4.836916,52.39205 4.837751,52.391407 4.837876,52.39143 4.839245,52.386924 4.839398,52.386918 4.837999,52.388426 4.83769,52.389937 4.837729,52.39084 4.837679,52.39081 4.836183,52.389908 4.834212,52.389894 4.828427,52.389978 4.822152,52.390042 4.820425,52.39104 4.820367,52.391087 4.818244,52.391878 4.813393,52.393105 4.810731,52.394588 4.808266,52.394239 4.807201,52.395151 4.806087,52.396019 4.808315,52.395067 4.809168,52.394054 4.81076,52.392846 4.813137,52.392127 4.815605,52.392054 4.817509))";4.8227475;52.3914615;
55;"27";"Sloterdijk III";"Nader te bepalen.";"Urgent";"POLYGON((4.776217 52.391324,4.778782 52.391362,4.780841 52.391371,4.783522 52.39148,4.78351 52.392396,4.784634 52.392604,4.789985 52.39256,4.794184 52.392498,4.794345 52.390549,4.794304 52.389221,4.776309 52.389237,4.776217 52.391324))";"POLYGON((52.391324 4.776217,52.391362 4.778782,52.391371 4.780841,52.39148 4.783522,52.392396 4.78351,52.392604 4.784634,52.39256 4.789985,52.392498 4.794184,52.390549 4.794345,52.389221 4.794304,52.389237 4.776309,52.391324 4.776217))";4.785286;52.3909055;
56;"24";"Westhaven Noord (Westhavenweg)";"Er verzamelt zich veel water bij de Nieuwe Hemweg ter hoogte van de Kombuisweg.";"Urgent";"POLYGON((4.819323 52.419039,4.827582 52.417913,4.826825 52.416329,4.826561 52.414176,4.827595 52.412326,4.829384 52.410657,4.826916 52.4091,4.826868 52.408209,4.825936 52.408121,4.824662 52.41054,4.820928 52.418274,4.819232 52.418587,4.819323 52.419039))";"POLYGON((52.419039 4.819323,52.417913 4.827582,52.416329 4.826825,52.414176 4.826561,52.412326 4.827595,52.410657 4.829384,52.4091 4.826916,52.408209 4.826868,52.408121 4.825936,52.41054 4.824662,52.418274 4.820928,52.418587 4.819232,52.419039 4.819323))";4.824313;52.413573;
57;"25";"Westhaven Noord (Maltaweg)";"Veel water op parkeerterrein Koopman Car Terminal. Slechte ontwatering richting aangrenzende Westhaven.";"Urgent";"POLYGON((4.805477 52.411696,4.807187 52.411752,4.807588 52.410874,4.813622 52.412057,4.818161 52.403634,4.811232 52.402606,4.809647 52.404952,4.803892 52.405019,4.80427 52.408753,4.805477 52.411696))";"POLYGON((52.411696 4.805477,52.411752 4.807187,52.410874 4.807588,52.412057 4.813622,52.403634 4.818161,52.402606 4.811232,52.404952 4.809647,52.405019 4.803892,52.408753 4.80427,52.411696 4.805477))";4.8110315;52.4073245;
58;"31";"Sieg Vaz Diasstraat / Arondeusstraat / Victor Rutgersstraat";"Risico op onderlopen van drive-inwoningen. Het  straatprofiel van de Arondeusstraat, Victor Rutgersstraat en de Burg. Eliasstraat kent weinig tijdelijke waterberging, terwijl in de rest van de omgeving veel openbare ruimte (park, groen) aanwezig is.";"Urgent";"POLYGON((4.824626 52.382245,4.827293 52.382267,4.827262 52.381637,4.826885 52.38066,4.824083 52.381051,4.824626 52.382245))";"POLYGON((52.382245 4.824626,52.382267 4.827293,52.381637 4.827262,52.38066 4.826885,52.381051 4.824083,52.382245 4.824626))";4.825693;52.3814565;
59;"32";"Burgemeester Fockstraat";"Tussen de Burg. de Vlugtlaan en de Nico Snijdersstraat staat water tegen de gevel, ondanks een enorm breed profiel. Het gebied is echter zeer stenig, ligt vlak en iets lager dan de Burg. de Vlugtlaan. ";"Zeer urgent";"POLYGON((4.832295 52.381589,4.83276 52.381615,4.833291 52.382759,4.833719 52.382677,4.833306 52.381498,4.834398 52.381266,4.833775 52.379717,4.836334 52.379303,4.836167 52.378841,4.831445 52.379552,4.832295 52.381589))";"POLYGON((52.381589 4.832295,52.381615 4.83276,52.382759 4.833291,52.382677 4.833719,52.381498 4.833306,52.381266 4.834398,52.379717 4.833775,52.379303 4.836334,52.378841 4.836167,52.379552 4.831445,52.381589 4.832295))";4.8338945;52.380793;
60;"30";"Jan de Louterstraat / Adolphine Eduard Kokplantsoen";"Jan de Louterstraat ligt iets lager dan omgeving. Hier verzamelt zich veel water, wat ook bij het A. E. Kokplantsoen tegen de gevel staat.";"Urgent";"POLYGON((4.816125 52.380965,4.816088 52.382007,4.81758 52.382007,4.817652 52.381002,4.8177 52.381031,4.817731 52.380239,4.817723 52.379939,4.817128 52.379921,4.817261 52.37963,4.817018 52.3795,4.816676 52.379819,4.816708 52.38002,4.817313 52.380058,4.817311 52.380237,4.816906 52.380327,4.816815 52.380776,4.816337 52.380774,4.815882 52.380786,4.815588 52.380078,4.815378 52.380099,4.815648 52.380778,4.815417 52.380748,4.815379 52.380927,4.816125 52.380965))";"POLYGON((52.380965 4.816125,52.382007 4.816088,52.382007 4.81758,52.381002 4.817652,52.381031 4.8177,52.380239 4.817731,52.379939 4.817723,52.379921 4.817128,52.37963 4.817261,52.3795 4.817018,52.379819 4.816676,52.38002 4.816708,52.380058 4.817313,52.380237 4.817311,52.380327 4.816906,52.380776 4.816815,52.380774 4.816337,52.380786 4.815882,52.380078 4.815588,52.380099 4.815378,52.380778 4.815648,52.380748 4.815417,52.380927 4.815379,52.380965 4.816125))";4.8165595;52.3807465;
61;"29";"Buurt 5, 6, 7, 8 / Burg. Röellstraat en De Savornin Lohmanstraat";"Op een aantal plaatsen water tegen de gevel, verder op veel plaatsen erg veel water op straat.";"Urgent";"POLYGON((4.793206 52.374052,4.794721 52.379874,4.809036 52.38017,4.809069 52.379207,4.813186 52.379239,4.823874 52.377554,4.823083 52.375577,4.822997 52.375309,4.820402 52.375672,4.820252 52.375242,4.819916 52.374135,4.82083 52.373962,4.820587 52.373258,4.818634 52.372512,4.817488 52.372614,4.817047 52.372064,4.816579 52.372252,4.812475 52.372721,4.812207 52.372291,4.793206 52.374052))";"POLYGON((52.374052 4.793206,52.379874 4.794721,52.38017 4.809036,52.379207 4.809069,52.379239 4.813186,52.377554 4.823874,52.375577 4.823083,52.375309 4.822997,52.375672 4.820402,52.375242 4.820252,52.374135 4.819916,52.373962 4.82083,52.373258 4.820587,52.372512 4.818634,52.372614 4.817488,52.372064 4.817047,52.372252 4.816579,52.372721 4.812475,52.372291 4.812207,52.374052 4.793206))";4.808545;52.37611;
62;"34";"Johan Huizingalaan - Pieter Calandlaan";"Weg onbegaanbaar door veel water op straat en bij een aantal winkels staat water tegen de gevel. Niet een heel groot knelpunt.";"Zeer urgent";"POLYGON((4.826584 52.358372,4.827887 52.358401,4.828097 52.356414,4.832928 52.35647,4.832917 52.356131,4.827877 52.356079,4.827877 52.354506,4.826905 52.354466,4.82686 52.356046,4.82456 52.356035,4.824556 52.35632,4.826762 52.356331,4.826584 52.358372))";"POLYGON((52.358372 4.826584,52.358401 4.827887,52.356414 4.828097,52.35647 4.832928,52.356131 4.832917,52.356079 4.827877,52.354506 4.827877,52.354466 4.826905,52.356046 4.82686,52.356035 4.82456,52.35632 4.824556,52.356331 4.826762,52.358372 4.826584))";4.828747;52.3564265;
63;"37";"MC Slotervaart";"Bereikbaarheid via de Johan Huizingalaan is gestremd door water. Sommige gebouwen hebben water tegen de gevel. ";"Zeer urgent";"POLYGON((4.827218 52.351014,4.827683 52.35103,4.827765 52.34735,4.827229 52.347333,4.827218 52.351014))";"POLYGON((52.351014 4.827218,52.35103 4.827683,52.34735 4.827765,52.347333 4.827229,52.351014 4.827218))";4.8274965;52.3491745;
64;"38";"Westlandgrachtbuurt";"Veel water op straat en tegen de gevel tussen de A10-West en de Westlandgracht. Geen maaiveldafstroming naar de gracht. Hemelwaterriool voert af naar de waterpartij langs de Plesmanstraat. Deze ligt lager dan de Westlandgracht, maar de afstand is te ver.";"Urgent";"POLYGON((4.84168 52.348676,4.844299 52.348675,4.844336 52.346848,4.841681 52.34685,4.84168 52.348676))";"POLYGON((52.348676 4.84168,52.348675 4.844299,52.346848 4.844336,52.34685 4.841681,52.348676 4.84168))";4.843013;52.347755;
65;"47";"Frederik Hendrikstraat (tussen H.de Groot- en Van Oldenbarneveldtplein)";"Kruispunt staat blank, over een flinke lengte staat aan beide zijdes van de straat water tegen de winkels en woningen. Centrale trambaan ligt hoger dan de panden (bol profiel richting bebouwing).";"Zeer urgent";"POLYGON((4.874597 52.377927,4.875068 52.377809,4.873206 52.3749,4.873378 52.37472,4.874048 52.374543,4.873841 52.374297,4.87314 52.374436,4.872167 52.374682,4.872242 52.374896,4.872726 52.375005,4.874597 52.377927))";"POLYGON((52.377927 4.874597,52.377809 4.875068,52.3749 4.873206,52.37472 4.873378,52.374543 4.874048,52.374297 4.873841,52.374436 4.87314,52.374682 4.872167,52.374896 4.872242,52.375005 4.872726,52.377927 4.874597))";4.8736225;52.376105;
66;"44";"Bosleeuw Midden";"Leeuwendalersweg staat volledig blank, bij de winkels op de kopse kant van de bouwblokken staat water tegen de gevel (winkelcentrum aan de noordkant). Er zijn veel bergingen op de begane grond (of in souterrains), deze lopen onder. ";"Urgent";"POLYGON((4.845226 52.381908,4.846571 52.38194,4.846493 52.383664,4.84692 52.38363,4.84698 52.381905,4.849154 52.38194,4.849208 52.380389,4.849408 52.380253,4.851737 52.380561,4.85237 52.379576,4.853738 52.380475,4.854366 52.380085,4.852592 52.378983,4.847066 52.377912,4.846331 52.379347,4.845093 52.379195,4.845306 52.380496,4.845226 52.381908))";"POLYGON((52.381908 4.845226,52.38194 4.846571,52.383664 4.846493,52.38363 4.84692,52.381905 4.84698,52.38194 4.849154,52.380389 4.849208,52.380253 4.849408,52.380561 4.851737,52.379576 4.85237,52.380475 4.853738,52.380085 4.854366,52.378983 4.852592,52.377912 4.847066,52.379347 4.846331,52.379195 4.845093,52.380496 4.845306,52.381908 4.845226))";4.8497345;52.380781;
67;"43";"Hoofdweg (tussen Mercatorplein en Postjesweg)";"Er komt hier vooral veel water op straat, maar entrees van de woningen liggen zodanig laag dat daar ook water tegen de voordeur staat.";"Urgent";"POLYGON((4.850818 52.368765,4.852632 52.369019,4.85414 52.365751,4.854262 52.364222,4.852305 52.364213,4.852181 52.365871,4.850818 52.368765))";"POLYGON((52.368765 4.850818,52.369019 4.852632,52.365751 4.85414,52.364222 4.854262,52.364213 4.852305,52.365871 4.852181,52.368765 4.850818))";4.852545;52.366609;
68;"41";"Bellamybuurt";"Polderrioleringsgebied waarin grote hoeveelheid regenwater vanuit de omgeving naar de Bellamystraat toestroomt. Er vinden nu werkzaamheden in de openbare ruimte plaats die dit oppakken.";"Extreem urgent";"POLYGON((4.860903 52.364348,4.860184 52.364569,4.865173 52.369888,4.866274 52.369947,4.868044 52.370341,4.870571 52.366813,4.860903 52.364348))";"POLYGON((52.364348 4.860903,52.364569 4.860184,52.369888 4.865173,52.369947 4.866274,52.370341 4.868044,52.366813 4.870571,52.364348 4.860903))";4.8653825;52.3673375;
69;"39";"Westindische buurt";"Verkeer op de Hoofdweg is gestremd door water op straat en bij een paar panden staat water tegen de gevel. Ook in de Curaçaostraat, Bonairestraat en de Nickeriestraat staat bij enkele panden water tegen de gevel.";"Urgent";"POLYGON((4.855885 52.363577,4.856546 52.363832,4.856895 52.363934,4.857596 52.363997,4.858565 52.363546,4.858289 52.36318,4.857141 52.361889,4.856762 52.36083,4.854471 52.358059,4.853738 52.358335,4.85265 52.358779,4.849269 52.358736,4.849253 52.36007,4.850018 52.360463,4.849911 52.363107,4.855885 52.363577))";"POLYGON((52.363577 4.855885,52.363832 4.856546,52.363934 4.856895,52.363997 4.857596,52.363546 4.858565,52.36318 4.858289,52.361889 4.857141,52.36083 4.856762,52.358059 4.854471,52.358335 4.853738,52.358779 4.85265,52.358736 4.849269,52.36007 4.849253,52.360463 4.850018,52.363107 4.849911,52.363577 4.855885))";4.853914;52.361021;
