OBJECTNUMMER;Volgnummer;Adres;Soort_tuin;Sinds;Oppervlakte_m2;Stadsdeel;Foto;Weblink;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
489;902;"Wibautstraat 125";"Sedumdak";0;700;"Oost";"";"";"SEDUMDAK";"POINT(4.9128613,52.3540849)";"POINT(52.3540849,4.9128613)";4.9128613;52.3540849;
490;906;"Heinzestraat 9";"Sedumdak";2017;375;"Zuid";"";"";"SEDUMDAK";"POINT(4.8770638,52.3526133)";"POINT(52.3526133,4.8770638)";4.8770638;52.3526133;
491;910;"Professor J.H. Gunningstraat ";"Sedumdak";2018;0;"Nieuw-West";"gunnningstr.jpg";"";"SEDUMDAK";"POINT(4.8038986,52.3534781)";"POINT(52.3534781,4.8038986)";4.8038986;52.3534781;
492;911;"Ringdijk";"Sedumdak";2018;45;"Oost";"ringdijk45.jpg";"";"SEDUMDAK";"POINT(4.9235638,52.3525065)";"POINT(52.3525065,4.9235638)";4.9235638;52.3525065;
493;912;"Lijnbaansgracht";"Sedumdak";2018;0;"Centrum";"lijnbaansgracht2.jpg";"";"SEDUMDAK";"POINT(4.8827943,52.3832681)";"POINT(52.3832681,4.8827943)";4.8827943;52.3832681;
494;913;"Waalstraat en Amstelkade";"Sedumdak";2018;0;"Zuid";"Waalstraat-en-Amstelkade.jpg";"";"SEDUMDAK";"POINT(4.9002268,52.3481307)";"POINT(52.3481307,4.9002268)";4.9002268;52.3481307;
495;915;"Van Hallstraat";"Muur";2018;18;"West";"Van_Hallstraat_2018.jpg";"";"MUUR";"POINT(4.8711307,52.3818144)";"POINT(52.3818144,4.8711307)";4.8711307;52.3818144;
496;916;"Keizersgracht";"Muur";2018;300;"Centrum";"Keizersgracht_2018.jpg";"";"MUUR";"POINT(4.8849526,52.36928)";"POINT(52.36928,4.8849526)";4.8849526;52.36928;
497;917;"Nieuwezijdse Voorburgwal";"Muur";2017;36;"Centrum";"NZ-voorburgwal_2017.jpg";"";"MUUR";"POINT(4.8955137,52.3772563)";"POINT(52.3772563,4.8955137)";4.8955137;52.3772563;
498;918;"Nicolaas Maesstraat";"Muur";2017;65;"Zuid";"NicolaasMaesstraat_2017.jpg";"";"MUUR";"POINT(4.8782157,52.3542722)";"POINT(52.3542722,4.8782157)";4.8782157;52.3542722;
499;919;"Keizersgracht";"Muur";2011;17;"Centrum";"keizersgracht_2011.jpg";"";"MUUR";"POINT(4.8888851,52.3642232)";"POINT(52.3642232,4.8888851)";4.8888851;52.3642232;
500;920;"Boeroestraat";"Muur";2018;0;"Oost";"boeroe.jpg";"";"MUUR";"POINT(4.9429786,52.3646612)";"POINT(52.3646612,4.9429786)";4.9429786;52.3646612;
501;921;"Zacharias Jansestraat ";"Solar-sedumdak";2018;55;"Oost";"zj.jpg";"";"SOLARSEDUM";"POINT(4.9280087,52.3527167)";"POINT(52.3527167,4.9280087)";4.9280087;52.3527167;
502;925;"vd Helstplein ";"Solar-sedumdak";2018;54;"Zuid";"";"";"SOLARSEDUM";"POINT(4.8951022,52.351238)";"POINT(52.351238,4.8951022)";4.8951022;52.351238;
503;925;"Binnenkant";"Sedumdak";2018;118;"Centrum";"Binnenkant3.jpg";"";"SEDUMDAK";"POINT(4.9034443,52.3745061)";"POINT(52.3745061,4.9034443)";4.9034443;52.3745061;
504;926;"Binnenkant";"Sedumdak";0;0;"Centrum";"Binnenkant20G.jpg";"";"SEDUMDAK";"POINT(4.9043029,52.3734784)";"POINT(52.3734784,4.9043029)";4.9043029;52.3734784;
505;927;"Oude Schans";"Sedumdak";0;0;"Centrum";"OudeSchans23Z.jpg";"";"SEDUMDAK";"POINT(4.9052149,52.3713885)";"POINT(52.3713885,4.9052149)";4.9052149;52.3713885;
506;928;"Rapenburg";"Solar-sedumdak";0;0;"Centrum";"Rapenburg11.jpg";"";"SOLARSEDUM";"POINT(4.9069238,52.3719299)";"POINT(52.3719299,4.9069238)";4.9069238;52.3719299;
507;929;"Wittenburgergracht";"Solar-sedumdak";0;0;"Centrum";"Wittenburgergracht18.jpg";"";"SOLARSEDUM";"POINT(4.9196044,52.369248)";"POINT(52.369248,4.9196044)";4.9196044;52.369248;
508;930;"Wittenburgergracht";"Sedumdak";0;0;"Centrum";"Wittenburgergracht36.jpg";"";"SEDUMDAK";"POINT(4.924624,52.3675189)";"POINT(52.3675189,4.924624)";4.924624;52.3675189;

