OBJECTNUMMER;Soortnaam_NL;Boomnummer;Soortnaam_WTS;Boomtype;Boomhoogte;Plantjaar;Eigenaar;Beheerder;Categorie;SOORT_KORT;SDVIEW;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
26234;"Wilde lijsterbes";579355;"Sorbus aucuparia";"Boom niet vrij uitgroeiend";"tot 6 m.";1987;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";1;"POINT(4.894715,52.326957)";"POINT(52.326957,4.894715)";4.894715;52.326957;
26235;"Veldiep";579354;"Ulmus minor";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1966;"Gemeente Amsterdam";"Stadsdeel Zuid";"Ulmus";"Ulmus";"K";5;"POINT(4.866791,52.330201)";"POINT(52.330201,4.866791)";4.866791;52.330201;
26236;"Zomereik";580145;"Quercus robur";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1960;"Gemeente Amsterdam";"Stadsdeel Zuid";"Quercus";"Quercus";"K";5;"POINT(4.879212,52.343724)";"POINT(52.343724,4.879212)";4.879212;52.343724;
26237;"Gewone beuk";580144;"Fagus sylvatica";"Boom niet vrij uitgroeiend";"18 tot 24 m.";1938;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Fagus";"K";7;"POINT(4.879175,52.343718)";"POINT(52.343718,4.879175)";4.879175;52.343718;
26238;"Zweedse meelbes";580143;"Sorbus intermedia";"Boom niet vrij uitgroeiend";"6 tot 9 m.";1938;"Gemeente Amsterdam";"Stadsdeel Zuid";"Overig";"Sorbus";"K";2;"POINT(4.881135,52.345558)";"POINT(52.345558,4.881135)";4.881135;52.345558;
26239;"Goudberk (cultuurvariëteit)";580142;"Betula ermanii `Blush`";"Boom niet vrij uitgroeiend";"9 tot 12 m.";1993;"Gemeente Amsterdam";"Stadsdeel Zuid";"Betula";"Betula";"K";3;"POINT(4.884819,52.340586)";"POINT(52.340586,4.884819)";4.884819;52.340586;
26240;"Gewone es";580141;"Fraxinus excelsior";"Boom niet vrij uitgroeiend";"12 tot 18 m.";1990;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";5;"POINT(4.852707,52.334187)";"POINT(52.334187,4.852707)";4.852707;52.334187;
26241;"Hollandse linde (cultuurvariëteit)";580140;"Tilia europaea `Pallida`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1968;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.869364,52.325553)";"POINT(52.325553,4.869364)";4.869364;52.325553;
26242;"Hollandse linde (cultuurvariëteit)";580139;"Tilia europaea `Pallida`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1977;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.876883,52.326879)";"POINT(52.326879,4.876883)";4.876883;52.326879;
26243;"Hollandse linde";580138;"Tilia europaea";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.876897,52.326559)";"POINT(52.326559,4.876897)";4.876897;52.326559;
26244;"Hollandse linde (cultuurvariëteit)";580137;"Tilia europaea `Pallida`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1970;"Gemeente Amsterdam";"Stadsdeel Zuid";"Tilia";"Tilia";"K";5;"POINT(4.876895,52.326442)";"POINT(52.326442,4.876895)";4.876895;52.326442;
26245;"Gewone es (cultuurvariëteit)";580136;"Fraxinus excelsior `Hessei`";"Boom niet vrij uitgroeiend";"15 tot 18 m.";1953;"Gemeente Amsterdam";"Stadsdeel Zuid";"Fraxinus";"Fraxinus";"K";5;"POINT(4.891974,52.322453)";"POINT(52.322453,4.891974)";4.891974;52.322453;
