OBJECTNUMMER;Locatienummer;Soort;Restrictie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
285;285;"Losloopgebied";"";"POLYGON((4.908733 52.339169,4.90871 52.339159,4.908721 52.339147,4.907573 52.338669,4.907254 52.338497,4.906995 52.338324,4.90691 52.338361,4.907055 52.338474,4.907264 52.338612,4.907434 52.338705,4.907577 52.33877,4.908395 52.339101,4.908415 52.339097,4.908443 52.33907,4.908695 52.339171,4.908652 52.339208,4.908675 52.339218,4.908733 52.339169))";"POLYGON((52.339169 4.908733,52.339159 4.90871,52.339147 4.908721,52.338669 4.907573,52.338497 4.907254,52.338324 4.906995,52.338361 4.90691,52.338474 4.907055,52.338612 4.907264,52.338705 4.907434,52.33877 4.907577,52.339101 4.908395,52.339097 4.908415,52.33907 4.908443,52.339171 4.908695,52.339208 4.908652,52.339218 4.908675,52.339169 4.908733))";4.9078265;52.338764;
286;286;"Losloopgebied";"";"POLYGON((4.880315 52.342438,4.879832 52.342417,4.879564 52.342428,4.879244 52.342431,4.879268 52.342466,4.87934 52.342512,4.879413 52.342675,4.879434 52.342691,4.879456 52.342695,4.879555 52.342651,4.879626 52.34263,4.879941 52.342577,4.880105 52.342539,4.880244 52.342489,4.880315 52.342438))";"POLYGON((52.342438 4.880315,52.342417 4.879832,52.342428 4.879564,52.342431 4.879244,52.342466 4.879268,52.342512 4.87934,52.342675 4.879413,52.342691 4.879434,52.342695 4.879456,52.342651 4.879555,52.34263 4.879626,52.342577 4.879941,52.342539 4.880105,52.342489 4.880244,52.342438 4.880315))";4.8797845;52.342549;
288;288;"Losloopgebied";"";"POLYGON((4.860422 52.342397,4.860421 52.342285,4.860413 52.342285,4.860412 52.342311,4.860255 52.342311,4.860257 52.34229,4.860037 52.342319,4.859856 52.342332,4.859436 52.342332,4.859106 52.342306,4.8585 52.34222,4.85809 52.34215,4.85795 52.342198,4.85863 52.34229,4.858637 52.34227,4.858855 52.342298,4.858848 52.342321,4.859432 52.342396,4.859711 52.342407,4.860422 52.342397))";"POLYGON((52.342397 4.860422,52.342285 4.860421,52.342285 4.860413,52.342311 4.860412,52.342311 4.860255,52.34229 4.860257,52.342319 4.860037,52.342332 4.859856,52.342332 4.859436,52.342306 4.859106,52.34222 4.8585,52.34215 4.85809,52.342198 4.85795,52.34229 4.85863,52.34227 4.858637,52.342298 4.858855,52.342321 4.858848,52.342396 4.859432,52.342407 4.859711,52.342397 4.860422))";4.859191;52.3422715;
290;290;"Losloopgebied";"";"POLYGON((4.88248 52.345052,4.882386 52.345009,4.882354 52.344981,4.882273 52.344933,4.882249 52.344927,4.882143 52.344947,4.881733 52.344993,4.881621 52.345036,4.881569 52.34507,4.881557 52.345068,4.881459 52.345198,4.881388 52.34525,4.881259 52.345314,4.88125 52.345338,4.881312 52.345378,4.88153 52.345485,4.881554 52.345493,4.881604 52.345491,4.881593 52.345425,4.881522 52.345371,4.881617 52.345207,4.881819 52.34506,4.881848 52.345057,4.881875 52.345229,4.881959 52.345233,4.881929 52.34505,4.881939 52.345031,4.881964 52.345015,4.882 52.345007,4.882251 52.344993,4.882438 52.345085,4.88248 52.345052))";"POLYGON((52.345052 4.88248,52.345009 4.882386,52.344981 4.882354,52.344933 4.882273,52.344927 4.882249,52.344947 4.882143,52.344993 4.881733,52.345036 4.881621,52.34507 4.881569,52.345068 4.881557,52.345198 4.881459,52.34525 4.881388,52.345314 4.881259,52.345338 4.88125,52.345378 4.881312,52.345485 4.88153,52.345493 4.881554,52.345491 4.881604,52.345425 4.881593,52.345371 4.881522,52.345207 4.881617,52.34506 4.881819,52.345057 4.881848,52.345229 4.881875,52.345233 4.881959,52.34505 4.881929,52.345031 4.881939,52.345015 4.881964,52.345007 4.882,52.344993 4.882251,52.345085 4.882438,52.345052 4.88248))";4.88187;52.345203;
291;291;"Losloopgebied";"";"POLYGON((4.880428 52.342323,4.880426 52.342312,4.879983 52.342235,4.87973 52.342242,4.87929 52.342276,4.879259 52.342297,4.879226 52.342356,4.879229 52.342396,4.879557 52.342394,4.879874 52.342381,4.880343 52.342405,4.880372 52.342358,4.880428 52.342323))";"POLYGON((52.342323 4.880428,52.342312 4.880426,52.342235 4.879983,52.342242 4.87973,52.342276 4.87929,52.342297 4.879259,52.342356 4.879226,52.342396 4.879229,52.342394 4.879557,52.342381 4.879874,52.342405 4.880343,52.342358 4.880372,52.342323 4.880428))";4.879832;52.342313;
294;294;"Losloopgebied";"";"POLYGON((4.905155 52.34007,4.905136 52.34006,4.903616 52.340129,4.903616 52.340137,4.903612 52.34013,4.90204 52.340202,4.902043 52.340243,4.903258 52.340196,4.90509 52.340112,4.905134 52.340099,4.905155 52.34007))";"POLYGON((52.34007 4.905155,52.34006 4.905136,52.340129 4.903616,52.340137 4.903616,52.34013 4.903612,52.340202 4.90204,52.340243 4.902043,52.340196 4.903258,52.340112 4.90509,52.340099 4.905134,52.34007 4.905155))";4.9036025;52.3401445;
298;298;"Losloopgebied";"";"POLYGON((4.897726 52.346864,4.897705 52.346737,4.89652 52.346797,4.896526 52.346826,4.896578 52.346822,4.896588 52.346892,4.896534 52.346895,4.896538 52.346924,4.897726 52.346864))";"POLYGON((52.346864 4.897726,52.346737 4.897705,52.346797 4.89652,52.346826 4.896526,52.346822 4.896578,52.346892 4.896588,52.346895 4.896534,52.346924 4.896538,52.346864 4.897726))";4.897128;52.3468235;
299;299;"Losloopgebied";"";"POLYGON((4.843752 52.351829,4.843748 52.351702,4.842611 52.351688,4.842646 52.351824,4.843752 52.351829))";"POLYGON((52.351829 4.843752,52.351702 4.843748,52.351688 4.842611,52.351824 4.842646,52.351829 4.843752))";4.8431865;52.3517515;
301;301;"Losloopgebied";"";"POLYGON((4.896486 52.346925,4.896484 52.346897,4.896429 52.3469,4.89642 52.346831,4.896473 52.346827,4.896469 52.346799,4.895297 52.346858,4.895312 52.346986,4.896486 52.346925))";"POLYGON((52.346925 4.896486,52.346897 4.896484,52.3469 4.896429,52.346831 4.89642,52.346827 4.896473,52.346799 4.896469,52.346858 4.895297,52.346986 4.895312,52.346925 4.896486))";4.8958965;52.3468855;
303;303;"Losloopgebied";"";"POLYGON((4.848419 52.355859,4.84838 52.355828,4.848332 52.355808,4.848278 52.355796,4.847908 52.355794,4.847906 52.355919,4.848225 52.355925,4.848274 52.355932,4.848307 52.355946,4.848342 52.355968,4.848353 52.355993,4.848358 52.356022,4.848347 52.356267,4.848346 52.356528,4.848328 52.356984,4.848327 52.35717,4.848338 52.357195,4.848368 52.357209,4.848388 52.357188,4.848396 52.357049,4.848419 52.355859))";"POLYGON((52.355859 4.848419,52.355828 4.84838,52.355808 4.848332,52.355796 4.848278,52.355794 4.847908,52.355919 4.847906,52.355925 4.848225,52.355932 4.848274,52.355946 4.848307,52.355968 4.848342,52.355993 4.848353,52.356022 4.848358,52.356267 4.848347,52.356528 4.848346,52.356984 4.848328,52.35717 4.848327,52.357195 4.848338,52.357209 4.848368,52.357188 4.848388,52.357049 4.848396,52.355859 4.848419))";4.8481675;52.3564945;
