OBJECTNUMMER;Techniek;Titel_kunstwerk;Kunstenaar;Jaartal;Waardering;Adres_gebouw;Status_gebouw;Bouwjaar;Afbeelding;Kunsthistorische_waarde;Cultuurhistorische_waarde;Architectuurhistorische_waarde;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
37;"Mozaïek";"Amstelstation";"Peter Alma (1886-1969)";1958;"Waardevol";"Julianaplein 1";"Rijksmonument";1939;"";"Het tegeltableau dat het in 1958 gebouwde Marnixbad sierde en na de sloop van het gebouw verplaatst is naar het Amstelstation, is één van de grootste naoorlogse tegeltableaus van Amsterdam. Het heeft een kunsthistorische waarde als een kunstwerk van één van de bekendste figuratief werkende monumentale kunstenaars, Peter Alma. In zijn oeuvre is dit een relatief belangrijk naoorlogs kunstwerk. Alma is een grote naam, die al voor de Tweede Wereldoorlog bekend was door zijn wandschilderingen in de Handelsschool op de P.L. Takstraat en in het Amstelstation (1939). Als kunstenaar is hij in 1904 opgeleid aan de Academie van Beeldende Kunsten in Den Haag en aan de Academie Humbert in Parijs.";"De eerste wandschildering die hij in 1928 in de leeszaal op Coöperatiehof 14 maakte, is overgeschilderd. De tweede maakte hij in Handelsschool op de P.L. Takstraat. In 1939 maakte hij in opdracht van architect Schelling zijn twee beroemdste wandschilderingen in het Amstelstation. Eén van de grootste wandschilderingen die hij maakte bevindt zich in het trappenhuis van de universiteit aan de Oudemanhuispoort. Hij maakte ook wandschilderingen in het gebouw van het Bond van Personeel op Stadhouderskade 68, in het gebouw Ons Huis, Rozenstraat 1955 (weg ). De panelen die hij maakte in het NINT-gebouw, zijn overgebracht zijn naar het Amsterdam Museum. Het gebouw van de PTT met de wandschildering in de Pieter de Hooghstraat is gesloopt, net als het bejaardencentrum op de Jan de Louterstraat met het mozaïek.";"Het tegeltableau heeft op de nieuwe locatie ook een architectuurhistorische waarde als een beeldbepalend kunstwerk. Het wordt door de jaren heen door miljoenen treinreizigers gezien. Het heeft nu een ensemblewaarde met de twee wandschilderingen uit 1939 van Alma in het Amstelstation.";"POINT(4.918234,52.346638)";"POINT(52.346638,4.918234)";4.918234;52.346638;
38;"Glas, anders";"De Opstanding";"Joop van den Broek (1928-1979)";1954;"Waardevol";"Bos en Lommerweg 191";"Gemeentelijk monument";1945;"";"Het geëtste, gezandstraalde, geslepen en gehakte glasraam dat in het voorportaal van Restaurant Het Podium aan de Bos en Lommerweg 291 is geplaatst, is gemaakt door Joop van den Broek. Oorspronkelijk waren er twee ramen maar een is gesneuveld tijdens de verbouwing, vertelde de zoon van de kunstenaar Norbert van den Broek. Het Podium staat in de buurt bekend als het `Theelichtje` en is in 1954 gebouwd als de Gereformeerde Pniëlkerk. De glasramen hadden aanvankelijk een plek in de kerkzaal, zo is te zien op oude foto`s op de site Reliwiki. Dit raam stelt `De Opstanding` voor, volgens een onderschrift bij een foto in de Beeldbank Amsterdam.  Het kunstwerk heeft waarde als een geëtst glasraam van Joop van den Broek. Het heeft waarde als een van zijn eerste, of mogelijk zijn eerste kunstopdracht. In zijn oeuvre heeft het een zeldzaamheidswaarde als een van zijn weinige geëtste ramen. Van den Broek was een van de belangrijkste glazeniers uit de wederopbouwperiode die tal van imposante kunstwerken heeft gemaakt. Veel van zijn ramen heeft hij uitgevoerd in het door hem opgerichte en nog bestaande Atelier 70 in de Oude Looiersstraat. Hij was een inventieve kunstenaar die Abstract Expressionistische glasappliquéramen ontwierp die duidelijk door Cobra en Karel Appel zijn beïnvloed. Hij verwierf meerdere prijzen waaronder de Prix de la Critique voor zijn monumentale oeuvre. Joop van den Broek is opgeleid aan de Academie van Beeldende Kunsten bij professor Willem van den Berg.";"De Amsterdammer Joop van den Broek heeft in de stad een aantal Abstract Expressionistische ramen gemaakt waaronder het glasappliquéraam voor de Westland Utrecht Hypotheekbank, op de hoek van de Amstel en de Sarphatistraat. Het glasappliqué in het NVV-gebouw Plein 40-45 uit 1963 behoort tot de top-kunstwerken van de wederopbouwperiode. Veel van zijn glasappliquéramen zijn inmiddels verwijderd. Aan het exterieur van het trappenhuis van de school Pascal aan Schipluidenlaan 10-12 bevond zich het grootste glaskunstwerk van Amsterdam. Dat is inmiddels verdwenen.";"De Pniëlkerk, gebouwd door architect Berend Boeyinga is geopend in 1954. Het Gereformeerde kerkgebouw was indertijd ook bedoeld voor buurtbijeenkomsten. Het kleurloze raam heeft nu een kwetsbare positie in het voorportaal en heeft daar een minimale beeldende werking.";"POINT(4.854197,52.380143)";"POINT(52.380143,4.854197)";4.854197;52.380143;
39;"Sgraffito";"Vier elementen";"Theo Kurpershoek (1914-1998)";1956;"Top";"Sara Burgerhartstraat 5";"Gemeentelijk monument";1951;"";"In de gang van de eerste H-school, de Prinses Beatrixschool aan Sara Burgerhartstraat 3, is in de muur een vierdelig kunstwerk aanwezig. Het is een intarsia, gevuld met een tweelaagse graffito en mozaïek en is een symbolische voorstelling van de aarde, lucht, vuur en water. Het heeft waarde als een kunstwerk gemaakt door de bekende illustrator, theaterdecor-ontwerper en kunstenaar Theo Kurpershoek. Het heeft waarde als een kunstwerk in een schoolgebouw in de geabstraheerde realistische stijl. In het oeuvre van de kunstenaar heeft het waarde als één van zijn weinige gerealiseerde monumentale kunstwerken. Theo Kurpershoek is in Rotterdam geboren en vertrok op jonge leeftijd naar Amsterdam om de opleiding aan de Grafische School te volgen. Zijn monumentale opleiding heeft hij genoten bij Campendonk aan de Rijksacademie voor Beeldende Kunsten. Kurpershoek was reclametekenaar, illustreerde boeken van de Salamanderreeks, ontwierp theaterdecors en kostuums en postzegels. Vijfentwintig jaar doceerde hij aan de Rietveld Academie en aan de Rijksacademie voor Beeldende Kunsten. Hij stond bekend om zijn vakkundigheid maar ook om cynische, scherpe mening. Kurpershoek was één van de prominente leden van De Realisten.";"In Amsterdam heeft hij in 1952 een wandschildering gemaakt in de Nieuwe Doelen, maar die is verdwenen. In het huis van De Pinto heeft hij een houtintarsia in de houten vloer gemaakt. In het gebouw van Werkspoor maakte hij schildering in de kantine.";"Het vierdelige kunstwerk is beeldbepalend in de gang van deze `eerste H-school` , vermoedelijk gebouwd door Van der Wilk van de Dienst Publieke Werken. De Prinses Beatrixschool uit 1953 is een gemeentelijk monument.";"POINT(4.847691,52.382531)";"POINT(52.382531,4.847691)";4.847691;52.382531;
40;"Glas, anders";"Gereformeerde Maranathakerk";"Jan Ooms (1915-1975)";1952;"Behoudenswaard";"Mosplein 40";"Geen monument";1952;"";"In de voormalige Gereformeerde Maranathakerk op het Mosplein 40 zijn glas-in-loodramen aanwezig van Jan Ooms. Ze hebben waarde als kunstwerken van deze lokaal bekende kunstenaar. Omdat hij in 1957 naar Amerika is geëmigreerd is er, op twee kranteninterviews na, verder weinig over de kunstenaar te vinden. Binnen zijn werk hebben de ramen vermoedelijk een waarde als een van zijn belangrijkste Nederlandse opdrachten. Ze worden in het standaardboek `Glas-in-lood in Nederland 1918-1968` beoordeeld als het hoogtepunt in zijn oeuvre. Na zijn opleiding aan de Arnhemse Academie Kunstoefening, studeerde Ooms aan de Rijksacademie van Beeldende Kunsten en werkte een periode op het Glasatelier van Willem Bogtman in Haarlem.";"De glas-in-loodramen die Ooms in 1952 voor het gebouw van de Nederlandse Christelijke Grafische Bond aan het Valeriusplein maakte, zijn of waren een symbolische voorstelling van het doel van de Bond. Het is niet bekend of deze ramen nog aanwezig zijn.";"De voormalige Gereformeerde Maranathakerk aan de Mosplein 40 is in 1952 gebouwd door de architecten B.W. Plooij en Lansdorp. Precies veertig jaar later is de kerk ingewijd als de eerste Koptisch Orthodoxe kerk van de Heilige Maagd Maria.  In de kerk hebben de ramen een beeldondersteunende waarde.";"POINT(4.91313,52.393057)";"POINT(52.393057,4.91313)";4.91313;52.393057;
41;"Reliëf";"";"Harry op de Laak (1925-2012)";1956;"Top";"Vrolikstraat 8";"Rijksmonument";1952;"";"1. Kunsthistorische waarde De betonreliëfs in de voormalige Christelijke Technische School Patrimonium aan de Vrolikstraat, nu het Cygnus Gymnasium, hebben grote kunsthistorische waarde en ijkwaarde. Het zijn namelijk de eerste gerealiseerde betonreliëfs op groot formaat. Ze hebben ook kunsthistorische waarde als kunstwerken in de abstract-figuratieve stijl en hebben waarde als kunstwerken van de bekende monumentaal kunstenaar Harry op de Laak. De meeste van deze in totaal tien betonreliëfs bevinden zich in het trappenhuis. Bij de fietsenstalling is een man afgebeeld met een betonmolen. Deze figuur doet sterk denken aan de Modulor, een mensfiguur die de Franse architect Le Corbusier bedacht en die staat voor het ideale maatsysteem, de Gulden Snede. Le Corbusier was, voor zover bekend, de eerste die in 1947 het betonreliëf introduceerde- de Modulor is zijn eerste betonreliëf in het gebouw l`Unité d`Habitation in Marseille. Op de Laak was een prominent lid van De Realisten en van de Vereniging van beoefenaars der Monumentale Kunsten. Zijn invloed op monumentale kunstenaars was groot, omdat hij van 1974 tot 1986 hoogleraar Monumentale Kunsten aan de Rijksacademie was. Hij beoefende veel verschillende technieken, zoals glas-in-lood, glasappliqué en mozaïek.";"Het schoolgebouw is een Rijksmonument uit de lijst Top 100 Wederopbouwmonumenten uit 2007. Ook de schoolmuur is een kunstwerk. Het reliëf van de man met de betonmolen siert Monumenten van Herrezen Nederland en de school is afgebeeld in Kunst van de wederopbouw in Nederland 1940-1965. Experiment in Opdracht. De kleuren in de reliëfs zijn later aangebracht en dus niet origineel. In de stad zijn ook kunstwerken van Op de Laak te vinden op Jongkindstraat 112, Burgemeester De Vlugtlaan 125, de Banstraat, de Nieuwe Kerkstraat en in het Prinsengrachtziekenhuis.";"De architectuur van het schoolgebouw lijkt opvallend veel op l`Unité d`Habitation van Le Corbusier in Marseille. De vijf verdiepingen hoge school is, overeenkomstig de Unité, niet alleen ook in beton opgetrokken, maar wordt bovendien gedomineerd door de `brise-soleil`, een rasterwerk van open gevels, bedoeld om het zonlicht te temperen. Architectuur en kunst vormen in de school een synthese der kunsten. De school is één van de meest opvallende schoolgebouwen van Ingwersen.";"POINT(4.912316,52.355197)";"POINT(52.355197,4.912316)";4.912316;52.355197;
42;"Sculptuur";"";"Willem Reijers (1910-1958)";1956;"Top";"Vrolikstraat 8";"Rijksmonument";1952;"23ed42e5-d966-441a-be4e-5ee15f710747.jpg";"Het sculptuur aan de gevel van de voormalige Christelijke Technische School Patrimonium (nu het Cygnus Gymnasium) aan de Vrolikstraat bij de Wibautstraat, is gemaakt door Willem Reijers. Het heeft waarde als een kunstwerk van één van de bekendste Nederlandse beeldhouwers uit de wederopbouwperiode en het heeft in Reijers` oeuvre waarde als één van zijn laatste beelden. Het is van waarde als een abstract-expressionistische sculptuur uit de jaren vijftig.Reijers was bekend door het indrukwekkende Monument voor een Fusillade in Zijpersluis, dat hij ontworpen had als een grote geopende, bezwerende hand met de vredesduif. Handen en vogels vormen een vast onderwerp in zijn oeuvre. Het zijn getransformeerde mensfiguren en symbolieken. Willem Reijers was in 1939 vier maanden in Parijs in de leer bij de kunstenaars Ossip Zadkine en Ferdinand Leger. De eerste beelden van deze Bergense kunstenaar ontstonden eind van de jaren dertig, maar als monumentaal beeldhouwer kwam hij vooral in de jaren na de Tweede Wereldoorlog tot bloei. In 1956 heeft hij het balkonhek ontworpen voor het Provinciehuis van Gelderland in Arnhem. Er is een monografie over hem verschenen.";"Het schoolbestuur van het Patrimonium omschreef de doelstelling dat de leerlingen niet alleen de moderne techniek moeten leren, maar ook dagelijks geconfronteerd zouden moeten worden met kunst. Aan de gevel  van Werkspoor aan de Oostenburgergracht is ook een sculptuur van de kunstenaar aanwezig.";"De architectuur van het schoolgebouw lijkt opvallend veel op dat van l`Unité d`Habitation van Le Corbusier in Marseille. De vijf verdiepingen hoge school was overeenkomstig de l`Unité niet alleen in beton opgetrokken, maar werd bovendien gedomineerd door de `brise-soleil`, een rasterwerk van open gevels, bedoeld om het zonlicht te temperen. De open hand is aanvankelijk ontworpen voor de Tweede Christelijke Technische School Patrimonium aan de Jan van Breemenstraat, maar de architect van de beide scholen, Ben Ingwersen, koos voor deze plek. De open hand kan gezien worden als een ode aan Le Corbusier, die dit symbool in 1948 bedacht. Later is het in Chandigarh in India uitgevoerd. Deze ode is waarschijnlijk op deze manier geïnterpreteerd door architect Ben Ingwersen.";"POINT(4.91232,52.354793)";"POINT(52.354793,4.91232)";4.91232;52.354793;
43;"Schildering";"Sint Josephkerk";"Marius de Leeuw (1915-2000)";1952;"Top";"Erik de Roodestraat 14";"Rijksmonument";1953;"";"De plafondschildering en de glas-in-loodramen in de voormalige rooms-katholieke Josephkerk op de Erik de Roodestraat 14, nu ingericht als Speelparadijs Candy Castle, hebben een kunsthistorische waarde als de vroegste monumentale kunstwerken van één van de bekendste monumentale kunstenaars uit Brabant, de wandschilder en glazenier Marius de Leeuw. Hij heeft veel monumentale opdrachten gemaakt voor gebouwen in Brabant en omgeving en werkte vaak voor katholieke opdrachtgevers.De glasramen en de schildering in de absis vormen een ensemblewaarde. De Phoenix is een expressionistische plafondschildering die ook waarde heeft door de indrukwekkende vorm en grootte.Opgeleid aan de Academie voor Beeldende Kunsten in Rotterdam en op de afdeling Monumentale Kunsten bij professor Campendonk aan de Rijksacademie van Beeldende Kunsten in Amsterdam leerde hij ontwerpen maken in glas-in-lood en mozaïek. In 1953 werd hij docent aan de Koninklijke Academie voor Kunst en Vormgeving in Den Bosch waar hij tot zijn pensioen in 1980 bleef werken. Hij ontving meerdere prijzen zoals de Prix de Rome en er zijn solo-exposities gehouden over zijn werk.Hij ontwierp bijvoorbeeld het Apocalypsraam in de Sint-Janskathedraal en het raam `oorlog en vrede` in het Koning Willem 1 College in Den Bosch.";"Architect Holt heeft in 1952 met de Josephkerk een voor Nederland nieuw architectuurconcept geïntroduceerd. Hij liet in deze kerk de ruwe betonconstructie in het zicht. Dat was wennen voor de traditionele Rooms-katholieken in Amsterdam Nieuw West.Tegenwoordig is het herbestemd als Candy Castle, een speelparadijs met toestellen in de kleuren van een snoepwinkel. Het was één van de genomineerde herbestemmingsprojecten voor de Geurt Brinkgreve Bokaal 2016.";"De door Marius de Leeuw geschilderde blauwe Phoenix en de groenblauwe glas-in-loodramen vormden de enige kleuren in deze stoere grijze beton kerk. Ze zijn beeldbepalend en contrasteren en verzachten het grijze ruwe beton. De kerk is een rijksmonument van  de lijst van Top 100 Wederopbouwmonumenten 1940-1958.";"POINT(4.845822,52.373211)";"POINT(52.373211,4.845822)";4.845822;52.373211;
44;"Reliëf";"Basisschool Slootermeer";"Frits Sieger (1893-1990)";1954;"Waardevol";"Burgemeester Fockstraat 85";"Gemeentelijk monument";1953;"3dc30585-01be-4309-b44d-686a893baff9.jpg";"De reliëf in de gevel van de Slootermeerschool op de Burgemeester Fockstraat heeft een kunsthistorische waarde als een kunstwerk van de bekende Amsterdamse beeldhouwer Frits Sieger. In zijn oeuvre heeft het vermoedelijk ook waarde.Sieger heeft het vak geleerd door Griekse beelden te bestuderen en door privéles te nemen van de beeldhouwer John Rädecker. Hij studeerde bij professor Jan Bronner aan de Rijksacademie van Beeldende Kunsten. Zijn beelden en reliëfs, zoals Woutertje Pieterse op de Noordermarkt en het meisje in Vondelpark, zijn bekend bij veel Amsterdammers. Als lid van de CPN haalde hij zijn inspiratie uit de arbeidersklasse. Hij had een eigen stijl met naturalistische gestileerde beelden, die doet denken aan de Franse beeldhouwer Maillol. Op de Rijksacademie raakte hij bevriend met Peter Alma, met wie hij dezelfde politieke idealen deelde. Hij exposeerde met zijn familielid, schilder Fred Sieger.";"Het gevelreliëf, met als onderwerp spelende of dansende kinderen, is een geliefd onderwerp voor een schoolplein. Het is een percentageopdracht geweest van de Gemeente Amsterdam, met als ideaal om schoolgebouwen met kunst te verfraaien en de opgroeiende jeugd op deze manier vertrouwd te laten worden met kunst. Het heeft een opvallend optimistische uitstraling. In Amsterdam bevindt zich op het Jan Postmahof een ander reliëf van Sieger.";"Het gevelreliëf op de kopse kant van het gymlokaal heeft een beeldondersteunende werking. Links en rechts boven het rechthoekige reliëf heeft Frits Sieger drie duiven verbeeld. Het schoolgebouw uit 1954 is een burgemeester- of H-school en maakt deel uit van de eerste Amsterdamse serie scholen. In de jaren vijftig vormde deze serie het toonbeeld van moderne lagere scholen gebouwd volgens het principe van het `licht- en luchttype`.";"POINT(4.832849,52.381977)";"POINT(52.381977,4.832849)";4.832849;52.381977;
45;"Reliëf";"De Verfdoos";"Joseph Ongenae (1921-1993)";1955;"Top";"Slotermeerlaan 75";"Gemeentelijk monument";1953;"643b3f11-a150-4522-a8cd-258f72ba2bd8.jpg";"In 1955 ontwierp Joseph Ongenae Neoplastische kleurencomposities voor de voor- en achtergevels en voor drie van de vier kopgevels van de twee appartementen-complexen aan de Slotermeerlaan (Grote Verfdoos) en de Lodewijk van Deysselstraat (Kleine Verfdoos). Hij gebruikte de primaire kleuren van De Stijl: rood, geel en blauw met grijstinten, toegepast op rechthoekige glasplaten. Ze hebben waarde als kunstwerken van Joseph Ongenae, een bekende kunstenaar en mede-oprichter van de LIGA Nieuw Beelden. Ze hebben ook waarde als een van de eerste gerealiseerde projecten van de in 1955 opgerichte LIGA Nieuw Beelden. De flats vormen een ensemblewaarde met de vier appartementengebouwen aan de Dirk Schäferstraat en de Johannes Worpstraat. Het doel van de LIGA was om een harmonische leefomgeving te creëren. In het oeuvre van Ongenae is dit een van zijn belangrijkste kunstwerken. De in Antwerpen geboren Ongenae, won de Artes-prijs van België en heeft een in 1963 een solo-expositie in Museum Fodor gehouden. Een paar jaar geleden zijn bij de renovatie de kleuren iets veranderd. Mariël Polman, specialiste Kleur van de Rijksdienst voor het Cultureel Erfgoed doet een onderzoek naar de oorspronkelijke kleuren en schrijft een advies dat in het voorjaar van 2018 wordt gepresenteerd . Socioloog Ineke Teijmant en fotograaf Bart Sorgedrager schreven over dit complex het boekje `De Verfdoos. Veranderende buurten in Amsterdam`.";"LIGA Nieuw Beelden is voornamelijk een Amsterdamse beweging geweest. Deze groep die begon met 50 leden, groeide uit tot een vereniging van 361 kunstenaars, architecten en stedenbouwkundigen. Zij werkten met elkaar samen aan het vormgeven van de stedelijke- en architecturale omgeving. Ze streefden naar een synthese van kunst en architectuur en een van de doelstellingen was om een grote sociale integratie te creëren.Willem Sandberg, directeur van het Stedelijk Museum die aan de Dirk Schäferstraat 37 woonde, `was blij dat de architect aandacht had besteed aan de kleur,` en voorspelde dat deze flats later gezien zullen worden als een goed voorbeeld uit de jaren vijftig. Volkskrant (17-1-1981).";"De kleurencomposities zijn beeldbepalend voor deze gevels. Deze twee grote appartementencomplexen, in 1956/1957 in gebruik genomen, zijn het ontwerp van architect Allert Warners. Warners zijn ontwerpen gecombineerd met Ongenae`s kleurencompositie, werden positief besproken in vakbladen als het Bouwkundig Weekblad. De twee appartementencomplexen op pilotis en met een rastervormige gevel, tonen veel overeenkomsten met het appartementencomplex van Le Corbusier, Unité d`Habitation in Marseille.";"POINT(4.819235,52.377257)";"POINT(52.377257,4.819235)";4.819235;52.377257;
46;"Reliëf";"De Verfdoos";"Joseph Ongenae (1921-1993)";1955;"Top";"Lodewijk van Deysselstraat 4";"Gemeentelijk monument";1953;"";"In 1955 ontwierp Joseph Ongenae Neoplastische kleurencomposities voor de voor- en achtergevels en voor drie van de vier kopgevels van de twee appartementen-complexen aan de Slotermeerlaan (Grote Verfdoos) en de Lodewijk van Deysselstraat (Kleine Verfdoos). Hij gebruikte de primaire kleuren van De Stijl: rood, geel en blauw met grijstinten, toegepast op rechthoekige glasplaten. Ze hebben waarde als kunstwerken van Joseph Ongenae, een bekende kunstenaar en mede-oprichter van de LIGA Nieuw Beelden. Ze hebben ook waarde als een van de eerste gerealiseerde projecten van de in 1955 opgerichte LIGA Nieuw Beelden. De flats vormen een ensemblewaarde met de vier appartementengebouwen aan de Dirk Schäferstraat en de Johannes Worpstraat. Het doel van de LIGA was om een harmonische leefomgeving te creëren. In het oeuvre van Ongenae is dit een van zijn belangrijkste kunstwerken. De in Antwerpen geboren Ongenae, won de Artes-prijs van België en heeft een in 1963 een solo-expositie in Museum Fodor gehouden. Een paar jaar geleden zijn bij de renovatie de kleuren iets veranderd. Mariël Polman, specialiste Kleur van de Rijksdienst voor het Cultureel Erfgoed doet een onderzoek naar de oorspronkelijke kleuren en schrijft een advies dat in het voorjaar van 2018 wordt gepresenteerd . Socioloog Ineke Teijmant en fotograaf Bart Sorgedrager schreven over dit complex het boekje `De Verfdoos. Veranderende buurten in Amsterdam`.";"LIGA Nieuw Beelden is voornamelijk een Amsterdamse beweging geweest. Deze groep die begon met 50 leden, groeide uit tot een vereniging van 361 kunstenaars, architecten en stedenbouwkundigen. Zij werkten met elkaar samen aan het vormgeven van de stedelijke- en architecturale omgeving. Ze streefden naar een synthese van kunst en architectuur en een van de doelstellingen was om een grote sociale integratie te creëren.Willem Sandberg, directeur van het Stedelijk Museum die aan de Dirk Schäferstraat 37 woonde, `was blij dat de architect aandacht had besteed aan de kleur,` en voorspelde dat deze flats later gezien zullen worden als een goed voorbeeld uit de jaren vijftig. Volkskrant (17-1-1981).";"De kleurencomposities zijn beeldbepalend voor deze gevels. Deze twee grote appartementencomplexen, in 1956/1957 in gebruik genomen, zijn het ontwerp van architect Allert Warners. Warners zijn ontwerpen gecombineerd met Ongenae`s kleurencompositie, werden positief besproken in vakbladen als het Bouwkundig Weekblad. De twee appartementencomplexen op pilotis en met een rastervormige gevel, tonen veel overeenkomsten met het appartementencomplex van Le Corbusier, Unité d`Habitation in Marseille.";"POINT(4.818823,52.377345)";"POINT(52.377345,4.818823)";4.818823;52.377345;
47;"Reliëf";"De Verfdoos";"Josje Smit (1926-2003)";1956;"Waardevol";"Slotermeerlaan 75";"Gemeentelijk monument";1953;"";"De serie betonreliëfs die Josje Smit in 1956 heeft gemaakt aan de flats op de Slotermeerlaan, zijn van waarde als één van de vroegste betonreliëfs van Amsterdam. Daarbij hebben ze waarde in het oeuvre van de kunstenaar. In het reliëf op de foto heeft Smit een zittende vrouw en vogels uitgebeeld. Josje Smit was autodidact en leerde het kunstenaarsvak van haar partner Cephas Stauthamer. Ze maakte keramische reliëfs, betonreliëfs en wandkleden. Haar stijl was in de jaren   expressionistisch en figuratief en in de jaren zestig abstract.Haar meest eervolle opdracht was een appliqué wandkleed voor de ministeriële vergaderzaal van het Ministerie van Landbouw en Visserij.";"In Amsterdam zijn haar keramische reliëfs te vinden in de Universiteitsbibliotheek aan het Singel, bij het Ingenieursbureau Comprimo (?), in het Europahuis in Buitenveldert en in en aan de gevel van de voormalige rooms-katholieke Lagere school Sint Michael aan Meer en Vaart 290 in Osdorp. Net als in het schoolgebouw van Ingwersen op Vrolikstraat 8 (nu Cygnus Gymnasium) uit 1956, bezitten deze gebouwen betonreliëfs die geïnspireerd zijn op de Modulor, het allereerste betonreliëf ontworpen door Le Corbusier in het Unité d`Habitation in Marseille. De betonreliëfs op de Vrolikstraat zijn gemaakt door Harry op de Laak.";"De twee grote appartementencomplexen, die de verfdozen worden genoemd, zijn het ontwerp van architect Allert Warners. De grote flat staat aan de Slotermeerlaan en de Martinus Nijhoffstraat en de kleine aan de Lodewijk van Deijsselstraat en de Van Moerkerkenstraat. De twee complexen worden de Kleine en de Grote Verfdoos genoemd, vanwege de kleurvlakken die kunstenaar Joseph Ongenae, lid van LIGA Nieuw Beelden, aan de gevel aanbracht. Warners ontwerp gecombineerd met Ongenaes kleurencompositie, werd positief besproken in vakbladen zoals Bouwkundig Weekblad en als een voorbeeld gezien van een synthese der kunsten en een succes van de LIGA Nieuw Beelden. De twee appartementencomplexen op pilotis en met een rastervormige gevel, zijn ook geïnspireerd op het appartementencomplex van Le Corbusier, Unité d`Habitation in Marseille. De betonreliëfs van Josje Smit bevinden zich na de recente restauratie in het interieur en maken dus geen deel meer uit van de oorspronkelijke situatie aan de buitengevel. Volgens www.helpwandkunstopsporen is één reliëf rood geverfd.";"POINT(4.819279,52.377293)";"POINT(52.377293,4.819279)";4.819279;52.377293;
48;"Reliëf";"";"Theo Forrer (1923-2004)";1956;"Waardevol";"Robert Scottstraat 28";"In onderzoek of procedure";1954;"";"In het trappenhuis dat zich in de voormalige dubbele rRooms-katholieke lagere school, Sint Franciscus voor jongens en Sint Julia voor meisjes bevindt, zijn twee wandvullende betonreliëfs van Theo Forrer aanwezig. De reliëfs stellen Christus en vermoedelijk Franciscus voor.  Ze hebben een kunsthistorische waarde in het oeuvre van de lokaal bekende katholieke kunstenaar Theo Forrer. Zijn werk stelt de grauwheid van het leven voor en is het in te delen in een drietal thema`s, die ook in deze reliëfs te vinden zijn: 1. spelende kinderen, 2. dieren (en dan vooral `het afgedankte, het zielige, het opgegeven paard`), 3. diverse `gestalten`, mensfiguren die naar de zelfkant van het leven worden gedrukt.  Theo Forrer, opgeleid aan de tekenacademie van Batavia, voelde zich aangetrokken tot de lineaire kunst van de Japanners en Chinezen. Hij heeft de verschrikkingen van de Tweede Wereldoorlog in zijn geboorteland Indonesië meegemaakt en werd op jonge leeftijd naar Japan getransporteerd, waar hij verlamd en bijna blind raakte. Tijdens de aanval in Pearl Harbour bevond hij zich in Japan. Deze ervaringen en zijn weerzin tegen oorlog en geweld spelen door in zijn kunst, waarin het verbeelden van het lijden, doet denken aan de kunst van Permeke en Francis Bacon. Forrer is mede-oprichter van de Katholieke Werkgemeenschap. In de school is ook een mozaïek van Forrer aanwezig.";"Het katholieke schoolgebouw met deze verbeelding van Christus en Franciscus heeft een cultuurhistorische waarde in deze voormalige katholieke enclave rond de Sint Josephkerk en de katholieke ULO-MAVO aan de Erik de Roodestraat. De twee kunstwerken horen bij het schoolgebouw. Tijdens het Amsterdamse Scholenonderzoek in 2004 waren de beide kunstwerken in tweëentweeën gedeeld door  scheidingsmuren. Er bevindt zich nog een mozaïek van Forrer in de school en een betonreliëf met spelenden kinderen, dat mogelijk ook door hem is gemaakt. De serie halfronde mozaïeken boven de deuren van de flats op de Freek Oxstraat behoort tot zijn oeuvre, net als de wandschildering met spelende kinderen `Jenaplan` hoog in de hal in de school op de Beemsterstraat 526.";"Het katholieke schoolgebouw op pilotis, gebouwd van beton en deels bekleed met gele baksteen en veel glas, is ontworpen door Steenhart Carré en Tholens in opdracht van de Zusters van Amersfoort en de Broeders van Maastricht. De twee betonreliëfs hebben een ensemblewaarde waarde. Ze hebben een architectuurhistorische waarde: ze zijn  als  beeldbepalend in het trappenhuis.";"POINT(4.846387,52.373825)";"POINT(52.373825,4.846387)";4.846387;52.373825;
