"�..OBJECTNUMMER";"Zaaknaam";"Adres";"Producten";"Horeca_soort";"Dagen";"Tijden";"Website";"BOERENMARKT";"NATUURWINKEL";"HORECA";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
50;"Schulp vruchtensappen";"Zandpad 76 Breukelen";"Vruchtensappen";"";"";"";"http://www.schulp.nl";0;0;"0";"POINT(5.0120299,52.1625487)";"POINT(52.1625487,5.0120299)";5.0120299;52.1625487;NA
51;"Sonnevanck (biodynamisch)";"Volgerweg 41 Middenbeemster";"Biodynamisch limousin rundvlees, lamsvlees, aardappelen, sappen, cranberries, walnoten, scharreleieren, Waddenhoning";"";"";"";"http://www.zuiverzuivel.nl";0;0;"0";"POINT(4.9228408,52.5285765)";"POINT(52.5285765,4.9228408)";4.9228408;52.5285765;NA
52;"Stadsboerderij Almere";"Kemphaanpad 14 Almere";"Rundvlees";"";"";"";"http://www.stadsboerderijalmere.nl";0;0;"0";"POINT(5.2707851,52.3429991)";"POINT(52.3429991,5.2707851)";5.2707851;52.3429991;NA
53;"Telersbedrijf Kees Klopper";"Volgerweg 77 Zuidoosterbeemster";"Aardappelen, groenten, pruimen";"";"";"";"0";0;0;"1";"POINT(52.5247466,4.9381239)";"4.9381239";52.5247466;NA;NA
54;"Tuinderij Bakker";"Zuiderweg 39 Zuidoosterbeemster";"Aardbeien";"";"";"";"0";0;0;"1";"POINT(52.5206954,4.9119222)";"4.9119222";52.5206954;NA;NA
55;"Vleeshouderij Melman";"Belmermeer 5 Amsterdam";"Rundvlees";"";"";"";"0";0;0;"1";"POINT(52.4212882,5.0113561)";"5.0113561";52.4212882;NA;NA
56;"Waterlands Weelde";"Raadhuisstraat 27 Oosthuizen";"Waterlandvlees, Nederlandse wijn, vruchtensappen, kaas uit de regio";"";"";"";"http://www.natuurvlees.nl";0;0;"0";"POINT(4.995825,52.5733916)";"POINT(52.5733916,4.995825)";4.995825;52.5733916;NA
57;"Willig";"Hoogedijk 8 Katwoude";"Zuivel van schaap, wol, gras";"";"";"";"0";0;0;"1";"POINT(52.4666373,5.0408132)";"5.0408132";52.4666373;NA;NA
58;"Zorg en Hoop";"Westdijk 32 Zuidschermer";"Aardappelen (zelfbediening)";"";"";"";"0";0;0;"1";"POINT(52.5734679,4.7502668)";"4.7502668";52.5734679;NA;NA
59;"Zuivelboerderij Buys";"Kerkbuurt 61 Oostzaan";"Zuivel, Bed & Breakfast";"";"";"";"www.zuivelboerderij-buys.nl";0;0;"0";"POINT(4.8738029,52.4431388)";"POINT(52.4431388,4.8738029)";4.8738029;52.4431388;NA
60;"Zuivelboerderij Dikhoeve";"Nieuwe Gouw 51";"Skeapsrond, schapenkaas, yoghurt";"";"";"";"www.dikhoeve.nl";0;0;"0";"POINT(4.9922411,52.3952529)";"POINT(52.3952529,4.9922411)";4.9922411;52.3952529;NA
61;"Zuivelboerderij Van Wees";"Rijnlanderweg 1166 Nieuw-Vennep";"Boerenkaas, zuivel";"";"";"";"0";0;0;"1";"POINT(52.2637717,4.6736691)";"4.6736691";52.2637717;NA;NA
62;"Zuivelboerderij Vrouwenakker";"Drechtdijk 90 De Kwakel";"Boeren Goudse kaas, kruidenkaas, zuivel, druivenwijn, honing, mosterd";"";"";"";"0";0;0;"1";"POINT(52.2292143,4.7839358)";"4.7839358";52.2292143;NA;NA
63;"Haarlemmerplein";"Haarlemmerplein, 1013 Amsterdam";"";"";"Woensdag, wekelijks";"10:00 - 17:00";"http://www.biologischeboerenmarkten.nl/haarlemmerplein.html";1;0;"0";"POINT(4.883714,52.3845717)";"POINT(52.3845717,4.883714)";4.883714;52.3845717;NA
64;"Nieuwmarkt";"Nieuwmarkt, 1012 Amsterdam";"";"";"Zaterdag, wekelijks";"09:00 - 17:00";"http://www.biologischeboerenmarkten.nl/nieuwmarkt.html";1;0;"0";"POINT(4.8999851,52.3725936)";"POINT(52.3725936,4.8999851)";4.8999851;52.3725936;NA
65;"Zeeburg";"C. van Eesterenlaan, Kop Borneo-Eiland, 1019 Amsterdam";"";"";"Woensdag, wekelijks";"12:00 - 19:00";"http://www.biologischemarktzeeburg.nl";1;0;"0";"POINT(4.9387948,52.3713919)";"POINT(52.3713919,4.9387948)";4.9387948;52.3713919;NA
66;"Noordermarkt";"Noordermarkt, 1015 Amsterdam";"";"";"Zaterdag, wekelijks";"09:00 - 16:00";"http://www.boerenmarktamsterdam.nl";1;0;"0";"POINT(4.8866599,52.3793074)";"POINT(52.3793074,4.8866599)";4.8866599;52.3793074;NA
67;"Bolhoed, De";"Prinsengracht 60, 1015 DX Amsterdam";"";"Restaurant";"";"";"0";0;1;"";"POINT(52.3778922,4.8856451)";"4.8856451";52.3778922;NA;NA
68;"Deshima";"Weteringschans 65, 1017 RX Amsterdam";"";"Restaurant";"";"";"0";0;1;"";"POINT(52.361592,4.8860352)";"4.8860352";52.361592;NA;NA
69;"Lunchcafé Nielsen";"Berenstraat 19, 1016 GG Amsterdam";"";"Lunchcafé";"";"";"0";0;1;"";"POINT(52.3702933,4.8835151)";"4.8835151";52.3702933;NA;NA
70;"Marius";"Barentszstraat 243, 1013 NM Amsterdam";"";"Restaurant";"";"";"0";0;1;"";"POINT(52.3886916,4.8870652)";"4.8870652";52.3886916;NA;NA
71;"Oude Melkfabriek, De";"Oranje-Vrijstaatkade 31, 1093 KS Amsterdam";"";"Restaurant";"";"";"0";0;1;"";"POINT(52.3566939,4.9316552)";"4.9316552";52.3566939;NA;NA
72;"Proeverij 274";"Prinsengracht 274, 1016 HH Amsterdam";"";"Restaurant";"";"";"0";0;1;"";"POINT(52.3710944,4.8824451)";"4.8824451";52.3710944;NA;NA
73;"Quattro Gatti";"Hartenstraat 3, 1016 BZ Amsterdam";"";"Restaurant";"";"";"0";0;1;"";"POINT(52.372193,4.886575)";"4.886575";52.372193;NA;NA
74;"Wethoudertje, `t";"Wethouder Frankeweg 11, 1098 KV Amsterdam";"";"Snackbar";"";"";"0";0;1;"";"POINT(52.3514945,4.9359052)";"4.9359052";52.3514945;NA;NA
75;"A la Ferme";"Govert Flinckstraat 251, 1073 BX Amsterdam";"";"Restaurant";"";"";"http://www.alaferme.nl";0;0;"1";"POINT(4.8981149,52.3562934)";"POINT(52.3562934,4.8981149)";4.8981149;52.3562934;NA
76;"Badcuyp, De";"Eerste Sweelinckstraat 10, 1073 CM Amsterdam";"";"Eetcafé";"";"";"http://www.badcuyp.nl";0;0;"1";"POINT(4.8970849,52.3566939)";"POINT(52.3566939,4.8970849)";4.8970849;52.3566939;NA
77;"Betty`s, Vegetarisch restaurant";"Rijnstraat 75, 1079 GX Amsterdam";"";"Restaurant";"";"";"http://www.bettys.nl";0;0;"1";"POINT(4.9057949,52.3454939)";"POINT(52.3454939,4.9057949)";4.9057949;52.3454939;NA
78;"Bierbrouwerij `t IJ";"Funenkade 7, 1018 AL Amsterdam";"";"Bierbrouwerij";"";"";"http://www.brouwerijhetij.nl";0;0;"1";"POINT(4.9264848,52.3666922)";"POINT(52.3666922,4.9264848)";4.9264848;52.3666922;NA
79;"Burgermeester";"Elandsgracht 130, 1016 VB Amsterdam";"";"Snackbar";"";"";"http://www.burgermeester.eu";0;0;"1";"POINT(4.8788249,52.3691947)";"POINT(52.3691947,4.8788249)";4.8788249;52.3691947;NA
80;"Burgermeester";"Albert Cuypstraat 48, 1072 CV Amsterdam";"";"Snackbar";"";"";"http://www.burgermeester.eu";0;0;"1";"POINT(4.8889048,52.354592)";"POINT(52.354592,4.8889048)";4.8889048;52.354592;NA
81;"Culinaire Werkplaats, De";"Fannius Scholtenstraat 6, 1051 EX Amsterdam";"";"Eet-initiatief";"";"";"http://www.deculinairewerkplaats.nl";0;0;"1";"POINT(4.8732049,52.3850943)";"POINT(52.3850943,4.8732049)";4.8732049;52.3850943;NA
82;"Bierbrouwerij de Prael";"Oudezijds Voorburgwal 30A, 1012 GD Amsterdam";"";"Bierbrouwerij";"";"";"http://www.deprael.nl";0;0;"1";"POINT(4.899605,52.3752944)";"POINT(52.3752944,4.899605)";4.899605;52.3752944;NA
83;"Fifteen";"Jollemanhof 9, 1019 GW Amsterdam";"";"Restaurant";"";"";"http://www.fifteen.nl";0;0;"1";"POINT(4.9202349,52.3770949)";"POINT(52.3770949,4.9202349)";4.9202349;52.3770949;NA
84;"Gartine";"Taksteeg 7, 1012 PB Amsterdam";"";"Lunchroom";"";"";"http://www.gartine.nl";0;0;"1";"POINT(4.891525,52.3691947)";"POINT(52.3691947,4.891525)";4.891525;52.3691947;NA
85;"Green Meals";"Lindengracht 158, 1015 KK Amsterdam";"";"Maaltijdbezorging";"";"";"http://www.greenmeals.nl";0;0;"1";"POINT(4.8843248,52.3802916)";"POINT(52.3802916,4.8843248)";4.8843248;52.3802916;NA
86;"Gustavino";"Gustav Mahlerplein 16, 1082 MA Amsterdam";"";"Restaurant";"";"";"http://www.gustavino.nl";0;0;"1";"POINT(4.8730252,52.3375937)";"POINT(52.3375937,4.8730252)";4.8730252;52.3375937;NA
87;"Hemelse Modder";"Oude Waal 11, 1011 BZ Amsterdam";"";"Restaurant";"";"";"http://www.hemelsemodder.nl";0;0;"1";"POINT(4.9034851,52.3731925)";"POINT(52.3731925,4.9034851)";4.9034851;52.3731925;NA
