OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
295;"Gereja Bethel Indonesia Mawar Saron Amsterdam";"Gereja Bethel Indonesia Mawar Saron Amsterdam";"Woestduinstraat 16-22";"Onbekend";"";5;"Christelijke kerk overig";"https://www.facebook.com/mawarsaronamsterdam/info";"POINT(4.847163,52.353974)";"POINT(52.353974,4.847163)";4.847163;52.353974;
296;"Al Houda Moskee";"Al Houda Moskee";"Wolbrantskerkweg 34";"Onbekend";"";7;"Turkse Moskee";"";"POINT(4.7964842,52.3580481)";"POINT(52.3580481,4.7964842)";4.7964842;52.3580481;
297;"De Kerk van Jezus Christus van de Heiligen der Laatste Dagen - Mormonen";"De Kerk van Jezus Christus van de Heiligen der Laatste Dagen";"Zaaiersweg 17";"Kerk";"Mormonen";5;"Christelijke kerk overig";"http://www.kerkvanjezuschristus.nl/";"POINT(4.9444191,52.3437316)";"POINT(52.3437316,4.9444191)";4.9444191;52.3437316;
298;"Kerk van de Heilige Familie (Parish of the Blessed Trinity) - Engels, ook Filippijns, Kroatisch";"Kerk van de Heilige Familie (Parish of the Blessed Trinity)";"Zaaiersweg 180";"Kerk";"Engels, ook Filippijns, Kroatisch";2;"Rooms Katholieke kerk";"";"POINT(4.9393618,52.3402144)";"POINT(52.3402144,4.9393618)";4.9393618;52.3402144;
299;"Abitat Eslamat";"Abitat Eslamat";"Zamenhofstraat 14A";"Woonhuis";"";6;"Marokkaanse Moskee";"";"POINT(4.9255001,52.3878943)";"POINT(52.3878943,4.9255001)";4.9255001;52.3878943;
300;"Ulu Camii Moskee";"Ulu Camii Moskee";"Zeeburgerdijk 119";"Woonhuis";"";7;"Turkse Moskee";"";"POINT(4.9390261,52.3663336)";"POINT(52.3663336,4.9390261)";4.9390261;52.3663336;
301;"Fo Guang Shan He Hua Tempel";"Fo Guang Shan He Hua Tempel";"Zeedijk 106";"Tempel";"";11;"Boeddhistische tempel";"";"POINT(4.9000809,52.3737113)";"POINT(52.3737113,4.9000809)";4.9000809;52.3737113;
302;"Liberale Joodse Gemeente";"Liberale Joodse Gemeente";"Zuidelijke wandelweg 41";"Synagoge";"";9;"Joodse synagoge";"http://www.ljgamsterdam.nl/nl/bereikbaarheid";"POINT(4.8979189,52.3380667)";"POINT(52.3380667,4.8979189)";4.8979189;52.3380667;
303;"El Encuento Con Dios - Pinkstergemeenschap";"El Encuento Con Dios";"Zuidelijke Wandelweg 43";"Industriefunctie";"Pinkstergemeenschap";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8973019,52.3380972)";"POINT(52.3380972,4.8973019)";4.8973019;52.3380972;
304;"Bethlehemkerk - Volle Evangelie Gemeente";"Bethlehemkerk";"Zwanenplein 34";"Kerk";"Volle Evangelie Gemeente";1;"Evangelische- of Pinksterkerk";"";"POINT(4.9186919,52.3870856)";"POINT(52.3870856,4.9186919)";4.9186919;52.3870856;
305;"Mozes en Aäronkerk - Gemeenschap van Sant`Egidio";"Mozes en Aäronkerk (Sint Antonius van Padua)";"Waterlooplein 207";"Kerk";"Gemeenschap van Sant`Egidio";2;"Rooms Katholieke kerk";"http://www.santegidio.nl";"POINT(4.9031651,52.3681914)";"POINT(52.3681914,4.9031651)";4.9031651;52.3681914;
306;"Al-Karama";"Al-Karama";"Pontanusstraat 278A";"";"";6;"Marokkaanse Moskee";"";"POINT(4.9300298,52.3607658)";"POINT(52.3607658,4.9300298)";4.9300298;52.3607658;
308;"Stadsklooster La Verna  - Minderbroeders Franciscanen";"Stadsklooster La Verna ";"Derkinderenstraat 82";"Klooster ";"Minderbroeders Franciscanen";2;"Rooms Katholieke kerk";"http://www.stadskloosterlaverna.nl";"POINT(4.840598,52.3634551)";"POINT(52.3634551,4.840598)";4.840598;52.3634551;
309;"Buurtkerk Hebron - Protestantse Kerk Nederland ";"Buurtkerk Hebron";"Polanenstraat 199/213";"Buurtzaal en woningen";"Protestantse Kerk Nederland ";3;"Protestantse Kerk Nederland (PKN)";"http://www.hebron.amsterdam";"POINT(4.876407,52.3908224)";"POINT(52.3908224,4.876407)";4.876407;52.3908224;
310;"Heilig Vuur West - Gasthuis  - Protestantse Kerk ";"Heilig Vuur West - Gasthuis ";"Arie Biemondstraat 103";"Voormalig onderdeel WG Ziekenhuis ";"Protestantse Kerk ";3;"Protestantse Kerk Nederland (PKN)";"www.heiligvuurwest.nl ";"POINT(4.867981,52.3637914)";"POINT(52.3637914,4.867981)";4.867981;52.3637914;
311;"Akergemeente - Christelijke kerk voor de Aker en de Punt";"Akergemeente";"Noorderakerweg 2";"Huis van de wijk ";"Christelijke kerk voor de Aker en de Punt";4;"Gereformeerde kerk";"http://www.akergemeente.nl";"POINT(4.7820526,52.3550988)";"POINT(52.3550988,4.7820526)";4.7820526;52.3550988;
312;"Chaudfontaine Nieuw Sloten - Gemeenschap van christenen in en voor de wijk   ";"Chaudfontaine Nieuw Sloten";"Berlaarstraat 273-275";"Buiten Schoolse Opvang";"Gemeenschap van christenen in en voor de wijk   ";1;"Evangelische- of Pinksterkerk";"http://www.chaudfontaine-nieuwsloten.nl";"POINT(4.8073296,52.3459942)";"POINT(52.3459942,4.8073296)";4.8073296;52.3459942;
313;"Stroom Amsterdam - Christelijke gemeenschap ";"Stroom Amsterdam";"Nieuwe Herengracht 18";"Kerkelijk gebruik ";"Christelijke gemeenschap ";5;"Christelijke kerk overig";"http://www.stroomamsterdam.nl/";"POINT(4.9038365,52.3659538)";"POINT(52.3659538,4.9038365)";4.9038365;52.3659538;
314;"Liberty Church  - Christelijke gemeenschap";"Liberty Church ";"Nieuwe Keizersgracht 1A";"Kantoor ";"Christelijke gemeenschap";5;"Christelijke kerk overig";"http://www.libertychurch.amsterdam/";"POINT(4.9039593,52.3651459)";"POINT(52.3651459,4.9039593)";4.9039593;52.3651459;
315;"Hillsong Amsterdam  - Evangelisch ";"Hillsong Amsterdam ";"Danzigerkade 5";"Theather ";"Evangelisch ";1;"Evangelische- of Pinksterkerk";"https://www.hillsong.com/nl/netherlands/amsterdam";"POINT(4.8778353,52.3970314)";"POINT(52.3970314,4.8778353)";4.8778353;52.3970314;
316;"Vineyard Amsterdam  - Evangelische gemeente ";"Vineyard Amsterdam ";"Kleine Wittenburgerstraat 1";"Kerk ";"Evangelische gemeente ";1;"Evangelische- of Pinksterkerk";"https://www.vineyardamsterdam.nl/en/home";"POINT(4.9193092,52.369879)";"POINT(52.369879,4.9193092)";4.9193092;52.369879;
317;"Oosterkerk - City Kerk  - Protestantse Kerk";"Oosterkerk - City Kerk ";"Kleine Wittenburgstraat 1";"Kerk";"Protestantse Kerk";3;"Protestantse Kerk Nederland (PKN)";"https://www.citykerk.amsterdam/";"POINT(4.9190946,52.3699576)";"POINT(52.3699576,4.9190946)";4.9190946;52.3699576;
318;"Tituskapel Mount Olives P.I.W.C. Assembly -  Ghanese Pinksterkerk ";"Tituskapel Mount Olives P.I.W.C. Assembly";"Wijnand Nuijenstraat 1";"Kerk";" Ghanese Pinksterkerk ";1;"Evangelische- of Pinksterkerk";"https://www.churchofpentecost.eu/nl/district-amsterdam-noord-mount-olives-piwc-assembly/";"POINT(4.8408077,52.3660658)";"POINT(52.3660658,4.8408077)";4.8408077;52.3660658;
319;"Via Nova Lab111 - Christelijk Gereformeerd ";"Via Nova Lab111";"Arie Biemondstraat 111";"Voormalig ziekenhuis WG terrein";"Christelijk Gereformeerd ";4;"Gereformeerde kerk";"https://www.vianova-amsterdam.nl/";"POINT(4.8672409,52.363614)";"POINT(52.363614,4.8672409)";4.8672409;52.363614;
320;"Chinese Cama gemeente Amsterdam  - Cama gemeente ";"Chinese Cama gemeente Amsterdam ";"Wijkergouw 6";"Kerk ";"Cama gemeente ";1;"Evangelische- of Pinksterkerk";"http://www.cama4u.nl/cama4u/index.php/nl/";"POINT(4.9653856,52.3835386)";"POINT(52.3835386,4.9653856)";4.9653856;52.3835386;
321;"OASE voor Nieuw-West - Nederlands Gereformeerde kerk (NGK) / Christelijke Gereformeerde Kerken in Nederland (CGK)";"OASE voor Nieuw-West";"Willem Kloosstraat 1";"Kerk ";"Nederlands Gereformeerde kerk (NGK) / Christelijke Gereformeerde Kerken in Nederland (CGK)";4;"Gereformeerde kerk";" https://www.oasenieuwwest.nl/";"POINT(4.8226125,52.3753934)";"POINT(52.3753934,4.8226125)";4.8226125;52.3753934;
322;"Redemption Church  - Evangelisch ";"Redemption Church ";"Atlantisplein 1 ";"Theater";"Evangelisch ";1;"Evangelische- of Pinksterkerk";"https://www.redemptionchurch.nl/adres-amsterdam";"POINT(4.9306796,52.3577119)";"POINT(52.3577119,4.9306796)";4.9306796;52.3577119;
323;"Leger des Heils - De Kandelaar - Leger des Heils";"Leger des Heils - De Kandelaar";"Burgemeester Vening Meineszlaan 64";"Kerkgebouw";"Leger des Heils";5;"Christelijke kerk overig";"https://www.legerdesheils.nl/korpsamsterdamwest";"POINT(4.8332289,52.383197)";"POINT(52.383197,4.8332289)";4.8332289;52.383197;
324;"LIFEHOUSE  - Evangelische / Pinkstergemeente ";"LIFEHOUSE ";"Jan Rebelstraat 2";"Bedrijfspand";"Evangelische / Pinkstergemeente ";1;"Evangelische- of Pinksterkerk";"https://www.lifehouse.nl/";"POINT(4.7833337,52.3611919)";"POINT(52.3611919,4.7833337)";4.7833337;52.3611919;

