OBJECTNUMMER;GebouwGenoot;Gebouwnaam;Adres;Gebouwtype;Genootschap;Categorie_id;Categorie;Website;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
138;"Vereniging De Vrije Gemeente";"Vereniging De Vrije Gemeente";"Johannes Vermeerstraat 19";"Onbekend";"";5;"Christelijke kerk overig";"http://www.vrijegemeente.nl";"POINT(4.8844359,52.3573844)";"POINT(52.3573844,4.8844359)";4.8844359;52.3573844;
139;"Portugese Synagoge - Portugees Israelitische Gemeente";"Portugese Synagoge";"Jonas Daniel Meijerplein 5";"Synagoge";"Portugees Israelitische Gemeente";9;"Joodse synagoge";"";"POINT(4.9046118,52.3675887)";"POINT(52.3675887,4.9046118)";4.9046118;52.3675887;
140;"Berea Gemeente";"Berea Gemeente";"Joop Geesinkweg 313";"Onbekend";"";5;"Christelijke kerk overig";"http://www.berea.nl/";"POINT(4.9328239,52.3353545)";"POINT(52.3353545,4.9328239)";4.9328239;52.3353545;
141;"Moskee el Fath al Moebien";"Moskee el Fath al Moebien";"Joubertstraat 15";"School";"";6;"Marokkaanse Moskee";"";"POINT(4.9174139,52.3535048)";"POINT(52.3535048,4.9174139)";4.9174139;52.3535048;
142;"Moskee Eyp Sultan";"Moskee Eyp Sultan";"Joubertstraat 15";"School";"";7;"Turkse Moskee";"";"POINT(4.9171922,52.3532683)";"POINT(52.3532683,4.9171922)";4.9171922;52.3532683;
143;"AMOS";"AMOS";"Kalfjeslaan 376";"Onbekend";"";9;"Joodse synagoge";"http://www.amossjoel.nl/";"POINT(4.859607,52.3220755)";"POINT(52.3220755,4.859607)";4.859607;52.3220755;
144;"Heilige Petrus en Pauluskerk (de Papegaai)";"Heilige Petrus en Pauluskerk (de Papegaai)";"Kalverstraat 58";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.8918421,52.3712203)";"POINT(52.3712203,4.8918421)";4.8918421;52.3712203;
145;"Sint Stephanuskerk";"Sint Stephanuskerk";"Kamperfoelieweg 211";"Kerk";"";2;"Rooms Katholieke kerk";"";"POINT(4.9100392,52.3995101)";"POINT(52.3995101,4.9100392)";4.9100392;52.3995101;
146;"Gemeente des Heeren";"Gemeente des Heeren";"Karperstraat 2";"Samenkomstfunctie";"";1;"Evangelische- of Pinksterkerk";"";"POINT(4.8561552,52.3482939)";"POINT(52.3482939,4.8561552)";4.8561552;52.3482939;
147;"Ouderencentrum Beth Shalom";"Ouderencentrum Beth Shalom";"Kastelenstraat 80";"Onbekend";"";9;"Joodse synagoge";"http://nihs.nl/synagoges/nihs-synagoges/";"POINT(4.8810189,52.3261954)";"POINT(52.3261954,4.8810189)";4.8810189;52.3261954;
148;"Sinaï Ministries";"Sinaï Ministries";"Keienbergweg 58";"Onbekend";"";1;"Evangelische- of Pinksterkerk";"https://www.facebook.com/SinaiMinistriesHq/info";"POINT(4.9339359,52.3068587)";"POINT(52.3068587,4.9339359)";4.9339359;52.3068587;
