OBJECTNUMMER;Functie;Functie_gecorrigeerd;VOT_ID;Adres;Aantal_adressen;Gebruiksdoel;WOZ_gebruik;Hoofdfunctie;Hoofdfunctie_ID;Gebruiksoppervlakte;Footprint;Oppervlakte_gecorrigeerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11655;"kantoor";0;"0363010012084889";"Houthavenkade 23B";0;"winkelfunctie";"kantoor";"Kantoren";"K";22;0;0;"POINT(4.877927,52.394682)";"POINT(52.394682,4.877927)";4.877927;52.394682;
11656;"trafo";0;"0363010012080768";"Houthavenkade 83";0;"overige gebruiksfunctie";"trafo";"Nuts";"N";244;0;0;"POINT(4.878815,52.395342)";"POINT(52.395342,4.878815)";4.878815;52.395342;
11657;"kantoor";0;"0363010012108764";"Houthavenkade 87";0;"kantoorfunctie";"kantoor";"Kantoren";"K";82;0;0;"POINT(4.879283,52.395532)";"POINT(52.395532,4.879283)";4.879283;52.395532;
11658;"winkel";0;"0363010012107303";"Houthavenweg 237";0;"bijeenkomstfunctie";"winkel";"Detailhandel";"D";249;0;0;"POINT(4.875732,52.393926)";"POINT(52.393926,4.875732)";4.875732;52.393926;
11659;"winkel";0;"0363010001019089";"Houtkopersdwarsstraat 3";0;"bijeenkomstfunctie";"winkel";"Detailhandel";"D";442;0;0;"POINT(4.902361,52.368864)";"POINT(52.368864,4.902361)";4.902361;52.368864;
11660;"winkel";0;"0363010000862942";"Houtkopersdwarsstraat 4";0;"kantoorfunctie";"winkel";"Detailhandel";"D";150;0;0;"POINT(4.901951,52.368827)";"POINT(52.368827,4.901951)";4.901951;52.368827;
11661;"winkel";0;"0363010000957773";"Houtkopersdwarsstraat 6";0;"winkelfunctie";"winkel";"Detailhandel";"D";22;0;0;"POINT(4.902024,52.368809)";"POINT(52.368809,4.902024)";4.902024;52.368809;
11662;"kantoor";0;"0363010012075158";"Houtmankade 332";0;"kantoorfunctie";"kantoor";"Kantoren";"K";424;0;0;"POINT(4.882229,52.385874)";"POINT(52.385874,4.882229)";4.882229;52.385874;
11663;"cultuur";0;"0363010012100182";"Houtmankade 334";0;"bijeenkomstfunctie";"cultuur";"Cultuur";"C";769;0;0;"POINT(4.881993,52.385936)";"POINT(52.385936,4.881993)";4.881993;52.385936;
11664;"cultuur";0;"0363010012100183";"Houtmankade 336";0;"bijeenkomstfunctie";"cultuur";"Cultuur";"C";782;0;0;"POINT(4.88186,52.38599)";"POINT(52.38599,4.88186)";4.88186;52.38599;
11665;"politiebureau";0;"0363010000940579";"Houtmankade 34";0;"kantoorfunctie";"politiebureau";"Kantoren";"K";3912;0;0;"POINT(4.884204,52.389136)";"POINT(52.389136,4.884204)";4.884204;52.389136;
11666;"industriefunctie";0;"0363010000673566";"Houtmankade 37/H";0;"industriefunctie";"overig bedrijf";"Bedrijven";"B";505;0;0;"POINT(4.88538,52.389051)";"POINT(52.389051,4.88538)";4.88538;52.389051;
11667;"kantoor";0;"0363010001165171";"Houtmankade 42A";3;"kantoorfunctie";"kantoor";"Kantoren";"K";0;0;0;"POINT(4.883732,52.388002)";"POINT(52.388002,4.883732)";4.883732;52.388002;
11668;"kantoor";0;"0363010001165174";"Houtmankade 44A";0;"woonfunctie";"kantoor";"Kantoren";"K";221;0;0;"POINT(4.883718,52.387975)";"POINT(52.387975,4.883718)";4.883718;52.387975;
11669;"kantoor";0;"0363010001165175";"Houtmankade 44B";0;"kantoorfunctie";"kantoor";"Kantoren";"K";124;0;0;"POINT(4.883703,52.387975)";"POINT(52.387975,4.883703)";4.883703;52.387975;
11670;"kantoor";0;"0363010001165176";"Houtmankade 44C";2;"kantoorfunctie";"kantoor";"Kantoren";"K";0;0;0;"POINT(4.883673,52.387984)";"POINT(52.387984,4.883673)";4.883673;52.387984;
11671;"kinderdagverblijf";0;"0363010000673608";"Houtmankade 60";0;"onderwijsfunctie";"dagverblijf";"Onderwijs";"O";941;0;0;"POINT(4.883106,52.387478)";"POINT(52.387478,4.883106)";4.883106;52.387478;
11672;"kantoor";0;"0363010000673640";"Houtmankade 70/H";0;"industriefunctie";"kantoor";"Kantoren";"K";74;0;0;"POINT(4.883098,52.386957)";"POINT(52.386957,4.883098)";4.883098;52.386957;
11673;"opslag / distributie";0;"0363010000673648";"Houtmankade 72/H";0;"industriefunctie";"opslag / distributie";"Opslag en distributie";"E";156;0;0;"POINT(4.883054,52.386894)";"POINT(52.386894,4.883054)";4.883054;52.386894;
11674;"café / bar / restaurant";0;"0363010000673519";"Houtmankade 9";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";228;0;0;"POINT(4.885795,52.389997)";"POINT(52.389997,4.885795)";4.885795;52.389997;
11675;"kantoor";0;"0363010001022611";"Houtmanstraat 2A";0;"industriefunctie";"kantoor";"Kantoren";"K";65;0;0;"POINT(4.885219,52.387676)";"POINT(52.387676,4.885219)";4.885219;52.387676;
11676;"kantoor";0;"0363010001022610";"Houtmanstraat 2D";0;"woonfunctie|industriefunctie";"kantoor";"Kantoren";"K";144;0;0;"POINT(4.885234,52.387694)";"POINT(52.387694,4.885234)";4.885234;52.387694;
11677;"kantoor";0;"0363010000673882";"Houtrijkstraat 116";0;"kantoorfunctie";"kantoor";"Kantoren";"K";514;0;0;"POINT(4.878082,52.390099)";"POINT(52.390099,4.878082)";4.878082;52.390099;
11678;"winkel";0;"0363010000986636";"Houtrijkstraat 292";0;"winkelfunctie|woonfunctie";"winkel";"Detailhandel";"D";46;0;0;"POINT(4.877113,52.391335)";"POINT(52.391335,4.877113)";4.877113;52.391335;
11679;"winkel";0;"0363010000674050";"Houtrijkstraat 340";0;"winkelfunctie";"winkel";"Detailhandel";"D";40;0;0;"POINT(4.876801,52.391666)";"POINT(52.391666,4.876801)";4.876801;52.391666;
11680;"recreatie / sportcentrum";0;"0363010001039635";"Houtrijkstraat 36";0;"winkelfunctie";"recreatie / sportcentrum";"Sport en recreatie";"S";83;0;0;"POINT(4.878917,52.389015)";"POINT(52.389015,4.878917)";4.878917;52.389015;
11681;"recreatie / sportcentrum";0;"0363010001039636";"Houtrijkstraat 38";0;"kantoorfunctie";"recreatie / sportcentrum";"Sport en recreatie";"S";38;0;0;"POINT(4.878872,52.389069)";"POINT(52.389069,4.878872)";4.878872;52.389069;
11682;"atelier / werkruimte";0;"0363010001039643";"Houtrijkstraat 42";0;"industriefunctie";"atelier / werkruimte";"Atelier / werkruimte";"F";49;0;0;"POINT(4.878828,52.389122)";"POINT(52.389122,4.878828)";4.878828;52.389122;
11683;"kantoor";0;"0363010000674171";"Huddestraat 3";0;"kantoorfunctie";"kantoor";"Kantoren";"K";153;1;0;"POINT(4.906886,52.360506)";"POINT(52.360506,4.906886)";4.906886;52.360506;
11684;"kantoor";0;"0363010001013493";"Huddestraat 5";0;"kantoorfunctie";"kantoor";"Kantoren";"K";153;1;0;"POINT(4.906916,52.360461)";"POINT(52.360461,4.906916)";4.906916;52.360461;
11685;"kantoor";0;"0363010000674172";"Huddestraat 7";0;"kantoorfunctie";"kantoor";"Kantoren";"K";558;0;0;"POINT(4.906975,52.360399)";"POINT(52.360399,4.906975)";4.906975;52.360399;
11686;"winkel";0;"0363010001016722";"Hudsonhof 44";0;"winkelfunctie";"winkel";"Detailhandel";"D";37;0;0;"POINT(4.852218,52.370149)";"POINT(52.370149,4.852218)";4.852218;52.370149;
11687;"winkel";0;"0363010000674173";"Hudsonstraat 1";0;"winkelfunctie";"winkel";"Detailhandel";"D";75;0;0;"POINT(4.854048,52.364469)";"POINT(52.364469,4.854048)";4.854048;52.364469;
11688;"kantoor";0;"0363010000674536";"Hudsonstraat 114";0;"kantoorfunctie";"kantoor";"Kantoren";"K";0;0;0;"POINT(4.853376,52.367926)";"POINT(52.367926,4.853376)";4.853376;52.367926;
11689;"kantoor (hoofdcode)";0;"0363010011122758";"Hudsonstraat 116";0;"kantoorfunctie";"kantoor (hoofdcode)";"Kantoren";"K";0;0;0;"POINT(4.85336,52.367971)";"POINT(52.367971,4.85336)";4.85336;52.367971;
11690;"kantoor";0;"0363010000674552";"Hudsonstraat 120/H";0;"woonfunctie|kantoorfunctie";"kantoor";"Kantoren";"K";74;0;0;"POINT(4.853315,52.368051)";"POINT(52.368051,4.853315)";4.853315;52.368051;
11691;"winkel";0;"0363010000674568";"Hudsonstraat 126";0;"winkelfunctie";"winkel";"Detailhandel";"D";79;0;0;"POINT(4.853225,52.368222)";"POINT(52.368222,4.853225)";4.853225;52.368222;
11692;"café / bar / restaurant";0;"0363010000674619";"Hudsonstraat 138";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";57;0;0;"POINT(4.853013,52.36876)";"POINT(52.36876,4.853013)";4.853013;52.36876;
11693;"café / bar / restaurant";0;"0363010000674624";"Hudsonstraat 140";0;"woonfunctie|bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";43;0;0;"POINT(4.852805,52.368966)";"POINT(52.368966,4.852805)";4.852805;52.368966;
11694;"winkel";0;"0363010000674645";"Hudsonstraat 146";0;"winkelfunctie|woonfunctie";"winkel";"Detailhandel";"D";44;0;0;"POINT(4.85273,52.369136)";"POINT(52.369136,4.85273)";4.85273;52.369136;
11695;"winkel";0;"0363010000674650";"Hudsonstraat 148";0;"winkelfunctie";"winkel";"Detailhandel";"D";77;0;0;"POINT(4.852579,52.369441)";"POINT(52.369441,4.852579)";4.852579;52.369441;
11696;"winkel";0;"0363010000674655";"Hudsonstraat 150";0;"winkelfunctie";"winkel";"Detailhandel";"D";0;0;0;"POINT(4.852564,52.369495)";"POINT(52.369495,4.852564)";4.852564;52.369495;
11697;"winkel";0;"0363010000797868";"Hudsonstraat 152/H";0;"industriefunctie";"winkel";"Detailhandel";"D";47;0;0;"POINT(4.852548,52.369558)";"POINT(52.369558,4.852548)";4.852548;52.369558;
11698;"café / bar / restaurant";0;"0363010000797926";"Hudsonstraat 154/H";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";45;0;0;"POINT(4.852519,52.369603)";"POINT(52.369603,4.852519)";4.852519;52.369603;
11699;"winkel";0;"0363010000674659";"Hudsonstraat 155/H";0;"kantoorfunctie";"winkel";"Detailhandel";"D";90;0;0;"POINT(4.8523,52.369422)";"POINT(52.369422,4.8523)";4.8523;52.369422;
11700;"café / bar / restaurant";0;"0363010000674663";"Hudsonstraat 156";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";30;0;0;"POINT(4.852474,52.369647)";"POINT(52.369647,4.852474)";4.852474;52.369647;
11701;"kantoor";0;"0363010000674668";"Hudsonstraat 158";0;"winkelfunctie";"kantoor";"Kantoren";"K";25;0;0;"POINT(4.852444,52.369701)";"POINT(52.369701,4.852444)";4.852444;52.369701;
11702;"winkel";0;"0363010000674174";"Hudsonstraat 2";0;"winkelfunctie|woonfunctie";"winkel";"Detailhandel";"D";43;0;0;"POINT(4.854342,52.364452)";"POINT(52.364452,4.854342)";4.854342;52.364452;
11703;"kantoor";0;"0363010000674787";"Hugo de Grootkade 11/H";0;"industriefunctie";"kantoor";"Kantoren";"K";232;0;0;"POINT(4.871882,52.372412)";"POINT(52.372412,4.871882)";4.871882;52.372412;
11704;"kantoor";0;"0363010012073641";"Hugo de Grootkade 30/H";0;"kantoorfunctie";"kantoor";"Kantoren";"K";620;0;0;"POINT(4.872784,52.373134)";"POINT(52.373134,4.872784)";4.872784;52.373134;
11705;"café / bar / restaurant";0;"0363010000674929";"Hugo de Grootplein 1";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";47;0;0;"POINT(4.873225,52.374386)";"POINT(52.374386,4.873225)";4.873225;52.374386;
11706;"café / bar / restaurant";0;"0363010000674962";"Hugo de Grootplein 10/H";0;"bijeenkomstfunctie";"café / bar / restaurant";"Horeca";"H";97;0;0;"POINT(4.873235,52.374853)";"POINT(52.374853,4.873235)";4.873235;52.374853;
11707;"café / bar / restaurant";0;"0363010000674971";"Hugo de Grootplein 13/H";0;"winkelfunctie";"café / bar / restaurant";"Horeca";"H";128;0;0;"POINT(4.872845,52.374285)";"POINT(52.374285,4.872845)";4.872845;52.374285;
11708;"winkel";0;"0363010000674975";"Hugo de Grootplein 14/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";82;0;0;"POINT(4.872587,52.375012)";"POINT(52.375012,4.872587)";4.872587;52.375012;
11709;"café / bar / restaurant";0;"0363010000674982";"Hugo de Grootplein 16/H";0;"winkelfunctie";"café / bar / restaurant";"Horeca";"H";53;0;0;"POINT(4.872499,52.375003)";"POINT(52.375003,4.872499)";4.872499;52.375003;
11710;"winkel";0;"0363010012101672";"Hugo de Grootplein 17";0;"winkelfunctie";"winkel";"Detailhandel";"D";232;0;0;"POINT(4.872166,52.37457)";"POINT(52.37457,4.872166)";4.872166;52.37457;
11711;"winkel";0;"0363010000674986";"Hugo de Grootplein 18/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";60;0;0;"POINT(4.872411,52.374975)";"POINT(52.374975,4.872411)";4.872411;52.374975;
11712;"winkel";0;"0363010000674930";"Hugo de Grootplein 2";0;"winkelfunctie";"winkel";"Detailhandel";"D";53;0;0;"POINT(4.873369,52.374665)";"POINT(52.374665,4.873369)";4.873369;52.374665;
11713;"winkel";0;"0363010000674990";"Hugo de Grootplein 20/H";0;"winkelfunctie";"winkel";"Detailhandel";"D";77;0;0;"POINT(4.872352,52.374957)";"POINT(52.374957,4.872352)";4.872352;52.374957;
11714;"winkel";0;"0363010000674994";"Hugo de Grootplein 22";0;"winkelfunctie";"winkel";"Detailhandel";"D";84;0;0;"POINT(4.872235,52.374912)";"POINT(52.374912,4.872235)";4.872235;52.374912;
