OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
737;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"19";"18";"21";"0 exemplaren";"54";"POINT(4.8445871,52.3750311)";"POINT(52.3750311,4.8445871)";4.8445871;52.3750311;
738;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"35";"26";"17";"";"16";"POINT(4.8446162,52.3750311)";"POINT(52.3750311,4.8446162)";4.8446162;52.3750311;
739;"BE_1838";"Koningsvaren";"Osmunda regalis";"Ja";"F1";"";"Westlandgracht";"Windtunnelkade";"";"";"";"";"";"1";"POINT(4.8453939,52.3438155)";"POINT(52.3438155,4.8453939)";4.8453939;52.3438155;
740;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"Windtunnelkade";"";"";"";"1";"";"1";"POINT(4.8454082,52.3438155)";"POINT(52.3438155,4.8454082)";4.8454082;52.3438155;
741;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"Windtunnelkade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8454101,52.3436514)";"POINT(52.3436514,4.8454101)";4.8454101;52.3436514;
742;"NB_1074";"Vijgenboom";"Ficus carica";"Ja";"";"";"Erasmusgracht";"Erasmusgracht";"";"1";"";"";"";"0 exemplaren";"POINT(4.8460109,52.3750922)";"POINT(52.3750922,4.8460109)";4.8460109;52.3750922;
743;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"237";"";"422";"";"488";"POINT(4.8463681,52.3553588)";"POINT(52.3553588,4.8463681)";4.8463681;52.3553588;
744;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"";"1";"1";"";"1";"POINT(4.8461282,52.3751036)";"POINT(52.3751036,4.8461282)";4.8461282;52.3751036;
745;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"9";"9";"7";"";"38";"POINT(4.8462312,52.3751227)";"POINT(52.3751227,4.8462312)";4.8462312;52.3751227;
746;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"";"";"1";"";"1";"POINT(4.8466179,52.3553511)";"POINT(52.3553511,4.8466179)";4.8466179;52.3553511;
747;"NB_2638";"Moerasvaren";"Thelypteris palustris";"Ja";"";"";"Westlandgracht";"De Bockstraat";"";"0 exemplaren";"";"1";"";"1";"POINT(4.8467648,52.3553511)";"POINT(52.3553511,4.8467648)";4.8467648;52.3553511;
748;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"";"";"";"";"1";"POINT(4.8469999,52.3553511)";"POINT(52.3553511,4.8469999)";4.8469999;52.3553511;
749;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"1";"1";"1";"";"0 exemplaren";"POINT(4.8469932,52.3752524)";"POINT(52.3752524,4.8469932)";4.8469932;52.3752524;
750;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"7";"";"14";"";"18";"POINT(4.8472779,52.3553511)";"POINT(52.3553511,4.8472779)";4.8472779;52.3553511;
751;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"1";"";"1";"";"2";"POINT(4.8474548,52.3553626)";"POINT(52.3553626,4.8474548)";4.8474548;52.3553626;
752;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"Brug Woestduinstraat";"695";"6";"";"1";"";"13";"POINT(4.8479679,52.3553664)";"POINT(52.3553664,4.8479679)";4.8479679;52.3553664;
753;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"2";"5";"12";"0 exemplaren";"9";"POINT(4.8477251,52.3753974)";"POINT(52.3753974,4.8477251)";4.8477251;52.3753974;
754;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"7";"15";"17";"";"28";"POINT(4.8477251,52.3753974)";"POINT(52.3753974,4.8477251)";4.8477251;52.3753974;
755;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"4";"1";"2";"";"1";"POINT(4.8479011,52.3754355)";"POINT(52.3754355,4.8479011)";4.8479011;52.3754355;
756;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"";"";"";"";"2";"POINT(4.8481591,52.3553588)";"POINT(52.3553588,4.8481591)";4.8481591;52.3553588;
757;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"173";"144";"186";"0 exemplaren";"218";"POINT(4.8479588,52.3754431)";"POINT(52.3754431,4.8479588)";4.8479588;52.3754431;
758;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"0 exemplaren";"8";"8";"";"1";"POINT(4.8480031,52.3754546)";"POINT(52.3754546,4.8480031)";4.8480031;52.3754546;
759;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"";"";"";"";"1";"POINT(4.8482621,52.3553588)";"POINT(52.3553588,4.8482621)";4.8482621;52.3553588;
760;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"7";"24";"2";"0 exemplaren";"12";"POINT(4.848047,52.3754622)";"POINT(52.3754622,4.848047)";4.848047;52.3754622;
761;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"";"";"";"";"2";"POINT(4.8483059,52.3553588)";"POINT(52.3553588,4.8483059)";4.8483059;52.3553588;
762;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"";"";"3";"";"0 exemplaren";"POINT(4.8480771,52.3754698)";"POINT(52.3754698,4.8480771)";4.8480771;52.3754698;
763;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"1";"2";"1";"";"3";"POINT(4.8481648,52.3754813)";"POINT(52.3754813,4.8481648)";4.8481648;52.3754813;
764;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Erasmusgracht";"Erasmusgracht";"";"";"2";"3";"0 exemplaren";"12";"POINT(4.8481939,52.3754889)";"POINT(52.3754889,4.8481939)";4.8481939;52.3754889;
765;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"";"";"";"";"1";"POINT(4.8486292,52.3553664)";"POINT(52.3553664,4.8486292)";4.8486292;52.3553664;
766;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"1";"";"";"";"0 exemplaren";"POINT(4.8487761,52.3553702)";"POINT(52.3553702,4.8487761)";4.8487761;52.3553702;
767;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"";"";"";"";"3";"POINT(4.8490541,52.3553626)";"POINT(52.3553626,4.8490541)";4.8490541;52.3553626;
768;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Westlandgracht";"De Bockstraat";"";"45";"";"78";"";"97";"POINT(4.8491418,52.3553702)";"POINT(52.3553702,4.8491418)";4.8491418;52.3553702;
769;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8492372,52.3632895)";"POINT(52.3632895,4.8492372)";4.8492372;52.3632895;
770;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8500378,52.3638426)";"POINT(52.3638426,4.8500378)";4.8500378;52.3638426;
771;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8502948,52.3632132)";"POINT(52.3632132,4.8502948)";4.8502948;52.3632132;
772;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8504569,52.3632132)";"POINT(52.3632132,4.8504569)";4.8504569;52.3632132;
773;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"";"";"";"";"1";"POINT(4.8507798,52.3632132)";"POINT(52.3632132,4.8507798)";4.8507798;52.3632132;
774;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.850971,52.3632247)";"POINT(52.3632247,4.850971)";4.850971;52.3632247;
775;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8513672,52.3632285)";"POINT(52.3632285,4.8513672)";4.8513672;52.3632285;
776;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8519099,52.3632666)";"POINT(52.3632666,4.8519099)";4.8519099;52.3632666;
777;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"";"";"";"";"1";"POINT(4.8523028,52.3635565)";"POINT(52.3635565,4.8523028)";4.8523028;52.3635565;
778;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8526428,52.3633505)";"POINT(52.3633505,4.8526428)";4.8526428;52.3633505;
779;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Schinkel";"Brug Th.deBockstraat";"360";"";"";"1";"";"0 exemplaren";"POINT(4.8533618,52.3548247)";"POINT(52.3548247,4.8533618)";4.8533618;52.3548247;
780;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Schinkel";"Schinkelhavenkade";"";"";"";"1";"";"";"POINT(4.8535058,52.3538176)";"POINT(52.3538176,4.8535058)";4.8535058;52.3538176;
781;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Schinkel";"Brug Th.deBockstraat";"360";"";"";"";"";"1";"POINT(4.853802,52.3548361)";"POINT(52.3548361,4.853802)";4.853802;52.3548361;
782;"NB_990";"Muurfijnstraal";"Erigeron karvinskianus";"Ja";"";"";"Schinkel";"Schinkelhavenkade";"";"";"";"5";"";"0 exemplaren";"POINT(4.8539011,52.3551032)";"POINT(52.3551032,4.8539011)";4.8539011;52.3551032;
783;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Schinkel";"Amstelveenseweg";"";"";"";"1";"";"0 exemplaren";"POINT(4.85448,52.357041)";"POINT(52.357041,4.85448)";4.85448;52.357041;
784;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kostverlorenvaart";"3e Kostverlorenkade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8553908,52.3581931)";"POINT(52.3581931,4.8553908)";4.8553908;52.3581931;
785;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Postjeskade";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8554432,52.3636862)";"POINT(52.3636862,4.8554432)";4.8554432;52.3636862;
786;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Stadiongracht";"Karperweg";"";"64";"";"94";"";"58";"POINT(4.8558152,52.3472945)";"POINT(52.3472945,4.8558152)";4.8558152;52.3472945;
787;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Stadiongracht";"Karperweg";"";"11";"";"10";"";"3";"POINT(4.8560049,52.3473212)";"POINT(52.3473212,4.8560049)";4.8560049;52.3473212;
788;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kostverlorenvaart";"3e Kostverlorenkade";"";"";"";"1";"";"3";"POINT(4.8559258,52.358853)";"POINT(52.358853,4.8559258)";4.8559258;52.358853;
789;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Admiralengracht";"Brug Evertsenstraat";"359";"1";"1";"1";"1";"10";"POINT(4.8563802,52.3712203)";"POINT(52.3712203,4.8563802)";4.8563802;52.3712203;
790;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Admiralengracht";"Brug Evertsenstraat";"359";"15";"17";"20";"18";"26";"POINT(4.8566592,52.3712699)";"POINT(52.3712699,4.8566592)";4.8566592;52.3712699;
791;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kostverlorenvaart";"3e Kostverlorenkade";"";"";"";"";"";"1";"POINT(4.8568518,52.3599898)";"POINT(52.3599898,4.8568518)";4.8568518;52.3599898;
792;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kostverlorenvaart";"3e Kostverlorenkade";"";"";"";"1";"";"1";"POINT(4.8572848,52.3606001)";"POINT(52.3606001,4.8572848)";4.8572848;52.3606001;
793;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Postjeswetering";"Brug Baarsjesweg";"186";"2";"";"1";"";"0 exemplaren";"POINT(4.8580339,52.3643004)";"POINT(52.3643004,4.8580339)";4.8580339;52.3643004;
794;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kostverlorenvaart";"Baarsjesweg";"";"";"";"1";"";"0 exemplaren";"POINT(4.8580549,52.3625571)";"POINT(52.3625571,4.8580549)";4.8580549;52.3625571;
795;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kostverlorenvaart";"Baarsjesweg";"";"";"";"";"";"1";"POINT(4.8581421,52.3626715)";"POINT(52.3626715,4.8581421)";4.8581421;52.3626715;
796;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kostverlorenvaart";"Baarsjesweg";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8585241,52.3638503)";"POINT(52.3638503,4.8585241)";4.8585241;52.3638503;
797;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"";"";"2";"POINT(4.8585498,52.3616683)";"POINT(52.3616683,4.8585498)";4.8585498;52.3616683;
798;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"2";"";"1";"";"0 exemplaren";"POINT(4.858608,52.3616873)";"POINT(52.3616873,4.858608)";4.858608;52.3616873;
799;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"0 exemplaren";"";"0 exemplaren";"POINT(4.8586199,52.3619277)";"POINT(52.3619277,4.8586199)";4.8586199;52.3619277;
800;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"10";"";"23";"";"11";"POINT(4.8587248,52.361714)";"POINT(52.361714,4.8587248)";4.8587248;52.361714;
801;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"60";"";"3";"";"3";"POINT(4.858825,52.3619734)";"POINT(52.3619734,4.858825)";4.858825;52.3619734;
802;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"";"";"0 exemplaren";"POINT(4.8588431,52.3617407)";"POINT(52.3617407,4.8588431)";4.8588431;52.3617407;
803;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"0 exemplaren";"";"4";"";"2";"POINT(4.8589599,52.3617789)";"POINT(52.3617789,4.8589599)";4.8589599;52.3617789;
804;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Noorder Amstelkanaal";"Brug Marathonweg";"411";"";"";"";"";"4";"POINT(4.8598339,52.3486792)";"POINT(52.3486792,4.8598339)";4.8598339;52.3486792;
805;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"Brug Kinkerstraat";"266";"1";"";"1";"";"0 exemplaren";"POINT(4.8597782,52.3645407)";"POINT(52.3645407,4.8597782)";4.8597782;52.3645407;
806;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Westelijk Marktkanaal";"Den Brielstraat";"";"4";"";"3";"";"1";"POINT(4.8596432,52.3833319)";"POINT(52.3833319,4.8596432)";4.8596432;52.3833319;
807;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Coenhaven";"Coenhaven";"";"1";"";"";"";"";"POINT(4.8593781,52.4056288)";"POINT(52.4056288,4.8593781)";4.8593781;52.4056288;
808;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Brug Langendijkstraat";"145";"2";"";"";"";"0 exemplaren";"POINT(4.8599532,52.3622328)";"POINT(52.3622328,4.8599532)";4.8599532;52.3622328;
809;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Stadiongracht=Noorderamstelkanaal";"Brug Kochstraat";"411";"";"";"4";"";"0 exemplaren";"POINT(4.8601878,52.3485724)";"POINT(52.3485724,4.8601878)";4.8601878;52.3485724;
810;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Jacob van Lennepkanaal";"Brug Langendijkstraat";"145";"";"";"2";"";"0 exemplaren";"POINT(4.860172,52.3622595)";"POINT(52.3622595,4.860172)";4.860172;52.3622595;
811;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"De Rijpgracht";"De Rijpgracht";"";"3";"";"3";"";"4";"POINT(4.8600399,52.3771178)";"POINT(52.3771178,4.8600399)";4.8600399;52.3771178;
812;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westelijk Marktkanaal";"Den Brielstraat";"";"1";"";"4";"";"1";"POINT(4.8599989,52.3830382)";"POINT(52.3830382,4.8599989)";4.8599989;52.3830382;
813;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"De Rijpgracht";"De Rijpgracht";"";"";"";"";"";"1";"POINT(4.86007,52.3771178)";"POINT(52.3771178,4.86007)";4.86007;52.3771178;
814;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"10";"";"69";"";"43";"POINT(4.8604209,52.3623587)";"POINT(52.3623587,4.8604209)";4.8604209;52.3623587;
815;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"De Rijpgracht";"De Rijpgracht";"";"";"";"";"";"1";"POINT(4.8604071,52.3771636)";"POINT(52.3771636,4.8604071)";4.8604071;52.3771636;
816;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"1";"";"1";"POINT(4.8606722,52.3621909)";"POINT(52.3621909,4.8606722)";4.8606722;52.3621909;
817;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"6";"";"17";"";"12";"POINT(4.8607161,52.3621985)";"POINT(52.3621985,4.8607161)";4.8607161;52.3621985;
818;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westelijk Marktkanaal";"Den Brielstraat";"";"13";"";"19";"";"7";"POINT(4.8606641,52.3827445)";"POINT(52.3827445,4.8606641)";4.8606641;52.3827445;
819;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"1";"";"0 exemplaren";"POINT(4.8609359,52.3622557)";"POINT(52.3622557,4.8609359)";4.8609359;52.3622557;
820;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"De Rijpgracht";"De Rijpgracht";"";"";"";"";"";"1";"POINT(4.8608882,52.3774611)";"POINT(52.3774611,4.8608882)";4.8608882;52.3774611;
821;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"2";"";"4";"";"1";"POINT(4.8611991,52.3623091)";"POINT(52.3623091,4.8611991)";4.8611991;52.3623091;
822;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"2";"";"12";"";"4";"POINT(4.8611991,52.3623091)";"POINT(52.3623091,4.8611991)";4.8611991;52.3623091;
823;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Westelijk Marktkanaal";"Den Brielstraat";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8609741,52.3825652)";"POINT(52.3825652,4.8609741)";4.8609741;52.3825652;
824;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"De Rijpgracht";"De Rijpgracht";"";"0 exemplaren";"";"1";"";"0 exemplaren";"POINT(4.8612692,52.3775069)";"POINT(52.3775069,4.8612692)";4.8612692;52.3775069;
825;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"5";"";"28";"";"12";"POINT(4.8614919,52.3623816)";"POINT(52.3623816,4.8614919)";4.8614919;52.3623816;
826;"NB_2638";"Moerasvaren";"Thelypteris palustris";"Ja";"";"";"De Rijpgracht";"De Rijpgracht";"";"";"";"";"";"1";"POINT(4.861357,52.377526)";"POINT(52.377526,4.861357)";4.861357;52.377526;
827;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"2";"";"0 exemplaren";"POINT(4.8617852,52.3624579)";"POINT(52.3624579,4.8617852)";4.8617852;52.3624579;
828;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Straringstraat";"";"1";"";"1";"";"0 exemplaren";"POINT(4.8618138,52.3624655)";"POINT(52.3624655,4.8618138)";4.8618138;52.3624655;
829;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Staringstraat";"";"1";"";"3";"";"0 exemplaren";"POINT(4.8621218,52.362538)";"POINT(52.362538,4.8621218)";4.8621218;52.362538;
830;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"3";"";"4";"";"1";"POINT(4.8625462,52.3626372)";"POINT(52.3626372,4.8625462)";4.8625462;52.3626372;
831;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"2";"";"1";"";"3";"POINT(4.8626931,52.3626753)";"POINT(52.3626753,4.8626931)";4.8626931;52.3626753;
832;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"1";"";"1";"POINT(4.8633492,52.3630568)";"POINT(52.3630568,4.8633492)";4.8633492;52.3630568;
833;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Brug Jan Pieter Heijestraat";"140";"3";"";"";"";"0 exemplaren";"POINT(4.8635681,52.3631026)";"POINT(52.3631026,4.8635681)";4.8635681;52.3631026;
834;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Jacob van Lennepkanaal";"Brug Jan Pieter Heijestraat";"140";"";"";"";"";"0 exemplaren";"POINT(4.8639052,52.3631751)";"POINT(52.3631751,4.8639052)";4.8639052;52.3631751;
835;"BE_2100";"Gele helmbloem";"Pseudofumaria lutea";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"";"";"0 exemplaren";"POINT(4.8641832,52.3632552)";"POINT(52.3632552,4.8641832)";4.8641832;52.3632552;
836;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Coenhaven";"Coenhavenweg";"";"1";"";"";"";"0 exemplaren";"POINT(4.8638742,52.4081847)";"POINT(52.4081847,4.8638742)";4.8638742;52.4081847;
837;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"";"";"";"";"1";"POINT(4.8647282,52.3631598)";"POINT(52.3631598,4.8647282)";4.8647282;52.3631598;
838;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Jacob van Lennepkanaal";"Jacob van Lennepkade";"";"1";"";"1";"";"0 exemplaren";"POINT(4.864886,52.3634307)";"POINT(52.3634307,4.864886)";4.864886;52.3634307;
839;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"2e Kostverlorenkade";"";"";"";"1";"";"0 exemplaren";"POINT(4.864857,52.3696601)";"POINT(52.3696601,4.864857)";4.864857;52.3696601;
840;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"2e Kostverlorenkade";"";"1";"";"1";"";"2";"POINT(4.8649151,52.3697058)";"POINT(52.3697058,4.8649151)";4.8649151;52.3697058;
841;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"2e Kostverlorenkade";"";"";"";"1";"";"1";"POINT(4.8650739,52.3698927)";"POINT(52.3698927,4.8650739)";4.8650739;52.3698927;
842;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Kosterlorenvaart";"Brug De Clerqstraat";"173";"1";"";"";"";"0 exemplaren";"POINT(4.8653061,52.3701636)";"POINT(52.3701636,4.8653061)";4.8653061;52.3701636;
843;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Kosterlorenvaart";"2e Kostverlorenkade";"";"";"";"";"";"5";"POINT(4.8655531,52.370381)";"POINT(52.370381,4.8655531)";4.8655531;52.370381;
