OBJECTNUMMER;SELECTIE;Nederlandse_naam;Wetenschappelijke_naam;Kademuur;Beschermd;Rode_lijst;Water;Straat;Brugnummer;Aantal_in_2009;Aantal_in_2010;Aantal_in_2011;Aantal_in_2012;Aantal_in_2013;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
148;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Noord-Hollandsch kanaal";"Meeuwenlaan";"SLU";"";"";"1";"0 exemplaren";"0 exemplaren";"POINT(4.9083288,52.3823897)";"POINT(52.3823897,4.9083288)";4.9083288;52.3823897;
149;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Noord-Hollandsch kanaal";"Meeuwenlaan (Willem-III-sluis)";"SLU";"";"";"3";"0 exemplaren";"0 exemplaren";"POINT(4.9083431,52.3823973)";"POINT(52.3823973,4.9083431)";4.9083431;52.3823973;
150;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Mauritskade";"263";"";"";"";"6";"0 exemplaren";"POINT(4.9086502,52.360768)";"POINT(52.360768,4.9086502)";4.9086502;52.360768;
151;"NB_600";"Spoorbloem";"Centranthus ruber";"Ja";"";"";"Noord-Hollandsch kanaal";"Sixhavenweg (Willem-III-sluis)";"SLU";"";"";"1";"0 exemplaren";"0 exemplaren";"POINT(4.9084418,52.3827407)";"POINT(52.3827407,4.9084418)";4.9084418;52.3827407;
152;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Singelgracht";"Mauritskade";"263";"38";"";"32";"24";"26";"POINT(4.9088581,52.3605086)";"POINT(52.3605086,4.9088581)";4.9088581;52.3605086;
153;"BE_284";"Zwartsteel";"Asplenium adiantum-nigrum";"Ja";"F2";"";"Nieuwe Prinsengracht";"Nieuwe Prinsengracht";"";"";"";"";"";"5";"POINT(4.9089692,52.3638159)";"POINT(52.3638159,4.9089692)";4.9089692;52.3638159;
154;"BE_290";"Steenbreekvaren";"Asplenium trichomanes";"Ja";"F2";"";"Nieuwe Prinsengracht";"Nieuwe Prinsengracht";"";"75";"";"";"4";"10";"POINT(4.9089839,52.3638236)";"POINT(52.3638236,4.9089839)";4.9089839;52.3638236;
155;"BE_288";"Tongvaren";"Asplenium scolopendrium";"Ja";"F2";"";"Noord-Hollandsch kanaal";"Meeuwenlaan";"SLU";"3";"";"4";"0 exemplaren";"0 exemplaren";"POINT(4.9089549,52.3828513)";"POINT(52.3828513,4.9089549)";4.9089549;52.3828513;
156;"NB_2638";"Moerasvaren";"Thelypteris palustris";"Ja";"";"";"Singelgracht";"Mauritskade";"";"";"";"";"1";"1";"POINT(4.90924,52.3604895)";"POINT(52.3604895,4.90924)";4.90924;52.3604895;
157;"BE_826";"Blaasvaren";"Cystopteris fragilis";"Ja";"F2";"BE";"Kadoelerbreek";"Landsmeerderdijk";"";"40";"48";"50";"";"24";"POINT(4.9088199,52.4090125)";"POINT(52.4090125,4.9088199)";4.9088199;52.4090125;
