OBJECTNUMMER;Banknummer;Huidig_type;Definitief_type;Definitief_foto;Geadopteerd;Tekstplaat;Rotatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"04.01";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";14;"Zitbank";"POINT(4.856252,52.354662)";"POINT(52.354662,4.856252)";4.856252;52.354662;
2;"04.02";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";355;"Zitbank";"POINT(4.856311,52.354658)";"POINT(52.354658,4.856311)";4.856311;52.354658;
3;"04.03";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar";"";340;"Zitbank";"POINT(4.856363,52.354664)";"POINT(52.354664,4.856363)";4.856363;52.354664;
4;"04.04";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-04.jpg";319;"Zitbank";"POINT(4.856417,52.354684)";"POINT(52.354684,4.856417)";4.856417;52.354684;
5;"04.05";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-05.jpg";300;"Zitbank";"POINT(4.856457,52.354711)";"POINT(52.354711,4.856457)";4.856457;52.354711;
6;"04.06";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-06.jpg";286;"Zitbank";"POINT(4.856478,52.35474)";"POINT(52.35474,4.856478)";4.856478;52.35474;
7;"04.08";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-08.jpg";227;"Zitbank";"POINT(4.856436,52.354848)";"POINT(52.354848,4.856436)";4.856436;52.354848;
8;"04.09";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-09.jpg";208;"Zitbank";"POINT(4.856392,52.354869)";"POINT(52.354869,4.856392)";4.856392;52.354869;
9;"04.10";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-10.jpg";192;"Zitbank";"POINT(4.856337,52.354882)";"POINT(52.354882,4.856337)";4.856337;52.354882;
10;"10.01";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";210;"Zitbank";"POINT(4.856163,52.355465)";"POINT(52.355465,4.856163)";4.856163;52.355465;
11;"10.06";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";130;"Zitbank";"POINT(4.855727,52.356247)";"POINT(52.356247,4.855727)";4.855727;52.356247;
12;"10.07";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";130;"Zitbank";"POINT(4.855756,52.356269)";"POINT(52.356269,4.855756)";4.855756;52.356269;
13;"10.13";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-13.jpg";186;"Zitbank";"POINT(4.858408,52.356627)";"POINT(52.356627,4.858408)";4.858408;52.356627;
14;"10.14";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-14.jpg";186;"Zitbank";"POINT(4.858457,52.356624)";"POINT(52.356624,4.858457)";4.858457;52.356624;
15;"10.17";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-17.jpg";177;"Zitbank";"POINT(4.858852,52.356629)";"POINT(52.356629,4.858852)";4.858852;52.356629;
16;"10.18";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-18.jpg";177;"Zitbank";"POINT(4.8589,52.356631)";"POINT(52.356631,4.8589)";4.8589;52.356631;
17;"10.20";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";157;"Zitbank";"POINT(4.858844,52.357105)";"POINT(52.357105,4.858844)";4.858844;52.357105;
18;"10.21";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";158;"Zitbank";"POINT(4.858957,52.357132)";"POINT(52.357132,4.858957)";4.858957;52.357132;
19;"10.22";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";158;"Zitbank";"POINT(4.859067,52.357161)";"POINT(52.357161,4.859067)";4.859067;52.357161;
20;"10.19";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-19.jpg";109;"Zitbank";"POINT(4.859309,52.357006)";"POINT(52.357006,4.859309)";4.859309;52.357006;
21;"10.23";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";159;"Zitbank";"POINT(4.860148,52.357432)";"POINT(52.357432,4.860148)";4.860148;52.357432;
22;"10.24";"Canapé";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";159;"Zitbank";"POINT(4.860257,52.357458)";"POINT(52.357458,4.860257)";4.860257;52.357458;
23;"10.26";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";126;"Zitbank";"POINT(4.860864,52.357361)";"POINT(52.357361,4.860864)";4.860864;52.357361;
24;"10.27";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-27.jpg";122;"Zitbank";"POINT(4.860889,52.357384)";"POINT(52.357384,4.860889)";4.860889;52.357384;
25;"10.28";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Beschikbaar";"";157;"Zitbank";"POINT(4.861779,52.35784)";"POINT(52.35784,4.861779)";4.861779;52.35784;
26;"10.29";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-29.jpg";157;"Zitbank";"POINT(4.861889,52.357866)";"POINT(52.357866,4.861889)";4.861889;52.357866;
27;"10.30";"Platanenbank";"Platanenbank";"platanenbank.jpg";"Ja";"TP-10-30.jpg";157;"Zitbank";"POINT(4.861998,52.357895)";"POINT(52.357895,4.861998)";4.861998;52.357895;
28;"05.20";"Parkietenbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-20.jpg";110;"Zitbank";"POINT(4.856345,52.356217)";"POINT(52.356217,4.856345)";4.856345;52.356217;
29;"05.30";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";72;"Zitbank";"POINT(4.856322,52.355772)";"POINT(52.355772,4.856322)";4.856322;52.355772;
30;"05.18";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";72;"Zitbank";"POINT(4.856382,52.355676)";"POINT(52.355676,4.856382)";4.856382;52.355676;
31;"05.17";"Nog niet geplaatst";"Reigerbank";"reigerbank.jpg";"Beschikbaar, nog niet geplaatst";"";46;"Zitbank";"POINT(4.856578,52.355514)";"POINT(52.355514,4.856578)";4.856578;52.355514;
32;"09.11";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";182;"Zitbank";"POINT(4.857946,52.355168)";"POINT(52.355168,4.857946)";4.857946;52.355168;
33;"09.12";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";181;"Zitbank";"POINT(4.857997,52.355166)";"POINT(52.355166,4.857997)";4.857997;52.355166;
34;"09.09";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";1;"Zitbank";"POINT(4.858096,52.355149)";"POINT(52.355149,4.858096)";4.858096;52.355149;
35;"09.10";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";1;"Zitbank";"POINT(4.85814,52.355149)";"POINT(52.355149,4.85814)";4.85814;52.355149;
36;"06.01";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";205;"Zitbank";"POINT(4.858269,52.354793)";"POINT(52.354793,4.858269)";4.858269;52.354793;
37;"06.02";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";205;"Zitbank";"POINT(4.858305,52.354783)";"POINT(52.354783,4.858305)";4.858305;52.354783;
38;"09.13";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";347;"Zitbank";"POINT(4.859059,52.355102)";"POINT(52.355102,4.859059)";4.859059;52.355102;
39;"09.14";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";345;"Zitbank";"POINT(4.859195,52.355126)";"POINT(52.355126,4.859195)";4.859195;52.355126;
40;"06.04";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-04.jpg";158;"Zitbank";"POINT(4.859501,52.354806)";"POINT(52.354806,4.859501)";4.859501;52.354806;
41;"09.15";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";336;"Zitbank";"POINT(4.859645,52.355358)";"POINT(52.355358,4.859645)";4.859645;52.355358;
42;"09.16";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";336;"Zitbank";"POINT(4.859722,52.355379)";"POINT(52.355379,4.859722)";4.859722;52.355379;
43;"09.17";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";336;"Zitbank";"POINT(4.859769,52.355392)";"POINT(52.355392,4.859769)";4.859769;52.355392;
44;"06.07";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";296;"Zitbank";"POINT(4.86032,52.355251)";"POINT(52.355251,4.86032)";4.86032;52.355251;
45;"06.06";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";297;"Zitbank";"POINT(4.860301,52.355227)";"POINT(52.355227,4.860301)";4.860301;52.355227;
46;"05.15";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";162;"Zitbank";"POINT(4.860005,52.356501)";"POINT(52.356501,4.860005)";4.860005;52.356501;
47;"05.14";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";160;"Zitbank";"POINT(4.860052,52.356512)";"POINT(52.356512,4.860052)";4.860052;52.356512;
48;"05.16";"Parkietenbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-16.jpg";45;"Zitbank";"POINT(4.859796,52.356201)";"POINT(52.356201,4.859796)";4.859796;52.356201;
49;"09.21";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Ja";"TP-09-21.jpg";349;"Zitbank";"POINT(4.862546,52.355995)";"POINT(52.355995,4.862546)";4.862546;52.355995;
50;"09.22";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";350;"Zitbank";"POINT(4.862612,52.356003)";"POINT(52.356003,4.862612)";4.862612;52.356003;
51;"09.23";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";351;"Zitbank";"POINT(4.86302,52.356134)";"POINT(52.356134,4.86302)";4.86302;52.356134;
52;"09.24";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";354;"Zitbank";"POINT(4.863482,52.356168)";"POINT(52.356168,4.863482)";4.863482;52.356168;
53;"09.25";"Canapé";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";354;"Zitbank";"POINT(4.863529,52.356171)";"POINT(52.356171,4.863529)";4.863529;52.356171;
54;"09.27";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Ja";"TP-09-27.jpg";176;"Zitbank";"POINT(4.863825,52.356088)";"POINT(52.356088,4.863825)";4.863825;52.356088;
55;"09.26";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";176;"Zitbank";"POINT(4.863774,52.356086)";"POINT(52.356086,4.863774)";4.863774;52.356086;
56;"09.28";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";354;"Zitbank";"POINT(4.865018,52.356103)";"POINT(52.356103,4.865018)";4.865018;52.356103;
57;"09.29";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar";"";354;"Zitbank";"POINT(4.865067,52.356108)";"POINT(52.356108,4.865067)";4.865067;52.356108;
58;"09.30";"Vleugelnootbank";"Vleugelnootbank";"vleugelnootbank.jpg";"Ja";"TP-09-30.jpg";351;"Zitbank";"POINT(4.865098,52.35624)";"POINT(52.35624,4.865098)";4.865098;52.35624;
59;"09.31";"Nog niet geplaatst";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar, nog niet geplaatst";"";350;"Zitbank";"POINT(4.865397,52.356267)";"POINT(52.356267,4.865397)";4.865397;52.356267;
60;"09.32";"Nog niet geplaatst";"Vleugelnootbank";"vleugelnootbank.jpg";"Beschikbaar, nog niet geplaatst";"";169;"Zitbank";"POINT(4.865534,52.356188)";"POINT(52.356188,4.865534)";4.865534;52.356188;
61;"06.10";"Reigerbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-10v2.jpg";158;"Zitbank";"POINT(4.86552,52.355624)";"POINT(52.355624,4.86552)";4.86552;52.355624;
62;"06.11";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-10.jpg";152;"Zitbank";"POINT(4.865762,52.355689)";"POINT(52.355689,4.865762)";4.865762;52.355689;
63;"06.12";"Canapé";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-12.jpg";153;"Zitbank";"POINT(4.865806,52.355703)";"POINT(52.355703,4.865806)";4.865806;52.355703;
64;"06.08";"Nog niet geplaatst";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar, nog niet geplaatst";"";223;"Zitbank";"POINT(4.86478,52.355647)";"POINT(52.355647,4.86478)";4.86478;52.355647;
65;"06.09";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-09.jpg";219;"Zitbank";"POINT(4.864816,52.355629)";"POINT(52.355629,4.864816)";4.864816;52.355629;
66;"06.13";"Eekhoornbank";"Eekhoornbank";"eekhoornbank.jpg";"Ja";"TP-06-13.jpg";143;"Zitbank";"POINT(4.866034,52.355785)";"POINT(52.355785,4.866034)";4.866034;52.355785;
67;"05.26";"Nog niet geplaatst";"Reigerbank";"reigerbank.jpg";"Beschikbaar, nog niet geplaatst";"";310;"Zitbank";"POINT(4.867009,52.354749)";"POINT(52.354749,4.867009)";4.867009;52.354749;
68;"05.27";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-27.jpg";297;"Zitbank";"POINT(4.867112,52.354856)";"POINT(52.354856,4.867112)";4.867112;52.354856;
69;"05.28";"Nog niet geplaatst";"Reigerbank";"reigerbank.jpg";"Beschikbaar, nog niet geplaatst";"";290;"Zitbank";"POINT(4.867181,52.354969)";"POINT(52.354969,4.867181)";4.867181;52.354969;
70;"08.01";"Lindebank";"Lindebank";"lindebank.jpg";"Beschikbaar";"";163;"Zitbank";"POINT(4.866115,52.356384)";"POINT(52.356384,4.866115)";4.866115;52.356384;
71;"08.02";"Lindebank";"Lindebank";"lindebank.jpg";"Beschikbaar";"";160;"Zitbank";"POINT(4.866527,52.35648)";"POINT(52.35648,4.866527)";4.866527;52.35648;
72;"08.03";"Lindebank";"Lindebank";"lindebank.jpg";"Beschikbaar";"";334;"Zitbank";"POINT(4.867192,52.356523)";"POINT(52.356523,4.867192)";4.867192;52.356523;
73;"12.01";"Rondom boom";"Rondom boom";"rondom boom.jpg";"Niet beschikbaar";"";180;"Bijzonder";"POINT(4.866225,52.35625)";"POINT(52.35625,4.866225)";4.866225;52.35625;
74;"08.04";"Lindebank";"Lindebank";"lindebank.jpg";"Beschikbaar";"";330;"Zitbank";"POINT(4.867704,52.356688)";"POINT(52.356688,4.867704)";4.867704;52.356688;
75;"08.05";"Lindebank";"Lindebank";"lindebank.jpg";"Beschikbaar";"";329;"Zitbank";"POINT(4.868066,52.356825)";"POINT(52.356825,4.868066)";4.868066;52.356825;
76;"08.06";"Lindebank";"Lindebank";"lindebank.jpg";"Beschikbaar";"";326;"Zitbank";"POINT(4.868561,52.357027)";"POINT(52.357027,4.868561)";4.868561;52.357027;
77;"12.02";"Rondom boom";"Rondom boom";"rondom boom.jpg";"Niet beschikbaar";"";180;"Bijzonder";"POINT(4.869237,52.357519)";"POINT(52.357519,4.869237)";4.869237;52.357519;
78;"08.07";"Lindebank";"Lindebank";"lindebank.jpg";"Ja";"TP-08-07.jpg";7;"Zitbank";"POINT(4.869651,52.357402)";"POINT(52.357402,4.869651)";4.869651;52.357402;
79;"08.08";"Lindebank";"Lindebank";"lindebank.jpg";"Ja";"TP-08-08.jpg";353;"Zitbank";"POINT(4.870176,52.357398)";"POINT(52.357398,4.870176)";4.870176;52.357398;
80;"04.18";"Nog niet geplaatst";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar, nog niet geplaatst";"";184;"Zitbank";"POINT(4.869826,52.357485)";"POINT(52.357485,4.869826)";4.869826;52.357485;
81;"04.19";"Nog niet geplaatst";"Parkietenbank";"parkietenbank.jpg";"Beschikbaar, nog niet geplaatst";"";180;"Zitbank";"POINT(4.869934,52.357485)";"POINT(52.357485,4.869934)";4.869934;52.357485;
82;"04.20";"Parkietenbank";"Parkietenbank";"parkietenbank.jpg";"Ja";"TP-04-20.jpg";162;"Zitbank";"POINT(4.870458,52.357545)";"POINT(52.357545,4.870458)";4.870458;52.357545;
