OBJECTNUMMER;Banknummer;Huidig_type;Definitief_type;Definitief_foto;Geadopteerd;Tekstplaat;Rotatie;Categorie;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
160;"01.28";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-28.jpg";197;"Zitbank";"POINT(4.865653,52.358318)";"POINT(52.358318,4.865653)";4.865653;52.358318;
161;"01.29";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Beschikbaar";"";210;"Zitbank";"POINT(4.865709,52.358304)";"POINT(52.358304,4.865709)";4.865709;52.358304;
162;"01.30";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-30.jpg";222;"Zitbank";"POINT(4.865755,52.358283)";"POINT(52.358283,4.865755)";4.865755;52.358283;
163;"01.31";"Mussenbank";"Mussenbank";"mussenbank.jpg";"Ja";"TP-01-31.jpg";232;"Zitbank";"POINT(4.8657923,52.3582564)";"POINT(52.3582564,4.8657923)";4.8657923;52.3582564;
164;"05.01";"Canapé";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";70;"Zitbank";"POINT(4.865112,52.357506)";"POINT(52.357506,4.865112)";4.865112;52.357506;
165;"05.02";"Canapé";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";70;"Zitbank";"POINT(4.865126,52.357483)";"POINT(52.357483,4.865126)";4.865126;52.357483;
166;"05.03";"Canapé";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";250;"Zitbank";"POINT(4.865267,52.35754)";"POINT(52.35754,4.865267)";4.865267;52.35754;
167;"05.04";"Canapé";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";250;"Zitbank";"POINT(4.865279,52.357519)";"POINT(52.357519,4.865279)";4.865279;52.357519;
168;"05.05";"Canapé";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-05.jpg";163;"Zitbank";"POINT(4.865769,52.357668)";"POINT(52.357668,4.865769)";4.865769;52.357668;
169;"05.06";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-06.jpg";331;"Zitbank";"POINT(4.866126,52.357755)";"POINT(52.357755,4.866126)";4.866126;52.357755;
170;"05.07";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-07.jpg";142;"Zitbank";"POINT(4.866385,52.357863)";"POINT(52.357863,4.866385)";4.866385;52.357863;
171;"05.08";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-08.jpg";322;"Zitbank";"POINT(4.86654,52.357939)";"POINT(52.357939,4.86654)";4.86654;52.357939;
172;"05.09";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-09.jpg";211;"Zitbank";"POINT(4.86706,52.357652)";"POINT(52.357652,4.86706)";4.86706;52.357652;
173;"05.11";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-11.jpg";81;"Zitbank";"POINT(4.867194,52.357462)";"POINT(52.357462,4.867194)";4.867194;52.357462;
174;"05.12";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Beschikbaar";"";63;"Zitbank";"POINT(4.867341,52.357204)";"POINT(52.357204,4.867341)";4.867341;52.357204;
175;"05.13";"Reigerbank";"Reigerbank";"reigerbank.jpg";"Ja";"TP-05-13.jpg";65;"Zitbank";"POINT(4.867381,52.357158)";"POINT(52.357158,4.867381)";4.867381;52.357158;
176;"06.33";"Canapé";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";330;"Zitbank";"POINT(4.868089,52.357908)";"POINT(52.357908,4.868089)";4.868089;52.357908;
177;"06.32";"Canapé";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";327;"Zitbank";"POINT(4.868146,52.357928)";"POINT(52.357928,4.868146)";4.868146;52.357928;
178;"06.31";"Canapé";"Eekhoornbank";"eekhoornbank.jpg";"Beschikbaar";"";330;"Zitbank";"POINT(4.868184,52.357941)";"POINT(52.357941,4.868184)";4.868184;52.357941;
