OBJECTNUMMER;Locatie;Artikelen;SELECTIE;FILTER_DAG;Maandag;Dinsdag;Woensdag;Donderdag;Vrijdag;Zaterdag;Zondag;Dagen;Gemeente;Foto;Website;Meer_informatie;Plattegrond;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
20;"Haarlemmerplein";"Boerenmarkt / Bioversmarkt";"BOERENMARKT";"Wo";"";"";"10.00-17.00 uur";"";"";"";"";"Wo";"Ja";"boerenmarkt_haarlemmerplein_004_19mei2010-2a.jpg";"";"";"";"POINT(4.8838251,52.3848731)";"POINT(52.3848731,4.8838251)";4.8838251;52.3848731;
21;"Lambertus Zijlplein";"Algemene waren";"ALGEMEEN";"Ma";"11.00-17.00 uur";"";"";"";"";"";"";"Ma";"Ja";"";"";"";"";"POINT(4.8010948,52.377957)";"POINT(52.377957,4.8010948)";4.8010948;52.377957;
22;"Lindengracht";"Algemene waren";"ALGEMEEN";"Za";"";"";"";"";"";"09.00-17.00 uur";"";"Za";"Ja";"";"";"";"";"POINT(4.8844578,52.3801581)";"POINT(52.3801581,4.8844578)";4.8844578;52.3801581;
23;"Nieuwmarkt";"Boerenmarkt / Bioversmarkt";"BOERENMARKT";"Za";"";"";"";"";"";"09.00-16.00 uur";"";"Za";"Ja";"1. Boerenmarkt Nieuwmarkt Edwin van Eis 2010.jpg";"";"";"";"POINT(4.9006369,52.3722197)";"POINT(52.3722197,4.9006369)";4.9006369;52.3722197;
24;"Noordermarkt";"Boerenmarkt / Bioversmarkt";"BOERENMARKT";"Za";"";"";"";"";"";"09.00-16.00 uur";"";"Za";"Ja";"005_boerenmarkt_noordermarkt_22mei2010_e_v_eis-2.jpg";"";"";"";"POINT(4.8864858,52.3796088)";"POINT(52.3796088,4.8864858)";4.8864858;52.3796088;
25;"Noordermarkt";"Algemene waren";"ALGEMEEN";"Za";"";"";"";"";"";"09.00-16.00 uur";"";"Za";"Ja";"Noordermarkt web Edwin van Eis.jpg";"";"";"";"POINT(4.8864748,52.3794066)";"POINT(52.3794066,4.8864748)";4.8864748;52.3794066;
26;"Reigersbos";"Algemene waren";"ALGEMEEN";"Wo";"";"";"9.00-18.00 uur";"";"";"";"";"Wo";"Ja";"";"";"";"";"POINT(4.9755076,52.2970288)";"POINT(52.2970288,4.9755076)";4.9755076;52.2970288;
27;"Spui";"Boeken";"BOEKEN";"Vr";"";"";"";"";"10.00-18.00 uur";"";"";"Vr";"Ja";"spui-boekenmarkt-09_9nov2012_e_v_eis.jpg";"http://www.deboekenmarktophetspui.nl/";"";"";"POINT(4.8897579,52.3687865)";"POINT(52.3687865,4.8897579)";4.8897579;52.3687865;
28;"Artplein Spui";"Kunst / Antiek en curiosa";"KUNSTANTIEK";"Zo";"";"";"";"";"";"";"10:00-18:00 (maart t/m december) ";"Zo";"Ja";"spui-kunstmarktt-02_9nov2012_e_v_eis.jpg";"www.artplein-spui.org";"";"";"POINT(4.8899991,52.3688399)";"POINT(52.3688399,4.8899991)";4.8899991;52.3688399;
29;"Tussen Meer";"Algemene waren";"ALGEMEEN";"Di";"";"9.00-17.00 uur";"";"";"";"";"";"Di";"Ja";"";"";"";"";"POINT(4.7954938,52.3570716)";"POINT(52.3570716,4.7954938)";4.7954938;52.3570716;
31;"Westerstraat";"Algemene waren";"ALGEMEEN";"Ma";"09.00-13.00 uur";"";"";"";"";"";"";"Ma";"Ja";"";"";"";"";"POINT(4.884855,52.3786055)";"POINT(52.3786055,4.884855)";4.884855;52.3786055;
32;"Van Eesterenlaan";"Boerenmarkt / Bioversmarkt";"BOERENMARKT";"Wo";"";"";"12.00-17.00 uur";"";"";"";"";"Wo";"Ja";"12. Van Eesterenlaan Biomarkt Edwin van Eis 2007.jpg";"";"";"";"POINT(4.9384129,52.3724104)";"POINT(52.3724104,4.9384129)";4.9384129;52.3724104;
33;"Nieuwmarkt";"Kunst / Antiek en curiosa";"KUNSTANTIEK";"Zo";"";"";"";"";"";"";"mei-november 09.00-17.00 ";"Zo";"Ja";"";"";"";"";"POINT(4.9001758,52.3723761)";"POINT(52.3723761,4.9001758)";4.9001758;52.3723761;
34;"Singel";"Bloemen en planten";"BLOEMEN";"Ma|Di|Wo|Do|Vr|Za";"09.00-17.30 uur";"09.00-17.30 uur";"09.00-17.30 uur";"09.00-17.30 uur";"09.00-17.30 uur";"11.00-17.30 uur";"";"Ma - Di - Wo - Do - Vr - Za";"Ja";"14. Singel Bloemenmarkt.jpg";"";"";"";"POINT(4.8914211,52.3666846)";"POINT(52.3666846,4.8914211)";4.8914211;52.3666846;
35;"Nieuwezijds Voorburgwal";"Postzegels en munten";"POSTZEGELS";"Wo|Za";"";"";"09.00-16.00 uur";"";"";"09.00-16.00 uur";"";"Wo - Za";"Ja";"";"";"";"";"POINT(4.8903048,52.3713233)";"POINT(52.3713233,4.8903048)";4.8903048;52.3713233;
