OBJECTNUMMER;Naam;Hoofdgroep;Functie;Foto;Website;Opmerking;Begin;Eind;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
227;"Bolwerk Rijzenhoofd 1592-1663";"Militair";"";"bolwerk 2e G Rijzenhoofd.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1592;1663;"MILITAIR";"POINT(4.912524,52.3708769)";"POINT(52.3708769,4.912524)";4.912524;52.3708769;
228;"Bolwerk 1578-1613";"Militair";"";"Bolwerk 1e A.jpg";"";"Bron: Pieter Bast 1597";1578;1613;"MILITAIR";"POINT(4.8921769,52.3799903)";"POINT(52.3799903,4.8921769)";4.8921769;52.3799903;
229;"Bolwerk 1578-1613";"Militair";"";"Bolwerk 1e B.jpg";"";"Bron: Pieter Bast 1597";1578;1613;"MILITAIR";"POINT(4.8893878,52.3770415)";"POINT(52.3770415,4.8893878)";4.8893878;52.3770415;
230;"Bolwerk 1578-1613";"Militair";"";"Bolwerk 1e C.jpg";"";"Bron: Pieter Bast 1597";1578;1613;"MILITAIR";"POINT(4.8867319,52.3742262)";"POINT(52.3742262,4.8867319)";4.8867319;52.3742262;
231;"Bolwerk 1578-1613";"Militair";"";"Bolwerk 1e D.jpg";"";"Bron: Pieter Bast 1597";1578;1613;"MILITAIR";"POINT(4.8863032,52.3709723)";"POINT(52.3709723,4.8863032)";4.8863032;52.3709723;
232;"Hortus Botanicus 1682";"Openbaar";"";"Hortus Botanicus.jpg";"";"Bron: Gerrit de Broen 1774-1782";1682;2014;"OPENBAAR";"POINT(4.9083431,52.367108)";"POINT(52.367108,4.9083431)";4.9083431;52.367108;
233;"Grote Synagoge 1671";"Religie";"Synagoge";"Grote Synagoge.jpg";"";"Bron: Gerrit de Broen 1774-1782";1671;0;"RELIGIE";"POINT(4.9039171,52.3672301)";"POINT(52.3672301,4.9039171)";4.9039171;52.3672301;
234;"Obbene Sjoel 1685";"Religie";"Synagoge";"Synagoge complex.jpg";"";"";1685;0;"RELIGIE";"POINT(4.9037831,52.3670699)";"POINT(52.3670699,4.9037831)";4.9037831;52.3670699;
235;"Dritt Sjoel 1700";"Religie";"Synagoge";"Synagoge complex.jpg";"";"";1700;0;"RELIGIE";"POINT(4.9037168,52.3672186)";"POINT(52.3672186,4.9037168)";4.9037168;52.3672186;
236;"Waag Westerhal 1619-1857";"Openbaar";"";"Waag Westerhal.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1619;1857;"OPENBAAR";"POINT(4.8845379,52.3741461)";"POINT(52.3741461,4.8845379)";4.8845379;52.3741461;
237;"Oudevrouwenhuis Diaconie 1683";"Openbaar";"Ouderenzorg";"diaconie oudevrouwenhuis.jpg";"";"Bron: Gerrit de Broen 1774-1782";1683;0;"OPENBAAR";"POINT(4.902724,52.3653494)";"POINT(52.3653494,4.902724)";4.902724;52.3653494;
238;"Diaconie Weeshuis 1657-1880";"Openbaar";"Weeshuis";"Diaconie weeshuis.jpg";"";"Bron: Gerrit de Broen 1774-1782";1657;1880;"OPENBAAR";"POINT(4.9000308,52.3678671)";"POINT(52.3678671,4.9000308)";4.9000308;52.3678671;
239;"Engelsche Weeshuis 1779-1864";"Openbaar";"Weeshuis";"";"";"";1779;1864;"OPENBAAR";"POINT(4.8975389,52.3723075)";"POINT(52.3723075,4.8975389)";4.8975389;52.3723075;
240;"Waag 1533-1808";"Openbaar";"";"Waag Dam 1625.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1533;1808;"OPENBAAR";"POINT(4.8924529,52.37312)";"POINT(52.37312,4.8924529)";4.8924529;52.37312;
241;"Toren Leeuwenburg ca. 1490-1614";"Militair";"";"Toren Leeuwenburg.jpg";"";"Bron: Cornelis Anthonisz 1544";1490;1614;"MILITAIR";"POINT(4.8936388,52.3672072)";"POINT(52.3672072,4.8936388)";4.8936388;52.3672072;
242;"Glashuis De Twee Rozen 1657-1679";"Productie";"";"";"";"";1657;1679;"PRODUCTIE";"POINT(4.8774888,52.3722731)";"POINT(52.3722731,4.8774888)";4.8774888;52.3722731;
243;"Glashuis De Twee Rozen 1621-1657";"Productie";"";"";"";"";1621;1657;"PRODUCTIE";"POINT(4.8853619,52.3712355)";"POINT(52.3712355,4.8853619)";4.8853619;52.3712355;
244;"Glashuis Abraham van Tongerloo 1613-1619";"Productie";"";"";"";"";1613;1619;"PRODUCTIE";"POINT(4.8931,52.3670775)";"POINT(52.3670775,4.8931)";4.8931;52.3670775;
245;"Glashuis Jan Hendriksz Soop 1601-1631";"Productie";"";"Glashuis Soop.jpg";"";"";1601;1631;"PRODUCTIE";"POINT(4.8971498,52.3687407)";"POINT(52.3687407,4.8971498)";4.8971498;52.3687407;
246;"Glashuis Antonio Obizzo 1597-1601";"Productie";"";"";"";"";1597;1601;"PRODUCTIE";"POINT(4.889962,52.3694655)";"POINT(52.3694655,4.889962)";4.889962;52.3694655;
247;"Werven Realeneiland ca. 1613-1725";"Productie";"";"Realeneiland25.jpg";"";"Bron: Balthasar Florisz. van Berckenrode 1625";1613;1725;"PRODUCTIE";"POINT(4.8881061,52.3875586)";"POINT(52.3875586,4.8881061)";4.8881061;52.3875586;
